country,confirmed,death,Transmission classification,Days since last reported case,date
South Africa,7808,153,Community transmission,0,20200507
Algeria,4997,476,Community transmission,0,20200507
Nigeria,3145,103,Community transmission,0,20200507
Ghana,2719,18,Clusters of cases,2,20200507
Cameroon,2265,108,Clusters of cases,1,20200507
Guinea,1856,11,Community transmission,0,20200507
Côte d’Ivoire,1516,18,Clusters of cases,0,20200507
Senegal,1433,12,Clusters of cases,0,20200507
Democratic Republic of the Congo,797,35,Clusters of cases,0,20200507
Niger,770,38,Clusters of cases,0,20200507
Burkina Faso,729,48,Community transmission,0,20200507
Mali,631,32,Clusters of cases,0,20200507
Kenya,582,26,Clusters of cases,0,20200507
Guinea-Bissau,508,2,Sporadic cases,0,20200507
United Republic of Tanzania,480,18,Clusters of cases,7,20200507
Equatorial Guinea,439,4,Clusters of cases,1,20200507
Gabon,397,6,Clusters of cases,1,20200507
Mauritius,332,10,Community transmission,10,20200507
Rwanda,268,0,Clusters of cases,0,20200507
Congo,264,10,Clusters of cases,0,20200507
Madagascar,193,0,Clusters of cases,0,20200507
Sierra Leone,225,14,Clusters of cases,0,20200507
Cabo Verde,191,2,Sporadic cases,0,20200507
Liberia,178,20,Clusters of cases,0,20200507
São Tomé and Príncipe,174,3,Sporadic cases,0,20200507
Chad,170,17,Sporadic cases,1,20200507
Ethiopia,162,4,Clusters of cases,0,20200507
Zambia,139,4,Sporadic cases,0,20200507
Togo,128,9,Clusters of cases,1,20200507
Eswatini,123,2,Sporadic cases,0,20200507
Benin,102,2,Sporadic cases,1,20200507
Uganda,98,0,Sporadic cases,0,20200507
Central African Republic,94,0,Sporadic cases,2,20200507
Mozambique,81,0,Sporadic cases,0,20200507
South Sudan,58,0,Sporadic cases,0,20200507
Malawi,43,3,Sporadic cases,0,20200507
Eritrea,39,0,Sporadic cases,18,20200507
Angola,36,2,Sporadic cases,1,20200507
Zimbabwe,34,4,Sporadic cases,5,20200507
Botswana,23,1,Sporadic cases,8,20200507
Burundi,19,1,Sporadic cases,4,20200507
