"","region","contry","confirmed","date"
"1","","China",14411,"20200202"
"2","","Japan",20,"20200202"
"3","","Republic of Korea",15,"20200202"
"4","Western Pacific","",NA,"20200202"
"5","","Viet Nam",7,"20200202"
"6","","",NA,"20200202"
"7","","Singapore",18,"20200202"
"8","","",NA,"20200202"
"9","","Australia",12,"20200202"
"10","","",NA,"20200202"
"11","","Malaysia",8,"20200202"
"12","","Cambodia",1,"20200202"
"13","","Philippines",2,"20200202"
"14","","Thailand",19,"20200202"
"15","","Nepal",1,"20200202"
"16","South-East Asia","",NA,"20200202"
"17","","Sri Lanka",1,"20200202"
"18","","India",2,"20200202"
"19","","United States of America",8,"20200202"
"20","Region of the Americas","",NA,"20200202"
"21","","Canada",4,"20200202"
"22","","France",6,"20200202"
"23","","Finland",1,"20200202"
"24","","Germany",8,"20200202"
"25","","Italy",2,"20200202"
"26","European Region","",NA,"20200202"
"27","","Russian Federation",2,"20200202"
"28","","Spain",1,"20200202"
"29","","Sweden",1,"20200202"
"30","","United Kingdom",2,"20200202"
"31","Eastern Mediterranean","United Arab Emirates",5,"20200202"
"32","Total Confirmed cases","Total",14557,"20200202"
