"","contry","confirmed","death","date"
"1","China","75569","2239","20200221"
"2","Republic of Korea","204","1","20200221"
"3","Japan","93","1","20200221"
"4","Singapore","85","0","20200221"
"5","Malaysia","22","0","20200221"
"6","Australia","17","0","20200221"
"7","Viet Nam","16","0","20200221"
"8","Philippines","3","1","20200221"
"9","Cambodia","1","0","20200221"
"10","Thailand","35","0","20200221"
"11","India","3","0","20200221"
"12","Nepal","1","0","20200221"
"13","Sri Lanka","1","0","20200221"
"14","United States of America","15","0","20200221"
"15","Canada","8","0","20200221"
"16","Germany","16","0","20200221"
"17","France","12","1","20200221"
"18","The United Kingdom","9","0","20200221"
"19","Italy","3","0","20200221"
"20","Russian Federation","2","0","20200221"
"21","Spain","2","0","20200221"
"22","Belgium","1","0","20200221"
"23","Finland","1","0","20200221"
"24","Sweden","1","0","20200221"
"25","United Arab Emirates","9","0","20200221"
"26","Iran (Islamic Republic of)","5","2","20200221"
"27","Egypt","1","0","20200221"
"28","Subtotal for all regions","566","6","20200221"
"29","conveyance‡ (Diamond","634","2","20200221"
"30","Grand total","1200","8","20200221"
