"","contry","confirmed","death","date"
"1","Singapore","75","0","20200217"
"2","Japan","59","1","20200217"
"3","Republic of Korea","30","0","20200217"
"4","Malaysia","22","0","20200217"
"5","Viet Nam","16","0","20200217"
"6","Australia","15","0","20200217"
"7","Philippines","3","1","20200217"
"8","Cambodia","1","0","20200217"
"9","Thailand","35","0","20200217"
"10","India","3","0","20200217"
"11","China","70635","1772","20200217"
"12","Nepal","1","0","20200217"
"13","Sri Lanka","1","0","20200217"
"14","United States of",NA,NA,"20200217"
"15","United States of America","15","0","20200217"
"16","Canada","7","0","20200217"
"17","Germany","16","0","20200217"
"18","France","12","1","20200217"
"19","The United Kingdom","9","0","20200217"
"20","Italy","3","0","20200217"
"21","Russian Federation","2","0","20200217"
"22","Spain","2","0","20200217"
"23","Belgium","1","0","20200217"
"24","Finland","1","0","20200217"
"25","Sweden","1","0","20200217"
"26","United Arab Emirates","9","0","20200217"
"27","Egypt","1","0","20200217"
"28","International Other",NA,NA,"20200217"
"29","conveyance (Japan)","454‡‡","0","20200217"
