country,confirmed,death,Transmission classification,Days since last reported case,date
China,83005,3340,Local transmission,0,20200406
Republic of Korea,10284,186,Local transmission,0,20200406
Australia,5744,36,Local transmission,0,20200406
Malaysia,3662,61,Local transmission,0,20200406
Japan,3654,73,Local transmission,0,20200406
Philippines,3246,152,Local transmission,0,20200406
Singapore,1309,6,Local transmission,0,20200406
New Zealand,911,1,Local transmission,0,20200406
Viet Nam,241,0,Local transmission,0,20200406
Brunei Darussalam,135,1,Local transmission,1,20200406
Cambodia,114,0,Local transmission,2,20200406
Mongolia,14,0,Imported cases only,4,20200406
Fiji,12,0,Local transmission,1,20200406
Lao People's Democratic Republic,11,0,Local transmission,0,20200406
Papua New Guinea,1,0,Imported cases only,16,20200406
Guam,112,4,Local transmission,0,20200406
French Polynesia,41,0,Local transmission,0,20200406
New Caledonia,18,0,Local transmission,3,20200406
Northern Mariana Islands (Commonwealth of the),8,1,Local transmission,3,20200406
Spain,130759,12418,Local transmission,0,20200406
Italy,128948,15889,Local transmission,0,20200406
Germany,95391,1434,Local transmission,0,20200406
France,69607,8064,Local transmission,0,20200406
The United Kingdom,47810,4934,Local transmission,0,20200406
Turkey,27069,574,Local transmission,0,20200406
Switzerland,21065,715,Local transmission,0,20200406
Belgium,19691,1447,Local transmission,0,20200406
Netherlands,17851,1766,Local transmission,0,20200406
Austria,11983,204,Local transmission,0,20200406
Portugal,11278,295,Local transmission,0,20200406
Israel,8018,46,Local transmission,0,20200406
Sweden,6830,401,Local transmission,0,20200406
Norway,5640,58,Local transmission,0,20200406
Russian Federation,5389,45,Local transmission,0,20200406
Ireland,5111,158,Local transmission,0,20200406
Czechia,4587,67,Local transmission,0,20200406
Denmark,4369,179,Local transmission,0,20200406
Poland,4102,94,Local transmission,0,20200406
Romania,3864,148,Local transmission,0,20200406
Luxembourg,2804,36,Local transmission,0,20200406
Finland,1927,28,Local transmission,0,20200406
Serbia,1908,51,Local transmission,0,20200406
Greece,1735,73,Local transmission,0,20200406
Iceland,1486,4,Local transmission,0,20200406
Ukraine,1319,38,Local transmission,0,20200406
Croatia,1182,15,Local transmission,0,20200406
Estonia,1097,15,Local transmission,0,20200406
Slovenia,997,28,Local transmission,0,20200406
Republic of Moldova,864,15,Local transmission,0,20200406
Lithuania,811,13,Local transmission,0,20200406
Armenia,746,7,Local transmission,1,20200406
Hungary,744,38,Local transmission,0,20200406
Bosnia and Herzegovina,662,21,Local transmission,0,20200406
Kazakhstan,604,5,Local transmission,0,20200406
Azerbaijan,584,5,Local transmission,0,20200406
Belarus,562,8,Local transmission,0,20200406
North Macedonia,555,18,Local transmission,0,20200406
Latvia,533,1,Local transmission,0,20200406
Bulgaria,531,20,Local transmission,0,20200406
Andorra,523,17,Local transmission,0,20200406
Slovakia,485,0,Local transmission,0,20200406
Cyprus,446,14,Local transmission,0,20200406
Uzbekistan,390,2,Local transmission,0,20200406
Albania,377,21,Local transmission,0,20200406
San Marino,266,32,Local transmission,0,20200406
Malta,234,0,Local transmission,0,20200406
Kyrgyzstan,216,4,Local transmission,0,20200406
Montenegro,203,2,Local transmission,0,20200406
Georgia,188,2,Local transmission,0,20200406
Liechtenstein,78,1,Under investigation,0,20200406
Monaco,37,0,Local transmission,5,20200406
Holy See,7,0,Under investigation,3,20200406
Faroe Islands,181,0,Local transmission,1,20200406
Jersey,155,3,Local transmission,0,20200406
Guernsey,154,3,Local transmission,0,20200406
Kosovo,145,1,Local transmission,0,20200406
Isle of Man,127,1,Local transmission,0,20200406
Gibraltar,103,1,Local transmission,0,20200406
Greenland,11,0,Under investigation,0,20200406
India,4067,109,Local transmission,0,20200406
Indonesia,2273,198,Local transmission,0,20200406
Thailand,2169,23,Local transmission,0,20200406
Sri Lanka,176,5,Local transmission,0,20200406
Bangladesh,88,8,Local transmission,0,20200406
Myanmar,21,1,Local transmission,0,20200406
Maldives,19,0,Local transmission,3,20200406
Nepal,9,0,Local transmission,1,20200406
Bhutan,5,0,Imported cases only,3,20200406
Timor-Leste,1,0,Imported cases only,16,20200406
Iran (Islamic Republic of),58226,3603,Local transmission,0,20200406
Pakistan,3277,50,Local transmission,0,20200406
Saudi Arabia,2463,34,Local transmission,0,20200406
United Arab Emirates,1799,10,Local transmission,0,20200406
Qatar,1604,4,Local transmission,0,20200406
Egypt,1173,78,Local transmission,0,20200406
Morocco,1113,71,Local transmission,0,20200406
Iraq,961,61,Local transmission,0,20200406
Bahrain,700,4,Local transmission,0,20200406
Tunisia,574,22,Local transmission,0,20200406
Kuwait,556,1,Local transmission,1,20200406
Lebanon,527,18,Local transmission,1,20200406
