"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80813","3073","","","20200307"
"2","Republic of Korea","6767","44","Local transmission","0","20200307"
"3","Japan","408","6","Local transmission","0","20200307"
"4","Singapore","130","0","Local transmission","0","20200307"
"5","Malaysia","83","0","Local transmission","1","20200307"
"6","Australia","62","2","Local transmission","0","20200307"
"7","Viet Nam","17","0","Local transmission","0","20200307"
"8","New Zealand","5","0","Local transmission","0","20200307"
"9","Philippines","5","1","Local transmission","1","20200307"
"10","Cambodia","1","0","Imported cases only","39","20200307"
"11","European Region","","","","","20200307"
"12","Italy","4636","197","Local transmission","0","20200307"
"13","Germany","639","0","Local transmission","0","20200307"
"14","France","613","9","Local transmission","0","20200307"
"15","Spain","374","5","Local transmission","0","20200307"
"16","Switzerland","209","1","Local transmission","0","20200307"
"17","The United Kingdom","167","1","Local transmission","0","20200307"
"18","Sweden","137","0","Local transmission","0","20200307"
"19","Netherlands","128","1","Local transmission","0","20200307"
"20","Norway","113","0","Local transmission","0","20200307"
"21","Belgium","109","0","Local transmission","0","20200307"
"22","Austria","66","0","Imported cases only","0","20200307"
"23","Iceland","45","0","Local transmission","0","20200307"
"24","Greece","32","0","Local transmission","2","20200307"
"25","San Marino","24","0","Local transmission","0","20200307"
"26","Denmark","23","0","Local transmission","0","20200307"
"27","Finland","19","0","Local transmission","0","20200307"
"28","Israel","19","0","Local transmission","0","20200307"
"29","Ireland","18","0","Local transmission","0","20200307"
"30","Portugal","13","0","Local transmission","0","20200307"
"31","Czechia","12","0","Local transmission","1","20200307"
"32","Croatia","11","0","Local transmission","0","20200307"
"33","Estonia","10","0","Imported cases only","0","20200307"
"34","Azerbaijan","9","0","Imported cases only","0","20200307"
"35","Georgia","9","0","Imported cases only","1","20200307"
"36","Slovenia","9","0","Local transmission","0","20200307"
"37","Romania","7","0","Local transmission","0","20200307"
"38","Russian Federation","7","0","Imported cases only","0","20200307"
"39","Belarus","6","0","Local transmission","2","20200307"
"40","Poland","5","0","Imported cases only","0","20200307"
"41","Hungary","5","0","Imported cases only","0","20200307"
"42","North Macedonia","3","0","Imported cases only","0","20200307"
"43","Bosnia and","","","","","20200307"
"44","Bosnia and Herzegovina","2","0","Local transmission","2","20200307"
"45","Herzegovina","","","","","20200307"
"46","Luxembourg","2","0","Imported cases only","0","20200307"
"47","Andorra","1","0","Imported cases only","4","20200307"
"48","Armenia","1","0","Imported cases only","5","20200307"
"49","Holy See","1","0","Under investigation","1","20200307"
"50","Latvia","1","0","Imported cases only","4","20200307"
"51","Liechtenstein","1","0","Imported cases only","1","20200307"
"52","Lithuania","1","0","Imported cases only","8","20200307"
"53","Monaco","1","0","Under investigation","6","20200307"
"54","Serbia","1","0","Under investigation","1","20200307"
"55","Slovakia","1","0","Local transmission","0","20200307"
"56","Ukraine","1","0","Imported cases only","3","20200307"
"57","","erritories**",NA,"",NA,"20200307"
"58","Gibraltar","1","0","Under investigation","3","20200307"
"59","","outh-East Asia Region",NA,"",NA,"20200307"
"60","Thailand","48","1","Local transmission","0","20200307"
"61","India","31","0","Local transmission","0","20200307"
"62","Indonesia","2","0","Local transmission","5","20200307"
"63","Bhutan","1","0","Imported cases only","1","20200307"
"64","Nepal","1","0","Imported cases only","43","20200307"
"65","Sri Lanka","1","0","Imported cases only","40","20200307"
"66","","astern Mediterranean Region",NA,"",NA,"20200307"
"67","Iran (Islamic","",NA,"",NA,"20200307"
"68","Iran (Islamic Republic of)","4747","124","Local transmission","0","20200307"
"69","Kuwait","58","0","Imported cases only","2","20200307"
"70","Bahrain","49","0","Imported cases only","4","20200307"
"71","United Arab","",NA,"",NA,"20200307"
"72","united Arab Emirates","45","0","Local transmission","0","20200307"
"73","Iraq","44","4","Imported cases only","0","20200307"
"74","Lebanon","22","0","Local transmission","0","20200307"
"75","Oman","16","0","Imported cases only","1","20200307"
"76","Qatar","11","0","Imported cases only","0","20200307"
"77","Saudi Arabia","8","0","Imported cases only","1","20200307"
"78","Pakistan","5","0","Imported cases only","4","20200307"
"79","Egypt","3","0","Imported cases only","1","20200307"
"80","Morocco","2","0","Imported cases only","2","20200307"
"81","Afghanistan","1","0","Imported cases only","12","20200307"
"82","Jordan","1","0","Imported cases only","4","20200307"
"83","Tunisia","1","0","Imported cases only","4","20200307"
"84","","erritories**",NA,"",NA,"20200307"
"85","Occupied","",NA,"",NA,"20200307"
"86","occupied Palestinian territory","16","0","Local transmission","0","20200307"
"87","","egion of the Americas",NA,"",NA,"20200307"
"88","United States of","",NA,"",NA,"20200307"
"89","United States of America","213","11","Local transmission","0","20200307"
"90","Canada","51","0","Local transmission","0","20200307"
"91","Ecuador","14","0","Local transmission","0","20200307"
"92","Brazil","13","0","Local transmission","0","20200307"
"93","Chile","5","0","Imported cases only","0","20200307"
"94","Mexico","5","0","Imported cases only","5","20200307"
"95","Argentina","2","0","Imported cases only","0","20200307"
"96","Colombia","1","0","Imported cases only","0","20200307"
"97","Dominican Republic","1","0","Imported cases only","5","20200307"
"98","Peru","1","0","Imported cases only","0","20200307"
"99","","erritories**",NA,"",NA,"20200307"
"100","Saint Martin","2","0","Under investigation","4","20200307"
"101","Saint Barthelemy","1","0","Under investigation","4","20200307"
"102","","frican Region",NA,"",NA,"20200307"
"103","Algeria","17","0","Local transmission","0","20200307"
"104","Senegal","4","0","Imported cases only","2","20200307"
"105","Cameroon","2","0","Local transmission","0","20200307"
"106","Nigeria","1","0","Imported cases only","8","20200307"
"107","South Africa","1","0","Imported cases only","1","20200307"
"108","Togo","1","0","Imported cases only","0","20200307"
"109","Subtotal for all",NA,NA,"",NA,"20200307"
"110","","20418","407","",NA,"20200307"
"111","regions",NA,NA,"",NA,"20200307"
"112","International",NA,NA,"",NA,"20200307"
"113","conveyance","696","6","Clusters of cases","1","20200307"
"114","(Diamond Princess)",NA,NA,"",NA,"20200307"
"115","Grand total","21114","413","",NA,"20200307"
