country,confirmed,death,Transmission classification,Days since last reported case,date
China,83797,3352,Clusters of cases,0,20200416
Republic of Korea,10613,229,Clusters of cases,0,20200416
Japan,8582,136,Clusters of cases,0,20200416
Australia,6458,63,Clusters of cases,0,20200416
Philippines,5453,349,Clusters of cases,0,20200416
Malaysia,5072,83,Clusters of cases,0,20200416
Singapore,3699,10,Clusters of cases,0,20200416
New Zealand,1084,9,Clusters of cases,0,20200416
Viet Nam,267,0,Clusters of cases,0,20200416
Brunei Darussalam,136,1,Sporadic cases,5,20200416
Cambodia,122,0,Sporadic cases,4,20200416
Mongolia,30,0,Sporadic cases,1,20200416
Lao People's Democratic Republic,19,0,Sporadic cases,3,20200416
Fiji,16,0,Sporadic cases,5,20200416
Papua New Guinea,2,0,Sporadic cases,7,20200416
Guam,135,5,Clusters of cases,1,20200416
French Polynesia,55,0,Sporadic cases,2,20200416
New Caledonia,18,0,Sporadic cases,13,20200416
Northern Mariana Islands (Commonwealth of the),13,2,Pending,1,20200416
Spain,177633,18579,Pending,0,20200416
Italy,165155,21647,Pending,0,20200416
Germany,130450,3569,Pending,0,20200416
France,105155,17146,Pending,0,20200416
The United Kingdom,98480,12868,Pending,0,20200416
Turkey,69392,1518,Community transmission,0,20200416
Belgium,33573,4440,Pending,0,20200416
Netherlands,28153,3134,Pending,0,20200416
Russian Federation,27938,232,Clusters of cases,0,20200416
Switzerland,26336,973,Community transmission,0,20200416
Portugal,18091,599,Pending,0,20200416
Austria,14370,393,Pending,0,20200416
Ireland,12547,444,Pending,0,20200416
Israel,12200,126,Pending,0,20200416
Sweden,11927,1203,Pending,0,20200416
Poland,7582,286,Pending,0,20200416
Romania,7216,372,Pending,0,20200416
Denmark,6681,309,Pending,0,20200416
Norway,6677,130,Pending,0,20200416
Czechia,6303,166,Pending,0,20200416
Serbia,4873,99,Pending,0,20200416
Ukraine,4162,115,Clusters of cases,0,20200416
Belarus,3728,36,Clusters of cases,0,20200416
Luxembourg,3373,69,Pending,0,20200416
Finland,3237,72,Pending,0,20200416
Greece,2192,102,Pending,0,20200416
Republic of Moldova,2049,46,Pending,0,20200416
Croatia,1741,34,Pending,0,20200416
Iceland,1727,8,Pending,0,20200416
Hungary,1652,142,Pending,0,20200416
Estonia,1402,35,Pending,0,20200416
Uzbekistan,1349,4,Clusters of cases,0,20200416
Kazakhstan,1295,16,Pending,0,20200416
Azerbaijan,1253,13,Clusters of cases,0,20200416
Slovenia,1248,61,Pending,0,20200416
Armenia,1135,18,Clusters of cases,0,20200416
Bosnia and Herzegovina,1116,41,Community transmission,0,20200416
Lithuania,1091,29,Pending,0,20200416
North Macedonia,974,45,Clusters of cases,0,20200416
Slovakia,863,6,Pending,0,20200416
Bulgaria,747,36,Pending,0,20200416
Cyprus,715,17,Pending,0,20200416
Andorra,673,33,Community transmission,0,20200416
Latvia,666,5,Pending,0,20200416
Albania,494,25,Clusters of cases,0,20200416
Kyrgyzstan,466,5,Pending,0,20200416
Malta,399,3,Pending,0,20200416
San Marino,393,36,Community transmission,0,20200416
Georgia,336,3,Clusters of cases,0,20200416
Montenegro,288,4,Clusters of cases,1,20200416
Monaco,93,0,Sporadic cases,2,20200416
Liechtenstein,81,1,Pending,1,20200416
Holy See,8,0,Sporadic cases,7,20200416
Kosovo,397,9,Community transmission,0,20200416
Isle of Man,254,2,Pending,0,20200416
Guernsey,223,7,Pending,0,20200416
Jersey,217,6,Pending,1,20200416
Faroe Islands,184,0,Pending,8,20200416
Gibraltar,129,0,Pending,3,20200416
Greenland,11,0,Pending,10,20200416
India,12380,414,Clusters of cases,0,20200416
Indonesia,5136,469,Community transmission,0,20200416
Thailand,2672,46,Pending,0,20200416
Bangladesh,1231,50,Pending,0,20200416
Sri Lanka,238,7,Clusters of cases,0,20200416
Myanmar,85,4,Clusters of cases,0,20200416
Maldives,21,0,Sporadic cases,0,20200416
Nepal,16,0,Sporadic cases,2,20200416
Timor-Leste,6,0,Sporadic cases,2,20200416
Bhutan,5,0,Sporadic cases,13,20200416
Iran (Islamic Republic of),76389,4777,Community transmission,0,20200416
Pakistan,6505,124,Clusters of cases,0,20200416
Saudi Arabia,5862,79,Clusters of cases,0,20200416
United Arab Emirates,5365,33,Pending,0,20200416
Qatar,3711,7,Pending,0,20200416
Egypt,2505,183,Clusters of cases,0,20200416
Morocco,2024,127,Clusters of cases,0,20200416
