"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80981","3173","","","20200312"
"2","Republic of Korea","7869","66","Local transmission","0","20200312"
"3","Japan","620","15","Local transmission","0","20200312"
"4","Singapore","178","0","Local transmission","0","20200312"
"5","Malaysia","129","0","Local transmission","1","20200312"
"6","Australia","122","3","Local transmission","0","20200312"
"7","Philippines","52","2","Local transmission","0","20200312"
"8","Viet Nam","39","0","Local transmission","0","20200312"
"9","Brunei Darussalam","12","0","Local transmission","0","20200312"
"10","New Zealand","5","0","Local transmission","5","20200312"
"11","Cambodia","3","0","Local transmission","1","20200312"
"12","Mongolia","1","0","Imported cases only","2","20200312"
"13","Territories**","","","","","20200312"
"14","French Polynesia","1","0","Imported cases only","0","20200312"
"15","European Region","","","","","20200312"
"16","Italy","12462","827","Local transmission","0","20200312"
"17","France","2269","48","Local transmission","0","20200312"
"18","Spain","2140","48","Local transmission","0","20200312"
"19","Germany","1567","3","Local transmission","0","20200312"
"20","Switzerland","645","4","Local transmission","0","20200312"
"21","Denmark","615","0","Local transmission","0","20200312"
"22","Netherlands","503","5","Local transmission","0","20200312"
"23","Sweden","461","0","Local transmission","0","20200312"
"24","The United Kingdom","460","6","Local transmission","0","20200312"
"25","Belgium","314","0","Local transmission","0","20200312"
"26","Austria","302","0","Local transmission","0","20200312"
"27","Norway","489","0","Local transmission","0","20200312"
"28","Greece","98","1","Local transmission","0","20200312"
"29","Czechia","94","0","Local transmission","0","20200312"
"30","Israel","75","0","Local transmission","1","20200312"
"31","San Marino","63","2","Local transmission","1","20200312"
"32","Iceland","61","0","Local transmission","2","20200312"
"33","Slovenia","57","0","Local transmission","0","20200312"
"34","Romania","48","0","Local transmission","0","20200312"
"35","Poland","44","0","Local transmission","0","20200312"
"36","Ireland","43","1","Local transmission","0","20200312"
"37","Portugal","41","0","Local transmission","1","20200312"
"38","Finland","40","0","Local transmission","2","20200312"
"39","Georgia","23","0","Imported cases only","1","20200312"
"40","Russian Federation","20","0","Imported cases only","0","20200312"
"41","Serbia","19","0","Local transmission","0","20200312"
"42","Luxembourg","17","0","Local transmission","0","20200312"
"43","Croatia","16","0","Local transmission","1","20200312"
"44","Latvia","16","0","Imported cases only","0","20200312"
"45","Estonia","13","0","Imported cases only","1","20200312"
"46","Hungary","13","0","Local transmission","1","20200312"
"47","Belarus","12","0","Local transmission","0","20200312"
"48","Albania","10","0","Local transmission","1","20200312"
"49","Slovakia","10","0","Local transmission","0","20200312"
"50","Azerbaijan","9","0","Imported cases only","5","20200312"
"51","Bulgaria","7","1","Local transmission","0","20200312"
"52","North Macedonia","7","0","Local transmission","2","20200312"
"53","Cyprus","6","0","Imported cases only","0","20200312"
"54","Malta","6","0","Imported cases only","0","20200312"
