"","region","contry","confirmed","death","date"
"1","","China","44730","1114","20200212"
"2","","Singapore","47","0","20200212"
"3","Western Pacific Region","",NA,NA,"20200212"
"4","0 (0)","Japan","28","0","20200212"
"5","","Republic of Korea","28","0","20200212"
"6","","Malaysia","18","0","20200212"
"7","","Australia","15","0","20200212"
"8","","",NA,NA,"20200212"
"9","","Viet Nam","15","0","20200212"
"10","","",NA,NA,"20200212"
"11","","Philippines","3","1","20200212"
"12","","Cambodia","1","0","20200212"
"13","","Thailand","33","0","20200212"
"14","","India","3","0","20200212"
"15","South-East Asia Region","",NA,NA,"20200212"
"16","","Nepal","1","0","20200212"
"17","","Sri Lanka","1","0","20200212"
"18","","United States of",NA,NA,"20200212"
"19","Region of the Americas America","United States of America","13","0","20200212"
"20","","Canada","7","0","20200212"
"21","","Germany","16","0","20200212"
"22","","France","11","0","20200212"
"23","","The United Kingdom","8","0","20200212"
"24","","Italy","3","0","20200212"
"25","European Region","Russian Federation","2","0","20200212"
"26","","Spain","2","0","20200212"
"27","","Belgium","1","0","20200212"
"28","","Finland","1","0","20200212"
"29","","Sweden","1","0","20200212"
"30","Eastern Mediterranean","",NA,NA,"20200212"
"31","Region","United Arab Emirates","8","0","20200212"
"32","International Other","",NA,NA,"20200212"
"33","","conveyance (Japan)","175**","0","20200212"
