"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80904","3123","","","20200309"
"2","Republic of Korea","7382","51","Local transmission","0","20200309"
"3","Japan","488","7","Local transmission","0","20200309"
"4","Singapore","150","0","Local transmission","0","20200309"
"5","Malaysia","93","0","Local transmission","1","20200309"
"6","Australia","77","3","Local transmission","0","20200309"
"7","Viet Nam","30","0","Local transmission","0","20200309"
"8","Philippines","10","1","Local transmission","0","20200309"
"9","New Zealand","5","0","Local transmission","2","20200309"
"10","Cambodia","2","0","Local transmission","1","20200309"
"11","European Region","","","","","20200309"
"12","Italy","7375","366","Local transmission","0","20200309"
"13","France","1116","19","Local transmission","0","20200309"
"14","Germany","1112","0","Local transmission","0","20200309"
"15","Spain","589","10","Local transmission","0","20200309"
"16","Switzerland","332","2","Local transmission","0","20200309"
"17","The United Kingdom","277","2","Local transmission","0","20200309"
"18","Netherlands","265","3","Local transmission","0","20200309"
"19","Sweden","203","0","Local transmission","0","20200309"
"20","Belgium","200","0","Local transmission","0","20200309"
"21","Norway","169","0","Local transmission","0","20200309"
"22","Austria","112","0","Local transmission","0","20200309"
"23","Greece","73","0","Local transmission","0","20200309"
"24","Iceland","55","0","Local transmission","0","20200309"
"25","Israel","39","0","Local transmission","0","20200309"
"26","San Marino","37","1","Local transmission","0","20200309"
"27","Denmark","36","0","Local transmission","0","20200309"
"28","Czechia","32","0","Local transmission","0","20200309"
"29","Finland","30","0","Local transmission","0","20200309"
"30","Portugal","30","0","Local transmission","0","20200309"
"31","Ireland","21","0","Local transmission","0","20200309"
"32","Slovenia","16","0","Local transmission","0","20200309"
"33","Romania","15","0","Local transmission","0","20200309"
"34","Georgia","13","0","Imported cases only","0","20200309"
"35","Croatia","11","0","Local transmission","2","20200309"
"36","Poland","11","0","Imported cases only","0","20200309"
"37","Estonia","10","0","Imported cases only","2","20200309"
"38","Azerbaijan","9","0","Imported cases only","2","20200309"
"39","Hungary","9","0","Local transmission","0","20200309"
"40","Russian Federation","7","0","Imported cases only","2","20200309"
"41","Belarus","6","0","Local transmission","4","20200309"
"42","Slovakia","5","0","Local transmission","0","20200309"
"43","Bulgaria","4","0","Local transmission","0","20200309"
"44","Latvia","3","0","Imported cases only","0","20200309"
"45","Malta","3","0","Imported cases only","1","20200309"
"46","North Macedonia","3","0","Imported cases only","2","20200309"
"47","Albania","2","0","Imported cases only","0","20200309"
"48","Bosnia and Herzegovina","2","0","Local transmission","4","20200309"
"49","Herzegovina","",NA,"",NA,"20200309"
"50","Luxembourg","2","0","Imported cases only","2","20200309"
"51","Andorra","1","0","Imported cases only","6","20200309"
"52","Armenia","1","0","Imported cases only","7","20200309"
"53","Holy See","1","0","Under investigation","3","20200309"
"54","Liechtenstein","1","0","Imported cases only","3","20200309"
"55","Lithuania","1","0","Imported cases only","10","20200309"
"56","Monaco","1","0","Under investigation","8","20200309"
"57","Republic of Moldova","1","0","Imported cases only","1","20200309"
"58","Serbia","1","0","Under investigation","3","20200309"
"59","Ukraine","1","0","Imported cases only","5","20200309"
"60","","erritories**",NA,"",NA,"20200309"
"61","Faroe Islands","2","0","Imported cases only","0","20200309"
"62","Gibraltar","1","0","Under investigation","5","20200309"
"63","","outh-East Asia Region",NA,"",NA,"20200309"
"64","Thailand","50","1","Local transmission","1","20200309"
"65","India","43","0","Local transmission","0","20200309"
"66","Indonesia","6","0","Local transmission","0","20200309"
"67","Maldives","4","0","Local transmission","0","20200309"
"68","Bangladesh","3","0","Local transmission","0","20200309"
