"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81747","3283","Local transmission","0","20200324"
"2","Republic of Korea","9037","120","Local transmission","0","20200324"
"3","Australia","1709","7","Local transmission","0","20200324"
"4","Malaysia","1518","14","Local transmission","0","20200324"
"5","Japan","1128","42","Local transmission","0","20200324"
"6","Singapore","507","2","Local transmission","0","20200324"
"7","Philippines","462","33","Local transmission","0","20200324"
"8","Viet Nam","123","0","Local transmission","0","20200324"
"9","New Zealand","102","0","Local transmission","1","20200324"
"10","Brunei Darussalam","91","0","Local transmission","0","20200324"
"11","Cambodia","87","0","Local transmission","0","20200324"
"12","Mongolia","10","0","Imported cases only","2","20200324"
"13","Fiji","3","0","Local transmission","0","20200324"
"14","Papua New Guinea","1","0","Imported cases only","3","20200324"
"15","Territories**","","","","","20200324"
"16","Guam","29","1","Local transmission","0","20200324"
"17","French Polynesia","18","0","Local transmission","0","20200324"
"18","New Caledonia","8","0","Imported cases only","0","20200324"
"19","European Region","","","","","20200324"
"20","Italy","63927","6077","Local transmission","0","20200324"
"21","Spain","33089","2182","Local transmission","0","20200324"
"22","Germany","29212","126","Local transmission","0","20200324"
"23","France","19615","860","Local transmission","0","20200324"
"24","Switzerland","8015","66","Local transmission","0","20200324"
"25","The United Kingdom","6654","335","Local transmission","0","20200324"
"26","Netherlands","4749","213","Local transmission","0","20200324"
"27","Austria","4486","25","Local transmission","0","20200324"
"28","Belgium","3743","88","Local transmission","0","20200324"
"29","Norway","2371","8","Local transmission","0","20200324"
"30","Portugal","2060","23","Local transmission","0","20200324"
"31","Sweden","2016","25","Local transmission","0","20200324"
"32","Turkey","1529","37","Local transmission","0","20200324"
"33","Denmark","1460","24","Local transmission","0","20200324"
"34","Israel","1238","1","Local transmission","0","20200324"
"35","Czechia","1236","1","Local transmission","0","20200324"
"36","Ireland","1125","6","Local transmission","0","20200324"
"37","Luxembourg","875","8","Local transmission","0","20200324"
"38","Poland","749","8","Local transmission","0","20200324"
"39","Finland","700","1","Local transmission","0","20200324"
"40","Greece","695","17","Local transmission","0","20200324"
"41","Iceland","588","2","Local transmission","0","20200324"
"42","Romania","576","7","Local transmission","0","20200324"
"43","Slovenia","442","1","Local transmission","0","20200324"
"44","Russian Federation","438","0","Local transmission","1","20200324"
"45","Estonia","352","0","Local transmission","0","20200324"
"46","Croatia","306","0","Local transmission","0","20200324"
"47","Serbia","249","2","Local transmission","0","20200324"
"48","Armenia","235","0","Local transmission","0","20200324"
"49","Bulgaria","201","3","Local transmission","0","20200324"
"50","Slovakia","191","0","Local transmission","0","20200324"
"51","Hungary","187","8","Local transmission","0","20200324"
"52","San Marino","187","20","Local transmission","0","20200324"
"53","Latvia","180","0","Local transmission","0","20200324"
"54","Lithuania","179","1","Local transmission","0","20200324"
"55","Andorra","164","1","Local transmission","0","20200324"
"56","North Macedonia","136","2","Local transmission","0","20200324"
"57","Bosnia and Herzegovina","131","1","Local transmission","0","20200324"
"58","Albania","123","4","Local transmission","0","20200324"
"59","Cyprus","116","0","Local transmission","0","20200324"
"60","Republic of Moldova","109","1","Local transmission","0","20200324"
"61","Malta","107","0","Local transmission","0","20200324"
"62","Ukraine","84","3","Local transmission","0","20200324"
"63","Belarus","81","0","Local transmission","0","20200324"
"64","Azerbaijan","72","1","Local transmission","0","20200324"
"65","Georgia","67","0","Local transmission","0","20200324"
"66","Kazakhstan","63","0","Imported cases only","0","20200324"
"67","Liechtenstein","46","0","Imported cases only","1","20200324"
"68","Uzbekistan","46","0","Local transmission","1","20200324"
"69","Monaco","23","0","Local transmission","1","20200324"
"70","Montenegro","22","0","Imported cases only","0","20200324"
"71","Kyrgyzstan","16","0","Local transmission","0","20200324"
"72","Holy See","1","0","Under investigation","17","20200324"
"73","Faroe Islands","118","0","Local transmission","0","20200324"
"74","Kosovo","61","1","Local transmission","0","20200324"
"75","Guernsey","20","0","Imported cases only","0","20200324"
"76","Jersey","16","0","Local transmission","0","20200324"
"77","Gibraltar","15","0","Under investigation","1","20200324"
"78","Isle of Man","13","0","Imported cases only","0","20200324"
"79","Greenland","4","0","Under investigation","0","20200324"
"80","Thailand","827","4","Local transmission","0","20200324"
"81","Indonesia","579","49","Local transmission","0","20200324"
"82","India","434","9","Local transmission","0","20200324"
"83","Sri Lanka","97","0","Local transmission","0","20200324"
"84","Bangladesh","33","3","Local transmission","0","20200324"
"85","Maldives","13","0","Local transmission","8","20200324"
"86","Bhutan","2","0","Imported cases only","4","20200324"
"87","Myanmar","2","0","Imported cases only","0","20200324"
"88","Nepal","2","0","Imported cases only","0","20200324"
"89","Timor-Leste","1","0","Imported cases only","3","20200324"
"90","Iran (Islamic Republic of)","23049","1812","Local transmission","0","20200324"
"91","Pakistan","887","6","Local transmission","0","20200324"
"92","Saudi Arabia","562","0","Local transmission","0","20200324"
"93","Qatar","501","0","Local transmission","0","20200324"
"94","Bahrain","377","2","Local transmission","0","20200324"
"95","Egypt","366","19","Local transmission","0","20200324"
"96","Lebanon","267","4","Local transmission","0","20200324"
"97","Iraq","266","23","Local transmission","0","20200324"
"98","United Arab Emirates","198","2","Local transmission","0","20200324"
"99","Kuwait","191","0","Local transmission","0","20200324"
"100","Morocco","143","4","Local transmission","0","20200324"
"101","Jordan","127","0","Imported cases only","0","20200324"
"102","Tunisia","89","3","Local transmission","0","20200324"
"103","Oman","84","0","Local transmission","0","20200324"
"104","Afghanistan","42","1","Imported cases only","0","20200324"
"105","Djibouti","3","0","Imported cases only","0","20200324"
"106","Sudan","2","1","Imported cases only","2","20200324"
"107","Somalia","1","0","Imported cases only","7","20200324"
"108","Syrian Arab Republic","1","0","Imported cases only","1","20200324"
"109","occupied Palestinian territory","59","0","Local transmission","1","20200324"
"110","United States of America","42164","471","Local transmission","0","20200324"
"111","Brazil","1546","25","Local transmission","0","20200324"
"112","Canada","1432","20","Local transmission","0","20200324"
"113","Ecuador","790","15","Local transmission","0","20200324"
"114","Chile","746","1","Local transmission","0","20200324"
"115","Peru","395","2","Local transmission","0","20200324"
"116","Mexico","370","4","Local transmission","0","20200324"
"117","Panama","345","6","Local transmission","0","20200324"
"118","Colombia","277","3","Local transmission","0","20200324"
"119","Argentina","266","4","Local transmission","0","20200324"
"120","Dominican Republic","245","3","Local transmission","0","20200324"
"121","Uruguay","162","0","Imported cases only","0","20200324"
"122","Costa Rica","158","2","Local transmission","0","20200324"
"123","Republic of)","70","0","Local transmission","1","20200324"
"124","Trinidad and Tobago","51","0","Imported cases only","0","20200324"
"125","Cuba","40","1","Imported cases only","0","20200324"
"126","Honduras","30","0","Local transmission","0","20200324"
"127","Bolivia (Plurinational State of)","27","0","Local transmission","0","20200324"
"128","Paraguay","22","1","Local transmission","1","20200324"
"129","Guatemala","20","1","Local transmission","0","20200324"
"130","Jamaica","19","1","Local transmission","1","20200324"
"131","Barbados","17","0","Imported cases only","0","20200324"
