"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80955","3162","","","20200311"
"2","Republic of Korea","7755","60","Local transmission","0","20200311"
"3","Japan","568","12","Local transmission","0","20200311"
"4","Singapore","166","0","Local transmission","0","20200311"
"5","Malaysia","129","0","Local transmission","0","20200311"
"6","Australia","112","3","Local transmission","0","20200311"
"7","Philippines","49","1","Local transmission","0","20200311"
"8","Viet Nam","35","0","Local transmission","0","20200311"
"9","New Zealand","5","0","Local transmission","4","20200311"
"10","Cambodia","3","0","Local transmission","0","20200311"
"11","Brunei Darussalam","1","0","Imported cases only","1","20200311"
"12","Mongolia","1","0","Imported cases only","1","20200311"
"13","European Region","","","","","20200311"
"14","Italy","10149","631","Local transmission","0","20200311"
"15","France","1774","33","Local transmission","0","20200311"
"16","Spain","1639","36","Local transmission","0","20200311"
"17","Germany","1296","2","Local transmission","0","20200311"
"18","Switzerland","491","3","Local transmission","0","20200311"
"19","Netherlands","382","4","Local transmission","0","20200311"
"20","The United Kingdom","373","6","Local transmission","0","20200311"
"21","Sweden","326","0","Local transmission","0","20200311"
"22","Norway","277","0","Local transmission","0","20200311"
"23","Belgium","267","0","Local transmission","0","20200311"
"24","Denmark","262","0","Local transmission","0","20200311"
"25","Austria","182","0","Local transmission","0","20200311"
"26","Greece","89","0","Local transmission","0","20200311"
"27","Israel","75","0","Local transmission","0","20200311"
"28","San Marino","63","2","Local transmission","0","20200311"
"29","Czechia","61","0","Local transmission","0","20200311"
"30","Iceland","61","0","Local transmission","1","20200311"
"31","Portugal","41","0","Local transmission","0","20200311"
"32","Finland","40","0","Local transmission","1","20200311"
"33","Ireland","34","0","Local transmission","0","20200311"
"34","Slovenia","31","0","Local transmission","0","20200311"
"35","Romania","25","0","Local transmission","0","20200311"
"36","Georgia","23","0","Imported cases only","0","20200311"
"37","Poland","22","0","Local transmission","0","20200311"
"38","Croatia","16","0","Local transmission","0","20200311"
"39","Estonia","13","0","Imported cases only","0","20200311"
"40","Hungary","13","0","Local transmission","0","20200311"
"41","Serbia","12","0","Local transmission","0","20200311"
"42","Albania","10","0","Local transmission","0","20200311"
"43","Bulgaria","6","0","Local transmission","0","20200311"
"44","Azerbaijan","9","0","Imported cases only","4","20200311"
"45","Belarus","9","0","Local transmission","0","20200311"
"46","Latvia","8","0","Imported cases only","0","20200311"
"47","North Macedonia","7","0","Local transmission","1","20200311"
"48","Russian Federation","7","0","Imported cases only","4","20200311"
"49","Slovakia","7","0","Local transmission","1","20200311"
"50","Luxembourg","5","0","Imported cases only","1","20200311"
"51","Bosnia and","",NA,"",NA,"20200311"
"52","Bosnia and Herzegovina","4","0","Local transmission","0","20200311"
"53","Malta","4","0","Imported cases only","1","20200311"
"54","Republic of Moldova","3","0","Imported cases only","0","20200311"
"55","Cyprus","2","0","Imported cases only","1","20200311"
"56","Andorra","1","0","Imported cases only","8","20200311"
"57","Armenia","1","0","Imported cases only","9","20200311"
"58","Holy See","1","0","Under investigation","5","20200311"
"59","Liechtenstein","1","0","Imported cases only","5","20200311"
"60","Lithuania","1","0","Imported cases only","12","20200311"
"61","Monaco","1","0","Under investigation","10","20200311"
"62","Ukraine","1","0","Imported cases only","7","20200311"
"63","","erritories**",NA,"",NA,"20200311"
"64","Faroe Islands","2","0","Imported cases only","2","20200311"
"65","Gibraltar","1","0","Under investigation","7","20200311"
"66","Guernsey","1","0","Imported cases only","1","20200311"
"67","","outh-East Asia Region",NA,"",NA,"20200311"
"68","India","60","0","Local transmission","0","20200311"
"69","Thailand","59","1","Local transmission","0","20200311"
"70","Indonesia","27","1","Local transmission","0","20200311"
"71","Maldives","8","0","Local transmission","0","20200311"
"72","Bangladesh","3","0","Local transmission","2","20200311"
"73","Bhutan","1","0","Imported cases only","5","20200311"
"74","Nepal","1","0","Imported cases only","47","20200311"
"75","Sri Lanka","1","0","Imported cases only","44","20200311"
"76","","astern Mediterranean Region",NA,"",NA,"20200311"
"77","Iran (Islamic","",NA,"",NA,"20200311"
"78","Iran (Islamic Republic of)","8042","291","Local transmission","0","20200311"
"79","Bahrain","110","0","Local transmission","0","20200311"
"80","United Arab","",NA,"",NA,"20200311"
"81","united Arab Emirates","74","0","Local transmission","0","20200311"
"82","Kuwait","69","0","Imported cases only","0","20200311"
"83","Iraq","61","6","Local transmission","1","20200311"
"84","Egypt","59","1","Local transmission","1","20200311"
"85","Lebanon","41","1","Local transmission","0","20200311"
"86","Qatar","24","0","Imported cases only","0","20200311"
"87","Saudi Arabia","20","0","Local transmission","0","20200311"
"88","Oman","18","0","Imported cases only","1","20200311"
"89","Pakistan","16","0","Local transmission","1","20200311"
"90","Tunisia","6","0","Local transmission","0","20200311"
"91","Afghanistan","4","0","Imported cases only","3","20200311"
"92","Morocco","3","1","Imported cases only","0","20200311"
"93","Jordan","1","0","Imported cases only","8","20200311"
"94","","erritories**",NA,"",NA,"20200311"
"95","occupied Palestinian","",NA,"",NA,"20200311"
"96","occupied Palestinian territory","30","0","Local transmission","0","20200311"
"97","","egion of the Americas",NA,"",NA,"20200311"
"98","United States of","",NA,"",NA,"20200311"
"99","United States of America","696","25","Local transmission","0","20200311"
"100","Canada","93","1","Local transmission","0","20200311"
"101","Brazil","34","0","Local transmission","0","20200311"
"102","Argentina","17","1","Imported cases only","0","20200311"
"103","Chile","17","0","Local transmission","0","20200311"
"104","Ecuador","15","0","Local transmission","2","20200311"
"105","Costa Rica","13","0","Local transmission","0","20200311"
"106","Peru","11","0","Local transmission","0","20200311"
"107","Panama","8","1","Imported cases only","0","20200311"
"108","Paraguay","5","0","Local transmission","0","20200311"
"109","Mexico","7","0","Imported cases only","3","20200311"
"110","Dominican Republic","5","0","Imported cases only","1","20200311"
"111","Colombia","3","0","Imported cases only","1","20200311"
"112","Bolivia (Plurinational",NA,NA,"",NA,"20200311"
"113","State of)","2","0","Imported cases only","0","20200311"
"114","Jamaica","1","0","Imported cases only","0","20200311"
"115","Territories**",NA,NA,"",NA,"20200311"
"116","French Guiana","5","0","Imported cases only","3","20200311"
"117","Martinique","3","0","Imported cases only","0","20200311"
"118","Saint Martin","2","0","Under investigation","8","20200311"
"119","Saint Barthelemy","1","0","Under investigation","8","20200311"
"120","African Region",NA,NA,"",NA,"20200311"
"121","Algeria","20","0","Local transmission","2","20200311"
"122","South Africa","7","0","Imported cases only","1","20200311"
"123","Senegal","4","0","Imported cases only","6","20200311"
"124","Burkina Faso","2","0","Imported cases only","0","20200311"
"125","Cameroon","2","0","Local transmission","4","20200311"
"126","Nigeria","2","0","Imported cases only","2","20200311"
"127","Democratic Republic",NA,NA,"",NA,"20200311"
"128","Democratic Republic of the Congo","1","0","Imported cases only","0","20200311"
"129","Togo","1","0","Imported cases only","4","20200311"
"130","Subtotal for all",NA,NA,"",NA,"20200311"
"131","",NA,NA,"",NA,"20200311"
"132","regions","36668","1123","",NA,"20200311"
"133","International",NA,NA,"",NA,"20200311"
"134","conveyance","696","7","Local transmission","3","20200311"
"135","(Diamond Princess)",NA,NA,"",NA,"20200311"
"136","Grand total","37364","1130","",NA,"20200311"
