"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81416","3261","Local transmission","0","20200321"
"2","Republic of Korea","8799","102","Local transmission","0","20200321"
"3","Malaysia","1030","3","Local transmission","0","20200321"
"4","Japan","996","35","Local transmission","0","20200321"
"5","Australia","873","7","Local transmission","0","20200321"
"6","Singapore","385","0","Local transmission","0","20200321"
"7","Philippines","230","18","Local transmission","0","20200321"
"8","Viet Nam","91","0","Local transmission","0","20200321"
"9","Brunei Darussalam","78","0","Local transmission","0","20200321"
"10","New Zealand","53","0","Local transmission","0","20200321"
"11","Cambodia","51","0","Local transmission","0","20200321"
"12","Mongolia","6","0","Imported cases only","1","20200321"
"13","Fiji","1","0","Imported cases only","1","20200321"
"14","Papua New Guinea","1","0","Imported cases only","0","20200321"
"15","Territories**","","","","","20200321"
"16","Guam","14","0","Local transmission","0","20200321"
"17","French Polynesia","11","0","Imported cases only","1","20200321"
"18","New Caledonia","2","0","Imported cases only","1","20200321"
"19","European Region ^","","","","","20200321"
"20","Italy","47021","4032","Local transmission","0","20200321"
"21","Spain","19980","1002","Local transmission","0","20200321"
"22","Germany","18323","45","Local transmission","0","20200321"
"23","France","12475","450","Local transmission","0","20200321"
"24","Switzerland","4840","43","Local transmission","0","20200321"
"25","The United Kingdom","3983","177","Local transmission","0","20200321"
"26","Netherlands","2994","106","Local transmission","0","20200321"
"27","Austria","2649","6","Local transmission","0","20200321"
"28","Belgium","2257","37","Local transmission","0","20200321"
"29","Norway","1742","7","Local transmission","0","20200321"
"30","Sweden","1623","16","Local transmission","0","20200321"
"31","Denmark","1255","9","Local transmission","0","20200321"
"32","Portugal","1020","6","Local transmission","0","20200321"
"33","Czechia","904","0","Local transmission","0","20200321"
"34","Israel","712","1","Local transmission","0","20200321"
"35","Ireland","683","3","Local transmission","0","20200321"
"36","Turkey","670","9","Local transmission","0","20200321"
"37","Greece","495","8","Local transmission","0","20200321"
"38","Luxembourg","484","5","Local transmission","0","20200321"
"39","Finland","450","0","Local transmission","0","20200321"
"40","Poland","425","5","Local transmission","0","20200321"
"41","Iceland","409","1","Local transmission","0","20200321"
"42","Slovenia","341","1","Local transmission","0","20200321"
"43","Romania","308","0","Local transmission","0","20200321"
"44","Estonia","283","0","Local transmission","0","20200321"
"45","Russian Federation","253","0","Imported cases only","0","20200321"
"46","San Marino","151","14","Local transmission","0","20200321"
"47","Slovakia","137","0","Local transmission","0","20200321"
"48","Armenia","136","0","Local transmission","0","20200321"
"49","Serbia","135","1","Local transmission","0","20200321"
"50","Bulgaria","127","3","Local transmission","0","20200321"
"51","Croatia","126","0","Local transmission","0","20200321"
"52","Latvia","111","0","Imported cases only","0","20200321"
"53","Hungary","85","4","Local transmission","0","20200321"
"54","Andorra","75","0","Imported cases only","1","20200321"
"55","Albania","70","2","Local transmission","1","20200321"
"56","North Macedonia","70","0","Local transmission","0","20200321"
"57","Lithuania","69","1","Imported cases only","0","20200321"
"58","Cyprus","67","0","Local transmission","0","20200321"
"59","Republic of Moldova","66","1","Local transmission","0","20200321"
"60","Malta","64","0","Imported cases only","0","20200321"
"61","Belarus","57","0","Local transmission","0","20200321"
"62","Kazakhstan","53","0","Imported cases only","0","20200321"
"63","Azerbaijan","44","1","Imported cases only","0","20200321"
"64","Bosnia and Herzegovina","44","0","Local transmission","1","20200321"
"65","Georgia","43","0","Imported cases only","0","20200321"
"66","Liechtenstein","34","0","Imported cases only","0","20200321"
"67","Uzbekistan","33","0","Local transmission","0","20200321"
"68","Ukraine","26","3","Local transmission","0","20200321"
"69","Montenegro","14","0","Imported cases only","0","20200321"
"70","Monaco","12","0","Under investigation","0","20200321"
"71","Kyrgyzstan","6","0","Imported cases only","0","20200321"
"72","Holy See","1","0","Under investigation","14","20200321"
"73","Faroe Islands","80","0","Imported cases only","0","20200321"
"74","Jersey","12","0","Imported cases only","0","20200321"
"75","Gibraltar","10","0","Under investigation","1","20200321"
"76","Greenland","2","0","Under investigation","2","20200321"
"77","Guernsey","1","0","Imported cases only","11","20200321"
"78","Isle of Man","1","0","Imported cases only","0","20200321"
"79","Indonesia","369","32","Local transmission","0","20200321"
"80","Thailand","322","1","Local transmission","1","20200321"
"81","India","195","4","Local transmission","1","20200321"
"82","Sri Lanka","59","0","Local transmission","1","20200321"
"83","Bangladesh","17","1","Local transmission","1","20200321"
"84","Maldives","13","0","Local transmission","5","20200321"
"85","Bhutan","2","0","Imported cases only","1","20200321"
"86","Nepal","1","0","Imported cases only","57","20200321"
"87","Timor-Leste","1","0","Imported cases only","0","20200321"
"88","Iran (Islamic Republic of)","19644","1433","Local transmission","0","20200321"
"89","Pakistan","461","2","Imported cases only","0","20200321"
"90","Qatar","460","0","Local transmission","0","20200321"
"91","Bahrain","285","1","Local transmission","0","20200321"
"92","Saudi Arabia","274","0","Local transmission","0","20200321"
"93","Egypt","256","7","Local transmission","0","20200321"
"94","Iraq","193","14","Local transmission","0","20200321"
"95","Lebanon","163","4","Local transmission","0","20200321"
"96","Kuwait","159","0","Local transmission","0","20200321"
"97","United Arab Emirates","140","0","Local transmission","1","20200321"
"98","Morocco","74","3","Local transmission","0","20200321"
"99","Jordan","69","0","Imported cases only","0","20200321"
"100","Tunisia","54","1","Local transmission","0","20200321"
"101","Oman","48","0","Local transmission","0","20200321"
"102","Afghanistan","24","0","Imported cases only","0","20200321"
"103","Djibouti","1","0","Under investigation","2","20200321"
"104","Somalia","1","0","Imported cases only","4","20200321"
"105","Sudan","1","1","Imported cases only","6","20200321"
"106","occupied Palestinian territory","48","0","Local transmission","0","20200321"
"107","United States of America","15219","201","Local transmission","0","20200321"
"108","Canada","846","9","Local transmission","0","20200321"
"109","Brazil","621","4","Local transmission","0","20200321"
"110","Chile","434","0","Local transmission","0","20200321"
"111","Ecuador","367","5","Local transmission","0","20200321"
"112","Peru","234","2","Local transmission","1","20200321"
"113","Mexico","164","1","Imported cases only","0","20200321"
"114","Colombia","145","0","Local transmission","0","20200321"
"115","Panama","137","1","Local transmission","0","20200321"
"116","Argentina","128","3","Local transmission","0","20200321"
"117","Costa Rica","113","2","Local transmission","0","20200321"
"118","Uruguay","94","0","Imported cases only","0","20200321"
"119","Dominican Republic","72","2","Local transmission","0","20200321"
"120","Venezuela (Bolivarian Republic of)","36","0","Imported cases only","2","20200321"
"121","Honduras","24","0","Imported cases only","0","20200321"
"122","Bolivia (Plurinational State of)","16","0","Local transmission","0","20200321"
"123","Cuba","16","1","Imported cases only","0","20200321"
"124","Jamaica","16","1","Local transmission","0","20200321"
"125","Paraguay","13","0","Local transmission","0","20200321"
"126","Guatemala","12","1","Imported cases only","0","20200321"
"127","Trinidad and Tobago","9","0","Imported cases only","1","20200321"
"128","Barbados","5","0","Imported cases only","0","20200321"
"129","Guyana","5","1","Local transmission","2","20200321"
"130","Bahamas","4","0","Local transmission","0","20200321"
