"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80859","3100","","","20200308"
"2","Republic of Korea","7134","50","Local transmission","0","20200308"
"3","Japan","455","6","Local transmission","0","20200308"
"4","Singapore","138","0","Local transmission","0","20200308"
"5","Malaysia","93","0","Local transmission","0","20200308"
"6","Australia","74","3","Local transmission","0","20200308"
"7","Viet Nam","21","0","Local transmission","0","20200308"
"8","Philippines","6","1","Local transmission","0","20200308"
"9","New Zealand","5","0","Local transmission","1","20200308"
"10","Cambodia","2","0","Local transmission","0","20200308"
"11","European Region","","","","","20200308"
"12","Italy","5883","234","Local transmission","0","20200308"
"13","Germany","795","0","Local transmission","0","20200308"
"14","France","706","10","Local transmission","0","20200308"
"15","Spain","430","5","Local transmission","0","20200308"
"16","Switzerland","264","2","Local transmission","0","20200308"
"17","The United Kingdom","210","2","Local transmission","0","20200308"
"18","Netherlands","188","1","Local transmission","0","20200308"
"19","Belgium","169","0","Local transmission","0","20200308"
"20","Sweden","161","0","Local transmission","0","20200308"
"21","Norway","147","0","Local transmission","0","20200308"
"22","Austria","104","0","Local transmission","0","20200308"
"23","Greece","66","0","Local transmission","0","20200308"
"24","Iceland","45","0","Local transmission","1","20200308"
"25","Denmark","31","0","Local transmission","0","20200308"
"26","San Marino","27","1","Local transmission","0","20200308"
"27","Czechia","26","0","Local transmission","0","20200308"
"28","Israel","25","0","Local transmission","0","20200308"
"29","Portugal","21","0","Local transmission","0","20200308"
"30","Finland","19","0","Local transmission","1","20200308"
"31","Ireland","19","0","Local transmission","0","20200308"
"32","Romania","13","0","Local transmission","0","20200308"
"33","Georgia","12","0","Imported cases only","0","20200308"
"34","Slovenia","12","0","Local transmission","0","20200308"
"35","Croatia","11","0","Local transmission","1","20200308"
"36","Estonia","10","0","Imported cases only","1","20200308"
"37","Azerbaijan","9","0","Imported cases only","1","20200308"
"38","Hungary","7","0","Local transmission","0","20200308"
"39","Russian Federation","7","0","Imported cases only","1","20200308"
"40","Belarus","6","0","Local transmission","3","20200308"
"41","Poland","6","0","Imported cases only","0","20200308"
"42","Malta","3","0","Imported cases only","0","20200308"
"43","North Macedonia","3","0","Imported cases only","1","20200308"
"44","Slovakia","3","0","Local transmission","0","20200308"
"45","Bosnia and","","","","","20200308"
"46","Bosnia and Herzegovina","2","0","Local transmission","3","20200308"
"47","Herzegovina","","","","","20200308"
"48","Bulgaria","2","0","Local transmission","0","20200308"
"49","Luxembourg","2","0","Imported cases only","1","20200308"
"50","Andorra","1","0","Imported cases only","5","20200308"
"51","Armenia","1","0","Imported cases only","6","20200308"
"52","Holy See","1","0","Under investigation","2","20200308"
"53","Latvia","1","0","Imported cases only","5","20200308"
"54","Liechtenstein","1","0","Imported cases only","2","20200308"
"55","Lithuania","1","0","Imported cases only","9","20200308"
"56","Monaco","1","0","Under investigation","7","20200308"
"57","Republic of Moldova","1","0","Imported cases only","0","20200308"
"58","Serbia","1","0","Under investigation","2","20200308"
"59","Ukraine","1","0","Imported cases only","4","20200308"
"60","","erritories**",NA,"",NA,"20200308"
"61","Faroe Islands","1","0","Imported cases only","2","20200308"
"62","Gibraltar","1","0","Under investigation","4","20200308"
"63","","outh-East Asia Region",NA,"",NA,"20200308"
"64","Thailand","50","1","Local transmission","0","20200308"
"65","India","34","0","Local transmission","0","20200308"
"66","Indonesia","4","0","Local transmission","1","20200308"
"67","Maldives","2","0","Local transmission","0","20200308"
