"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"68","Bhutan","1","0","Imported cases only","2","20200308"
"69","Nepal","1","0","Imported cases only","44","20200308"
"70","Sri Lanka","1","0","Imported cases only","41","20200308"
"71","","astern Mediterranean Region",NA,"",NA,"20200308"
"72","Iran (Islamic","",NA,"",NA,"20200308"
"73","Iran (Islamic Republic of)","5823","145","Local transmission","0","20200308"
"74","Kuwait","62","0","Imported cases only","0","20200308"
"75","Bahrain","56","0","Imported cases only","0","20200308"
"76","Iraq","54","4","Imported cases only","0","20200308"
"77","Egypt","48","0","Local transmission††","0","20200308"
"78","United Arab","",NA,"",NA,"20200308"
"79","united Arab Emirates","45","0","Local transmission","1","20200308"
"80","Lebanon","28","0","Local transmission","0","20200308"
"81","Oman","16","0","Imported cases only","2","20200308"
"82","Qatar","12","0","Imported cases only","0","20200308"
"83","Saudi Arabia","7","0","Imported cases only","0","20200308"
"84","Pakistan","5","0","Imported cases only","5","20200308"
"85","Afghanistan","4","0","Imported cases only","0","20200308"
"86","Morocco","2","0","Imported cases only","3","20200308"
"87","Jordan","1","0","Imported cases only","5","20200308"
"88","Tunisia","1","0","Imported cases only","5","20200308"
"89","","erritories**",NA,"",NA,"20200308"
"90","Occupied","",NA,"",NA,"20200308"
"91","occupied Palestinian territory","16","0","Local transmission","1","20200308"
"92","","egion of the Americas",NA,"",NA,"20200308"
"93","United States of","",NA,"",NA,"20200308"
"94","United States of America","213","11","Local transmission","1","20200308"
"95","Canada","57","0","Local transmission","0","20200308"
"96","Brazil","19","0","Local transmission","0","20200308"
"97","Ecuador","14","0","Local transmission","1","20200308"
"98","Argentina","9","1","Imported cases only","0","20200308"
"99","Mexico","7","0","Imported cases only","0","20200308"
"100","Peru","6","0","Local transmission","1","20200308"
"101","Chile","5","0","Imported cases only","1","20200308"
"102","Costa Rica","5","0","Imported cases only","0","20200308"
"103","Colombia","1","0","Imported cases only","1","20200308"
"104","Dominican Republic","1","0","Imported cases only","6","20200308"
"105","Territories**",NA,NA,"",NA,"20200308"
"106","French Guiana","5","0","Imported cases only","0","20200308"
"107","Martinique","2","0","Imported cases only","0","20200308"
"108","Saint Martin","2","0","Under investigation","5","20200308"
"109","Saint Barthélemy","1","0","Under investigation","5","20200308"
"110","African Region",NA,NA,"",NA,"20200308"
"111","Algeria","17","0","Local transmission","1","20200308"
"112","Senegal","4","0","Imported cases only","3","20200308"
"113","Cameroon","2","0","Local transmission","1","20200308"
"114","South Africa","2","0","Imported cases only","0","20200308"
"115","Nigeria","1","0","Imported cases only","9","20200308"
"116","Togo","1","0","Imported cases only","1","20200308"
"117","Subtotal for all",NA,NA,"",NA,"20200308"
"118","","24031","477","",NA,"20200308"
"119","regions",NA,NA,"",NA,"20200308"
"120","International",NA,NA,"",NA,"20200308"
"121","conveyance","696","7","Local transmission","0","20200308"
"122","(Diamond Princess)",NA,NA,"",NA,"20200308"
"123","Grand total","24727","484","",NA,"20200308"
