"","contry","confirmed","death","date"
"1","Singapore","77","0","20200218"
"2","Japan","65","1","20200218"
"3","Republic of Korea","31","0","20200218"
"4","Malaysia","22","0","20200218"
"5","Viet Nam","16","0","20200218"
"6","Australia","15","0","20200218"
"7","Philippines","3","1","20200218"
"8","Cambodia","1","0","20200218"
"9","Thailand","35","0","20200218"
"10","India","3","0","20200218"
"11","China","72528","1870","20200218"
"12","Nepal","1","0","20200218"
"13","Sri Lanka","1","0","20200218"
"14","United States of America","15","0","20200218"
"15","United States of ",NA,NA,"20200218"
"16","Canada","8","0","20200218"
"17","Germany","16","0","20200218"
"18","France","12","1","20200218"
"19","The United Kingdom","9","0","20200218"
"20","Italy","3","0","20200218"
"21","Russian Federation","2","0","20200218"
"22","Spain","2","0","20200218"
"23","Belgium","1","0","20200218"
"24","Finland","1","0","20200218"
"25","Sweden","1","0","20200218"
"26","United Arab Emirates","9","0","20200218"
"27","Egypt","1","0","20200218"
"28","International Other",NA,NA,"20200218"
"29","conveyance (Japan)","454‡‡","0","20200218"
