"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81848","3287","Local transmission","0","20200325"
"2","Republic of Korea","9137","126","Local transmission","0","20200325"
"3","Australia","2252","8","Local transmission","0","20200325"
"4","Malaysia","1624","16","Local transmission","0","20200325"
"5","Japan","1193","43","Local transmission","0","20200325"
"6","Singapore","558","2","Local transmission","0","20200325"
"7","Philippines","552","35","Local transmission","0","20200325"
"8","New Zealand","189","0","Local transmission","0","20200325"
"9","Viet Nam","134","0","Local transmission","0","20200325"
"10","Brunei Darussalam","104","0","Local transmission","0","20200325"
"11","Cambodia","91","0","Local transmission","0","20200325"
"12","Mongolia","10","0","Imported cases only","3","20200325"
"13","Fiji","4","0","Local transmission","0","20200325"
"14","Lao People's","","","","","20200325"
"15","Lao People's Democratic Republic","2","0","Under investigation","0","20200325"
"16","Democratic Republic","","","","","20200325"
"17","Papua New Guinea","1","0","Imported cases only","4","20200325"
"18","Territories**","","","","","20200325"
"19","Guam","32","1","Local transmission","0","20200325"
"20","French Polynesia","25","0","Local transmission","0","20200325"
"21","New Caledonia","10","0","Local transmission","0","20200325"
"22","European Region","","","","","20200325"
"23","Italy","69176","6820","Local transmission","0","20200325"
"24","Spain","39673","2696","Local transmission","0","20200325"
"25","Germany","31554","149","Local transmission","0","20200325"
"26","France","22025","1100","Local transmission","0","20200325"
"27","Switzerland","8789","86","Local transmission","0","20200325"
"28","The United Kingdom","8081","422","Local transmission","0","20200325"
"29","Netherlands","5560","276","Local transmission","0","20200325"
"30","Austria","5282","30","Local transmission","0","20200325"
"31","Belgium","4269","122","Local transmission","0","20200325"
"32","Norway","2566","10","Local transmission","0","20200325"
"33","Portugal","2362","33","Local transmission","0","20200325"
"34","Sweden","2272","36","Local transmission","0","20200325"
"35","Israel","2170","5","Local transmission","0","20200325"
"36","Turkey","1872","44","Local transmission","0","20200325"
"37","Denmark","1591","32","Local transmission","0","20200325"
"38","Czechia","1394","3","Local transmission","0","20200325"
"39","Ireland","1329","7","Local transmission","0","20200325"
"40","Luxembourg","1099","8","Local transmission","0","20200325"
"41","Poland","901","10","Local transmission","0","20200325"
"42","Finland","792","1","Local transmission","0","20200325"
"43","Romania","762","11","Local transmission","0","20200325"
"44","Greece","743","20","Local transmission","0","20200325"
"45","Russian Federation","658","0","Local transmission","0","20200325"
"46","Iceland","648","2","Local transmission","0","20200325"
"47","Slovenia","480","3","Local transmission","0","20200325"
"48","Croatia","382","1","Local transmission","0","20200325"
"49","Estonia","369","0","Local transmission","0","20200325"
"50","Serbia","303","3","Local transmission","0","20200325"
"51","Armenia","265","0","Local transmission","0","20200325"
"52","Hungary","226","10","Local transmission","0","20200325"
"53","Bulgaria","220","3","Local transmission","0","20200325"
"54","Lithuania","209","2","Local transmission","0","20200325"
"55","Slovakia","204","0","Local transmission","0","20200325"
"56","Latvia","197","0","Local transmission","0","20200325"
"57","Andorra","188","1","Local transmission","0","20200325"
"58","San Marino","187","21","Local transmission","1","20200325"
"59","Bosnia and Herzegovina","164","2","Local transmission","0","20200325"
"60","North Macedonia","148","2","Local transmission","0","20200325"
"61","Albania","146","5","Local transmission","0","20200325"
"62","Republic of Moldova","125","1","Local transmission","0","20200325"
"63","Cyprus","124","3","Local transmission","0","20200325"
"64","Malta","120","0","Local transmission","0","20200325"
"65","Ukraine","113","4","Local transmission","0","20200325"
"66","Azerbaijan","87","1","Local transmission","0","20200325"
"67","Belarus","81","0","Local transmission","1","20200325"
"68","Kazakhstan","79","0","Imported cases only","0","20200325"
"69","Georgia","73","0","Local transmission","0","20200325"
"70","Uzbekistan","50","0","Local transmission","0","20200325"
"71","Liechtenstein","47","0","Imported cases only","0","20200325"
"72","Kyrgyzstan","42","0","Local transmission","0","20200325"
"73","Montenegro","29","0","Imported cases only","0","20200325"
"74","Monaco","23","0","Local transmission","2","20200325"
"75","Holy See","1","0","Under investigation","18","20200325"
"76","Faroe Islands","122","0","Local transmission","0","20200325"
"77","Kosovo","63","1","Local transmission","0","20200325"
"78","Guernsey","23","0","Local transmission","0","20200325"
"79","Isle of Man","23","0","Imported cases only","0","20200325"
"80","Jersey","16","0","Local transmission","1","20200325"
"81","Gibraltar","15","0","Local transmission","2","20200325"
"82","Greenland","4","0","Under investigation","1","20200325"
"83","Thailand","934","4","Local transmission","0","20200325"
"84","Indonesia","686","55","Local transmission","0","20200325"
"85","India","562","9","Local transmission","0","20200325"
"86","Sri Lanka","102","0","Local transmission","0","20200325"
"87","Bangladesh","39","4","Local transmission","0","20200325"
"88","Maldives","13","0","Local transmission","9","20200325"
"89","Myanmar","3","0","Imported cases only","0","20200325"
"90","Bhutan","2","0","Imported cases only","5","20200325"
"91","Nepal","2","0","Imported cases only","1","20200325"
"92","Timor-Leste","1","0","Imported cases only","4","20200325"
"93","Iran (Islamic Republic of)","24811","1934","Local transmission","0","20200325"
"94","Pakistan","991","7","Local transmission","0","20200325"
"95","Saudi Arabia","767","1","Local transmission","0","20200325"
"96","Qatar","526","0","Local transmission","0","20200325"
"97","Egypt","402","20","Local transmission","0","20200325"
"98","Bahrain","392","3","Local transmission","0","20200325"
"99","Iraq","316","27","Local transmission","0","20200325"
"100","Lebanon","304","4","Local transmission","0","20200325"
"101","United Arab Emirates","248","2","Local transmission","0","20200325"
"102","Kuwait","195","0","Local transmission","0","20200325"
"103","Morocco","170","5","Local transmission","0","20200325"
"104","Jordan","153","0","Imported cases only","0","20200325"
"105","Tunisia","114","3","Local transmission","0","20200325"
"106","Oman","99","0","Local transmission","0","20200325"
"107","Afghanistan","74","1","Imported cases only","0","20200325"
"108","Djibouti","3","0","Imported cases only","1","20200325"
"109","Sudan","3","1","Imported cases only","0","20200325"
"110","Libya","1","0","Imported cases only","0","20200325"
"111","Somalia","1","0","Imported cases only","8","20200325"
"112","Syrian Arab Republic","1","0","Imported cases only","2","20200325"
"113","territory","60","0","Local transmission","0","20200325"
"114","United States of America","51914","673","Local transmission","0","20200325"
"115","Brazil","2201","46","Local transmission","0","20200325"
"116","Canada","1739","25","Local transmission","0","20200325"
"117","Ecuador","1049","27","Local transmission","0","20200325"
"118","Chile","922","2","Local transmission","0","20200325"
"119","Peru","416","5","Local transmission","0","20200325"
