"","region","contry","confirmed","death","date"
"1","","China","34598","723","20200208"
"2","","Singapore","33","0","20200208"
"3","Western Pacific Region","",NA,NA,"20200208"
"4","0 (0)","Japan","25","0","20200208"
"5","","Republic of Korea","24","0","20200208"
"6","","Australia","15","0","20200208"
"7","","Malaysia","15","0","20200208"
"8","","",NA,NA,"20200208"
"9","","Viet Nam","13","0","20200208"
"10","","",NA,NA,"20200208"
"11","","Philippines","3","1","20200208"
"12","","Cambodia","1","0","20200208"
"13","","Thailand","32","0","20200208"
"14","","India","3","0","20200208"
"15","South-East Asia Region","",NA,NA,"20200208"
"16","","Nepal","1","0","20200208"
"17","","Sri Lanka","1","0","20200208"
"18","","United States of",NA,NA,"20200208"
"19","Region of the Americas America","United States of America","12","0","20200208"
"20","","Canada","7","0","20200208"
"21","","Germany","14","0","20200208"
"22","","France","6","0","20200208"
"23","","Italy","3","0","20200208"
"24","","The United Kingdom","3","0","20200208"
"25","European Region","Russian Federation","2","0","20200208"
"26","","Belgium","1","0","20200208"
"27","","Finland","1","0","20200208"
"28","","Spain","1","0","20200208"
"29","","Sweden","1","0","20200208"
"30","Eastern Mediterranean","",NA,NA,"20200208"
"31","Region","United Arab Emirates","7","0","20200208"
"32","International Other","",NA,NA,"20200208"
"33","","conveyance (Japan)","64**","0","20200208"
