,contry,confirmed,death,Transmission.classification,Days.since.last.reported.case,date
1,China,80422,2984,,,20200304
2,Republic of Korea,5328,32,Local transmission,0,20200304
3,Japan,284,6,Local transmission,0,20200304
4,Singapore,110,0,Local transmission,0,20200304
5,Malaysia,50,0,Local transmission,0,20200304
6,Australia,43,1,Local transmission,0,20200304
7,Viet Nam,16,0,Local transmission,20,20200304
8,Philippines,3,1,Imported cases only,28,20200304
9,New Zealand,2,0,Imported cases only,1,20200304
10,Cambodia,1,0,Imported cases only,36,20200304
11,European Region,,,,,20200304
12,Italy,2502,80,Local transmission,0,20200304
13,France,212,4,Local transmission,0,20200304
14,Germany,196,0,Local transmission,0,20200304
15,Spain,151,0,Local transmission,0,20200304
16,the United,,,,,20200304
17,the United Kingdom,51,0,Local transmission,0,20200304
18,Switzerland,37,0,Local transmission,0,20200304
19,Norway,33,0,Local transmission,0,20200304
20,Netherlands,28,0,Local transmission,0,20200304
21,Austria,24,0,Imported cases only,0,20200304
22,Sweden,24,0,Local transmission,0,20200304
23,Iceland,16,0,Imported cases only,0,20200304
24,Israel,12,0,Local transmission,0,20200304
25,Croatia,9,0,Local transmission,0,20200304
26,Belgium,8,0,Imported cases only,1,20200304
27,Denmark,8,0,Local transmission,0,20200304
28,San Marino,8,0,Local transmission,1,20200304
29,Finland,7,0,Local transmission,1,20200304
30,Greece,7,0,Local transmission,2,20200304
31,Czechia,5,0,Imported cases only,0,20200304
32,Romania,4,0,Local transmission,0,20200304
33,Azerbaijan,3,0,Imported cases only,3,20200304
34,Georgia,3,0,Imported cases only,3,20200304
35,Russian Federation,3,0,Imported cases only,1,20200304
36,Estonia,2,0,Imported cases only,0,20200304
37,Ireland,2,0,Imported cases only,0,20200304
38,Portugal,2,0,Imported cases only,1,20200304
39,Andorra,1,0,Imported cases only,1,20200304
40,Armenia,1,0,Imported cases only,2,20200304
41,Belarus,1,0,Imported cases only,5,20200304
42,Latvia,1,0,Imported cases only,1,20200304
43,Lithuania,1,0,Imported cases only,5,20200304
44,Luxembourg,1,0,Imported cases only,2,20200304
45,Monaco,1,0,Under investigation,3,20200304
46,North Macedonia,1,0,Imported cases only,6,20200304
47,Poland,1,0,Imported cases only,0,20200304
48,Ukraine,1,0,Imported cases only,0,20200304
49,Thailand,43,1,Local transmission,1,20200304
50,India,6,0,Imported cases only,0,20200304
51,Indonesia,2,0,Local transmission,2,20200304
52,Nepal,1,0,Imported cases only,40,20200304
53,Sri Lanka,1,0,Imported cases only,37,20200304
54,Iran (Islamic Republic of),2336,77,Local transmission,0,20200304
55,Kuwait,56,0,Imported cases only,2,20200304
56,Bahrain,49,0,Imported cases only,1,20200304
57,Iraq,31,0,Imported cases only,0,20200304
58,United Arab Emirates,27,0,Local transmission,0,20200304
59,Lebanon,13,0,Local transmission,1,20200304
60,Oman,12,0,Imported cases only,0,20200304
61,Qatar,8,0,Imported cases only,0,20200304
62,Pakistan,5,0,Imported cases only,1,20200304
63,Egypt,2,0,Imported cases only,2,20200304
64,Afghanistan,1,0,Imported cases only,8,20200304
65,Jordan,1,0,Imported cases only,1,20200304
66,Morocco,1,0,Imported cases only,1,20200304
67,Saudi Arabia,1,0,Imported cases only,1,20200304
68,Tunisia,1,0,Imported cases only,1,20200304
69,United States of America,108,6,Local transmission,0,20200304
70,Canada,30,0,Local transmission,0,20200304
71,Ecuador,7,0,Local transmission,0,20200304
72,Mexico,5,0,Imported cases only,2,20200304
73,Brazil,2,0,Imported cases only,3,20200304
74,Argentina,1,0,Imported cases only,0,20200304
75,Chile,1,0,Imported cases only,0,20200304
76,Dominican Republic,1,0,Imported cases only,2,20200304
77,Algeria,5,0,Local transmission,1,20200304
78,Nigeria,1,0,Imported cases only,5,20200304
79,Senegal,1,0,Imported cases only,1,20200304
80,conveyance,706,6,Local transmission,2,20200304
