"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"77","Gibraltar","55","0","Local transmission","0","20200328"
"78","Jersey","52","1","Local transmission","0","20200328"
"79","Guernsey","36","0","Local transmission","0","20200328"
"80","Isle of Man","29","0","Local transmission","0","20200328"
"81","Greenland","9","0","Under investigation","0","20200328"
"82","Thailand","1136","5","Local transmission","1","20200328"
"83","Indonesia","1046","87","Local transmission","0","20200328"
"84","India","724","17","Local transmission","1","20200328"
"85","Sri Lanka","106","0","Local transmission","1","20200328"
"86","Bangladesh","48","5","Local transmission","1","20200328"
"87","Maldives","13","0","Local transmission","12","20200328"
"88","Myanmar","5","0","Imported cases only","1","20200328"
"89","Bhutan","3","0","Imported cases only","1","20200328"
"90","Nepal","3","0","Imported cases only","2","20200328"
"91","Timor-Leste","1","0","Imported cases only","7","20200328"
"92","Iran (Islamic Republic of)","32332","2378","Local transmission","0","20200328"
"93","Pakistan","1235","9","Local transmission","0","20200328"
"94","Saudi Arabia","1104","3","Local transmission","0","20200328"
"95","Qatar","562","0","Local transmission","0","20200328"
"96","Egypt","536","30","Local transmission","0","20200328"
"97","Bahrain","473","4","Local transmission","0","20200328"
"98","Iraq","458","40","Local transmission","0","20200328"
"99","United Arab Emirates","405","2","Local transmission","0","20200328"
"100","Lebanon","391","8","Local transmission","0","20200328"
"101","Morocco","358","23","Local transmission","0","20200328"
"102","Jordan","235","1","Local transmission","0","20200328"
"103","Kuwait","235","0","Local transmission","0","20200328"
"104","Tunisia","227","6","Local transmission","0","20200328"
"105","Oman","152","0","Local transmission","0","20200328"
"106","Afghanistan","106","2","Local transmission","0","20200328"
"107","Djibouti","13","0","Local transmission","0","20200328"
"108","Syrian Arab Republic","5","0","Imported cases only","2","20200328"
"109","Somalia","3","0","Imported cases only","1","20200328"
"110","Sudan","3","1","Imported cases only","3","20200328"
"111","Libya","1","0","Imported cases only","3","20200328"
"112","occupied Palestinian territory","97","1","Local transmission","0","20200328"
"113","United States of America","85228","1243","Local transmission","0","20200328"
"114","Canada","4018","39","Local transmission","0","20200328"
"115","Brazil","2915","77","Local transmission","0","20200328"
"116","Chile","1610","5","Local transmission","0","20200328"
"117","Ecuador","1595","36","Local transmission","0","20200328"
"118","Panama","674","9","Local transmission","0","20200328"
"119","Argentina","589","12","Local transmission","0","20200328"
"120","Mexico","589","8","Local transmission","0","20200328"
"121","Dominican Republic","581","20","Local transmission","0","20200328"
"122","Peru","580","9","Local transmission","1","20200328"
"123","Colombia","491","6","Local transmission","0","20200328"
"124","Uruguay","238","0","Local transmission","0","20200328"
"125","Costa Rica","231","2","Local transmission","0","20200328"
"126","Venezuela (Bolivarian Republic of)","106","0","Local transmission","0","20200328"
"127","Cuba","80","2","Local transmission","0","20200328"
"128","Honduras","67","1","Local transmission","0","20200328"
"129","Trinidad and Tobago","66","2","Local transmission","0","20200328"
"130","Bolivia (Plurinational State of)","61","0","Local transmission","0","20200328"
"131","Paraguay","52","3","Local transmission","0","20200328"
"132","Jamaica","26","1","Local transmission","2","20200328"
"133","Guatemala","25","1","Local transmission","0","20200328"
"134","Barbados","24","0","Local transmission","0","20200328"
"135","El Salvador","13","0","Imported cases only","2","20200328"
"136","Dominica","11","0","Local transmission","1","20200328"
"137","Bahamas","9","0","Local transmission","0","20200328"
"138","Haiti","8","0","Imported cases only","2","20200328"
"139","Suriname","8","0","Imported cases only","0","20200328"
"140","Antigua and Barbuda","7","0","Imported cases only","0","20200328"
"141","Grenada","7","0","Local transmission","1","20200328"
"142","Guyana","5","1","Local transmission","9","20200328"
"143","Saint Lucia","3","0","Imported cases only","4","20200328"
"144","Belize","2","0","Local transmission","2","20200328"
"145","Nicaragua","2","1","Imported cases only","6","20200328"
"146","Saint Kitts and Nevis","2","0","Imported cases only","2","20200328"
"147","Saint Vincent and the Grenadines","1","0","Imported cases only","15","20200328"
"148","Guadeloupe","96","2","Imported cases only","0","20200328"
"149","Martinique","93","1","Imported cases only","0","20200328"
"150","Puerto Rico","64","2","Imported cases only","1","20200328"
"151","French Guiana","31","0","Local transmission","0","20200328"
"152","Aruba","28","0","Local transmission","0","20200328"
"153","United States Virgin Island","17","0","Imported cases only","4","20200328"
"154","Bermuda","15","0","Local transmission","0","20200328"
"155","Saint Martin","12","0","Under investigation","0","20200328"
"156","Cayman Islands","8","1","Imported cases only","2","20200328"
"157","Curaçao","7","1","Imported cases only","1","20200328"
"158","Montserrat","5","0","Imported cases only","0","20200328"
"159","Saint Barthélemy","5","0","Under investigation","0","20200328"
"160","Sint Maarten","3","0","Imported cases only","0","20200328"
"161","Anguilla","2","0","Local transmission","1","20200328"
"162","British Virgin Islands","2","0","Imported cases only","1","20200328"
"163","Turks and Caicos Island","2","0","Imported cases only","1","20200328"
"164","South Africa","1170","2","Local transmission","0","20200328"
"165","Algeria","367","25","Local transmission","0","20200328"
"166","Burkina Faso","146","3","Local transmission","2","20200328"
"167","Ghana","137","4","Local transmission","0","20200328"
"168","Senegal","119","0","Local transmission","0","20200328"
"169","Mauritius","96","2","Imported cases only","0","20200328"
"170","Cote d’Ivoire","92","0","Imported cases only","0","20200328"
"171","Cameroon","75","1","Local transmission","1","20200328"
"172","Nigeria","65","1","Local transmission","1","20200328"
"173","Democratic Republic of the Congo","58","4","Local transmission","0","20200328"
"174","Rwanda","54","0","Local transmission","0","20200328"
"175","Madagascar","26","0","Imported cases only","0","20200328"
"176","Kenya","25","1","Local transmission","3","20200328"
"177","Togo","25","0","Imported cases only","0","20200328"
"178","Congo","19","0","Imported cases only","0","20200328"
"179","Ethiopia","16","0","Imported cases only","0","20200328"
"180","Uganda","14","0","Imported cases only","2","20200328"
"181","United Republic of Tanzania","13","0","Imported cases only","2","20200328"
"182","Zambia","13","0","Local transmission","0","20200328"
"183","Niger","10","1","Local transmission","1","20200328"
"184","Eswatini","9","0","Imported cases only","0","20200328"
"185","Mali","9","0","Local transmission","0","20200328"
"186","Guinea","8","0","Imported cases only","0","20200328"
"187","Namibia","8","0","Imported cases only","1","20200328"
"188","Gabon","7","1","Imported cases only","0","20200328"
"189","Mozambique","7","0","Local transmission","0","20200328"
"190","Seychelles","7","0","Imported cases only","6","20200328"
"191","Benin","6","0","Imported cases only","1","20200328"
"192","Central African Republic","6","0","Imported cases only","0","20200328"
"193","Equatorial Guinea","6","0","Imported cases only","6","20200328"
"194","Eritrea","6","0","Imported cases only","1","20200328"
"195","Cabo Verde","5","1","Imported cases only","0","20200328"
"196","Chad","5","0","Imported cases only","1","20200328"
"197","Zimbabwe","5","1","Local transmission","0","20200328"
"198","Liberia","3","0","Local transmission","6","20200328"
"199","Mauritania","3","0","Imported cases only","1","20200328"
"200","Angola","2","0","Imported cases only","6","20200328"
"201","Gambia","2","1","Imported cases only","3","20200328"
"202","Guinea-Bissau","2","0","Imported cases only","2","20200328"
"203","Réunion","135","0","Local transmission","1","20200328"
"204","Mayotte","50","0","Local transmission","1","20200328"
"205","conveyance","712","7","Local transmission","12","20200328"
