"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","82213","3301","Local transmission","0","20200328"
"2","Republic of Korea","9478","144","Local transmission","0","20200328"
"3","Australia","3635","14","Local transmission","0","20200328"
"4","Malaysia","2161","26","Local transmission","0","20200328"
"5","Japan","1499","49","Local transmission","0","20200328"
"6","Philippines","803","54","Local transmission","0","20200328"
"7","Singapore","732","2","Local transmission","0","20200328"
"8","New Zealand","416","0","Local transmission","0","20200328"
"9","Viet Nam","169","0","Local transmission","0","20200328"
"10","Brunei Darussalam","115","1","Local transmission","0","20200328"
"11","Cambodia","102","0","Local transmission","0","20200328"
"12","Mongolia","12","0","Imported cases only","0","20200328"
"13","Lao People's","","","","","20200328"
"14","Lao People's Democratic Republic","6","0","Local transmission","1","20200328"
"15","Fiji","5","0","Local transmission","2","20200328"
"16","Papua New Guinea","1","0","Imported cases only","7","20200328"
"17","Territories**","","","","","20200328"
"18","Guam","51","1","Local transmission","0","20200328"
"19","French Polynesia","30","0","Local transmission","1","20200328"
"20","New Caledonia","15","0","Local transmission","0","20200328"
"21","European Region","","","","","20200328"
"22","Italy","86498","9136","Local transmission","0","20200328"
"23","Spain","64059","4858","Local transmission","0","20200328"
"24","Germany","48582","325","Local transmission","0","20200328"
"25","France","32542","1992","Local transmission","0","20200328"
"26","The United Kingdom","14547","759","Local transmission","0","20200328"
"27","Switzerland","12104","197","Local transmission","0","20200328"
"28","Netherlands","8603","546","Local transmission","0","20200328"
"29","Austria","7697","68","Local transmission","0","20200328"
"30","Belgium","7284","289","Local transmission","0","20200328"
"31","Turkey","5698","92","Local transmission","0","20200328"
"32","Portugal","4268","76","Local transmission","0","20200328"
"33","Norway","3581","16","Local transmission","0","20200328"
"34","Israel","3460","12","Local transmission","0","20200328"
"35","Sweden","3046","92","Local transmission","0","20200328"
"36","Czechia","2279","9","Local transmission","0","20200328"
"37","Ireland","2121","22","Local transmission","0","20200328"
"38","Denmark","2046","52","Local transmission","0","20200328"
"39","Luxembourg","1605","15","Local transmission","0","20200328"
"40","Poland","1389","16","Local transmission","0","20200328"
"41","Romania","1292","24","Local transmission","0","20200328"
"42","Russian Federation","1264","4","Local transmission","0","20200328"
"43","Finland","1025","7","Local transmission","0","20200328"
"44","Greece","966","28","Local transmission","0","20200328"
"45","Iceland","890","2","Local transmission","0","20200328"
"46","Slovenia","632","9","Local transmission","0","20200328"
"47","Croatia","586","3","Local transmission","0","20200328"
"48","Estonia","575","1","Local transmission","0","20200328"
"49","Serbia","528","7","Local transmission","0","20200328"
"50","Armenia","372","1","Local transmission","0","20200328"
"51","Lithuania","358","5","Local transmission","0","20200328"
"52","Hungary","343","11","Local transmission","0","20200328"
"53","Ukraine","311","8","Local transmission","0","20200328"
"54","Slovakia","295","0","Local transmission","0","20200328"
"55","Bulgaria","293","3","Local transmission","0","20200328"
"56","Andorra","289","3","Local transmission","0","20200328"
"57","Latvia","280","0","Local transmission","0","20200328"
"58","Bosnia and Herzegovina","233","4","Local transmission","0","20200328"
"59","San Marino","228","21","Local transmission","0","20200328"
"60","North Macedonia","219","3","Local transmission","0","20200328"
"61","Kazakhstan","204","1","Imported cases only","0","20200328"
"62","Republic of Moldova","199","2","Local transmission","0","20200328"
"63","Albania","197","9","Local transmission","0","20200328"
"64","Cyprus","162","5","Local transmission","0","20200328"
"65","Azerbaijan","147","3","Local transmission","0","20200328"
"66","Malta","139","0","Local transmission","0","20200328"
"67","Uzbekistan","104","1","Local transmission","0","20200328"
"68","Belarus","94","0","Local transmission","0","20200328"
"69","Georgia","85","0","Local transmission","0","20200328"
"70","Montenegro","70","1","Local transmission","0","20200328"
"71","Liechtenstein","60","0","Imported cases only","0","20200328"
"72","Kyrgyzstan","58","0","Local transmission","1","20200328"
"73","Monaco","19","0","Local transmission","5","20200328"
"74","Holy See","4","0","Under investigation","2","20200328"
"75","Faroe Islands","144","0","Local transmission","0","20200328"
"76","Kosovo","88","1","Local transmission","0","20200328"
