"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"191","Gabon","18","1","Imported cases only","0","20200403"
"192","Equatorial Guinea","15","0","Local transmission","0","20200403"
"193","Benin","13","0","Imported cases only","1","20200403"
"194","Namibia","13","0","Local transmission","0","20200403"
"195","Mozambique","10","0","Local transmission","1","20200403"
"196","Seychelles","10","0","Imported cases only","1","20200403"
"197","Eswatini","9","0","Imported cases only","6","20200403"
"198","Guinea-Bissau","9","0","Imported cases only","2","20200403"
"199","Angola","8","2","Imported cases only","1","20200403"
"200","Central African Republic","8","0","Imported cases only","1","20200403"
"201","Zimbabwe","8","1","Local transmission","2","20200403"
"202","Chad","7","0","Imported cases only","2","20200403"
"203","Liberia","6","0","Local transmission","1","20200403"
"204","Cabo Verde","5","1","Imported cases only","6","20200403"
"205","Mauritania","5","0","Imported cases only","5","20200403"
"206","Botswana","4","1","Imported cases only","0","20200403"
"207","Gambia","4","1","Imported cases only","0","20200403"
"208","Malawi","3","0","Local transmission","0","20200403"
"209","Burundi","2","0","Imported cases only","2","20200403"
"210","Sierra Leone","2","0","Imported cases only","1","20200403"
"211","Réunion","308","0","Local transmission","0","20200403"
"212","Mayotte","128","2","Local transmission","0","20200403"
"213","conveyance (Diamond","712","11","Local transmission","18","20200403"
