"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81021","3194","","","20200314"
"2","Republic of Korea","8086","72","Local transmission","0","20200314"
"3","Japan","716","21","Local transmission","0","20200314"
"4","Singapore","200","0","Local transmission","0","20200314"
"5","Australia","197","3","Local transmission","0","20200314"
"6","Malaysia","197","0","Local transmission","0","20200314"
"7","Philippines","64","2","Local transmission","0","20200314"
"8","Viet Nam","48","0","Local transmission","0","20200314"
"9","Brunei Darussalam","25","0","Local transmission","0","20200314"
"10","Cambodia","7","0","Local transmission","0","20200314"
"11","New Zealand","6","0","Local transmission","0","20200314"
"12","Mongolia","1","0","Imported cases only","4","20200314"
"13","Territories**","","","","","20200314"
"14","French Polynesia","1","0","Imported cases only","2","20200314"
"15","European Region","","","","","20200314"
"16","Italy","17660","1268","Local transmission","0","20200314"
"17","Spain","4231","120","Local transmission","0","20200314"
"18","France","3640","79","Local transmission","0","20200314"
"19","Germany","3062","6","Local transmission","0","20200314"
"20","Switzerland","1125","6","Local transmission","0","20200314"
"21","Netherlands","804","10","Local transmission","0","20200314"
"22","The United Kingdom","802","10","Local transmission","0","20200314"
"23","Denmark","801","0","Local transmission","0","20200314"
"24","Sweden","775","0","Local transmission","0","20200314"
"25","Norway","750","1","Local transmission","0","20200314"
"26","Belgium","599","0","Local transmission","0","20200314"
"27","Austria","504","1","Local transmission","0","20200314"
"28","Czechia","150","0","Local transmission","0","20200314"
"29","Slovenia","141","0","Local transmission","0","20200314"
"30","Portugal","112","0","Local transmission","0","20200314"
"31","Finland","109","0","Local transmission","1","20200314"
"32","Israel","100","0","Local transmission","0","20200314"
"33","Greece","98","1","Local transmission","2","20200314"
"34","Ireland","90","1","Local transmission","0","20200314"
"35","Estonia","79","0","Local transmission","0","20200314"
"36","San Marino","66","2","Local transmission","0","20200314"
"37","Romania","64","0","Local transmission","0","20200314"
"38","Poland","64","1","Local transmission","0","20200314"
"39","Iceland","61","0","Local transmission","4","20200314"
"40","Luxembourg","38","1","Local transmission","0","20200314"
"41","Russian Federation","34","0","Imported cases only","1","20200314"
"42","Albania","33","1","Local transmission","0","20200314"
"43","Serbia","31","0","Local transmission","0","20200314"
"44","Slovakia","30","0","Local transmission","0","20200314"
"45","Croatia","27","0","Local transmission","0","20200314"
"46","Georgia","25","0","Imported cases only","1","20200314"
"47","Belarus","21","0","Local transmission","0","20200314"
"48","Hungary","19","0","Local transmission","0","20200314"
"49","Latvia","16","0","Imported cases only","2","20200314"
