"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81300","3253","Local transmission","0","20200320"
"2","Republic of Korea","8652","94","Local transmission","0","20200320"
"3","Japan","950","33","Local transmission","0","20200320"
"4","Malaysia","900","2","Local transmission","0","20200320"
"5","Australia","709","6","Local transmission","0","20200320"
"6","Singapore","345","0","Local transmission","0","20200320"
"7","Philippines","217","17","Local transmission","0","20200320"
"8","Viet Nam","85","0","Local transmission","0","20200320"
"9","Brunei Darussalam","73","0","Local transmission","0","20200320"
"10","Cambodia","47","0","Local transmission","0","20200320"
"11","New Zealand","39","0","Local transmission","0","20200320"
"12","Mongolia","6","0","Imported cases only","0","20200320"
"13","Fiji","1","0","Imported cases only","0","20200320"
"14","Territories**","","","","","20200320"
"15","Guam","12","0","Local transmission","0","20200320"
"16","French Polynesia","11","0","Imported cases only","0","20200320"
"17","New Caledonia","2","0","Imported cases only","0","20200320"
"18","European Region","","","","","20200320"
"19","Italy","41035","3407","Local transmission","0","20200320"
"20","Spain","17147","767","Local transmission","0","20200320"
"21","Germany","10999","20","Local transmission","0","20200320"
"22","France","10877","372","Local transmission","0","20200320"
"23","Switzerland","3863","33","Local transmission","0","20200320"
"24","The United Kingdom","3277","144","Local transmission","0","20200320"
"25","Netherlands","2460","76","Local transmission","0","20200320"
"26","Austria","1843","5","Local transmission","0","20200320"
"27","Belgium","1795","14","Local transmission","0","20200320"
"28","Norway","1552","6","Local transmission","0","20200320"
"29","Sweden","1423","3","Local transmission","0","20200320"
"30","Denmark","1132","6","Local transmission","0","20200320"
"31","Portugal","785","3","Local transmission","0","20200320"
"32","Czechia","694","0","Local transmission","0","20200320"
"33","Ireland","557","3","Local transmission","0","20200320"
"34","Israel","529","0","Local transmission","0","20200320"
"35","Greece","418","5","Local transmission","1","20200320"
"36","Finland","369","0","Local transmission","0","20200320"
"37","Luxembourg","345","4","Local transmission","0","20200320"
"38","Iceland","330","0","Local transmission","0","20200320"
"39","Poland","325","5","Local transmission","0","20200320"
"40","Slovenia","319","1","Local transmission","0","20200320"
"41","Estonia","267","0","Local transmission","0","20200320"
"42","Romania","260","0","Local transmission","0","20200320"
"43","Russian Federation","199","0","Imported cases only","0","20200320"
"44","Turkey","191","2","Local transmission","1","20200320"
"45","San Marino","126","14","Local transmission","0","20200320"
"46","Serbia","123","0","Local transmission","0","20200320"
"47","Slovakia","123","0","Local transmission","0","20200320"
"48","Armenia","122","0","Local transmission","0","20200320"
"49","Bulgaria","94","3","Local transmission","0","20200320"
"50","Latvia","86","0","Imported cases only","0","20200320"
"51","Croatia","81","0","Local transmission","1","20200320"
"52","Hungary","73","1","Local transmission","0","20200320"
"53","Albania","70","2","Local transmission","0","20200320"
"54","Cyprus","58","0","Local transmission","1","20200320"
"55","Malta","53","0","Imported cases only","0","20200320"
"56","Republic of Moldova","49","0","Local transmission","0","20200320"
"57","North Macedonia","48","0","Local transmission","0","20200320"
"58","Belarus","46","0","Local transmission","1","20200320"
"59","Kazakhstan","46","0","Imported cases only","0","20200320"
"60","Bosnia and Herzegovina","44","0","Local transmission","0","20200320"
"61","Georgia","38","0","Imported cases only","0","20200320"
"62","Lithuania","36","0","Imported cases only","0","20200320"
"63","Azerbaijan","34","1","Imported cases only","1","20200320"
"64","Liechtenstein","25","0","Imported cases only","1","20200320"
"65","Uzbekistan","21","0","Local transmission","0","20200320"
"66","Ukraine","16","2","Local transmission","1","20200320"
"67","Montenegro","10","0","Imported cases only","0","20200320"
"68","Monaco","9","0","Under investigation","3","20200320"
"69","Kyrgyzstan","3","0","Under investigation","1","20200320"
"70","Holy See","1","0","Under investigation","13","20200320"
"71","Andorra","75","0","Imported cases only","0","20200320"
"72","Faroe Islands","72","0","Imported cases only","0","20200320"
"73","Gibraltar","10","0","Under investigation","0","20200320"
"74","Jersey","5","0","Imported cases only","2","20200320"
"75","Greenland","2","0","Under investigation","1","20200320"
"76","Guernsey","1","0","Imported cases only","10","20200320"
"77","Thailand","322","1","Local transmission","0","20200320"
"78","Indonesia","309","25","Local transmission","0","20200320"
"79","India","195","4","Local transmission","0","20200320"
"80","Sri Lanka","59","0","Local transmission","0","20200320"
"81","Bangladesh","17","1","Local transmission","0","20200320"
"82","Maldives","13","0","Local transmission","4","20200320"
"83","Bhutan","2","0","Imported cases only","0","20200320"
"84","Nepal","1","0","Imported cases only","56","20200320"
"85","Iran (Islamic Republic of)","18407","1284","Local transmission","0","20200320"
"86","Qatar","452","0","Local transmission","0","20200320"
"87","Pakistan","302","2","Imported cases only","0","20200320"
"88","Bahrain","269","1","Local transmission","0","20200320"
"89","Saudi Arabia","238","0","Local transmission","1","20200320"
"90","Egypt","210","6","Local transmission","0","20200320"
"91","Iraq","177","12","Local transmission","0","20200320"
"92","Lebanon","149","4","Local transmission","0","20200320"
"93","Kuwait","148","0","Local transmission","0","20200320"
"94","United Arab Emirates","140","0","Local transmission","0","20200320"
"95","Morocco","61","2","Local transmission","0","20200320"
"96","Jordan","56","0","Imported cases only","0","20200320"
"97","Oman","39","0","Imported cases only","0","20200320"
"98","Tunisia","39","0","Local transmission","0","20200320"
"99","Afghanistan","22","0","Imported cases only","2","20200320"
"100","Djibouti","1","0","Under investigation","1","20200320"
"101","Somalia","1","0","Imported cases only","3","20200320"
"102","Sudan","1","1","Imported cases only","5","20200320"
"103","occupied Palestinian territory","47","0","Local transmission","0","20200320"
"104","United States of America","10442","150","Local transmission","0","20200320"
"105","Canada","736","9","Local transmission","0","20200320"
"106","Brazil","428","4","Local transmission","0","20200320"
"107","Chile","342","0","Local transmission","0","20200320"
"108","Peru","234","0","Local transmission","0","20200320"
"109","Ecuador","199","3","Local transmission","0","20200320"
"110","Mexico","118","1","Imported cases only","0","20200320"
"111","Panama","109","1","Local transmission","0","20200320"
"112","Colombia","108","0","Local transmission","0","20200320"
"113","Argentina","97","2","Local transmission","1","20200320"
"114","Costa Rica","87","1","Local transmission","0","20200320"
