country,confirmed,death,Transmission classification,Days since last reported case,date
China,82875,3335,Local transmission,0,20200404
Republic of Korea,10156,177,Local transmission,0,20200404
Australia,5454,28,Local transmission,0,20200404
Malaysia,3333,53,Local transmission,0,20200404
Philippines,3018,136,Local transmission,0,20200404
Japan,2920,69,Local transmission,0,20200404
Singapore,1114,5,Local transmission,0,20200404
New Zealand,824,1,Local transmission,0,20200404
Viet Nam,239,0,Local transmission,0,20200404
Brunei Darussalam,134,1,Local transmission,0,20200404
Cambodia,114,0,Local transmission,0,20200404
Mongolia,14,0,Imported cases only,2,20200404
Lao People’s Democratic Republic,10,0,Local transmission,2,20200404
Fiji,7,0,Local transmission,1,20200404
Papua New Guinea,1,0,Imported cases only,14,20200404
Guam,84,3,Local transmission,0,20200404
French Polynesia,39,0,Local transmission,0,20200404
New Caledonia,18,0,Local transmission,1,20200404
Northern Mariana Islands (Commonwealth of the),8,1,Local transmission,1,20200404
Italy,119827,14681,Local transmission,0,20200404
Spain,117710,10935,Local transmission,0,20200404
Germany,85778,1158,Local transmission,0,20200404
France,63536,6493,Local transmission,0,20200404
The United Kingdom,38172,3605,Local transmission,0,20200404
Turkey,20921,425,Local transmission,0,20200404
Switzerland,19706,607,Local transmission,0,20200404
Belgium,16770,1143,Local transmission,0,20200404
Netherlands,15723,1487,Local transmission,0,20200404
Austria,11525,168,Local transmission,0,20200404
Portugal,9886,246,Local transmission,0,20200404
Israel,7030,36,Local transmission,0,20200404
Sweden,6078,333,Local transmission,0,20200404
Norway,5208,44,Local transmission,0,20200404
Ireland,4273,120,Local transmission,0,20200404
Czechia,4190,53,Local transmission,0,20200404
Russian Federation,4149,34,Local transmission,0,20200404
Denmark,3757,139,Local transmission,0,20200404
Poland,3383,71,Local transmission,0,20200404
Romania,3183,133,Local transmission,0,20200404
Luxembourg,2612,31,Local transmission,0,20200404
Finland,1615,20,Local transmission,0,20200404
Greece,1613,59,Local transmission,0,20200404
Serbia,1476,39,Local transmission,0,20200404
Iceland,1364,4,Local transmission,0,20200404
Ukraine,1096,28,Local transmission,0,20200404
Croatia,1079,8,Local transmission,0,20200404
Estonia,961,12,Local transmission,0,20200404
Slovenia,934,20,Local transmission,0,20200404
Lithuania,771,9,Local transmission,0,20200404
