"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81498","3267","Local transmission","0","20200322"
"2","Republic of Korea","8897","104","Local transmission","0","20200322"
"3","Malaysia","1183","3","Local transmission","0","20200322"
"4","Australia","1081","7","Local transmission","0","20200322"
"5","Japan","1046","36","Local transmission","0","20200322"
"6","Singapore","432","2","Local transmission","0","20200322"
"7","Philippines","307","19","Local transmission","0","20200322"
"8","Viet Nam","94","0","Local transmission","0","20200322"
"9","Brunei Darussalam","83","0","Local transmission","0","20200322"
"10","New Zealand","66","0","Local transmission","0","20200322"
"11","Cambodia","53","0","Local transmission","0","20200322"
"12","Mongolia","10","0","Imported cases only","0","20200322"
"13","Fiji","2","0","Local transmission","0","20200322"
"14","Papua New Guinea","1","0","Imported cases only","1","20200322"
"15","Territories**","","","","","20200322"
"16","French Polynesia","15","0","Imported cases only","0","20200322"
"17","Guam","15","0","Local transmission","0","20200322"
"18","New Caledonia","4","0","Imported cases only","0","20200322"
"19","European Region ^","","","","","20200322"
"20","Italy","53578","4827","Local transmission","0","20200322"
"21","Spain","24926","1326","Local transmission","0","20200322"
"22","Germany","21463","67","Local transmission","0","20200322"
"23","France","14296","562","Local transmission","0","20200322"
"24","Switzerland","6077","56","Local transmission","0","20200322"
"25","The United Kingdom","5018","233","Local transmission","0","20200322"
"26","Netherlands","3631","136","Local transmission","0","20200322"
"27","Austria","3024","8","Local transmission","0","20200322"
"28","Belgium","2815","67","Local transmission","0","20200322"
"29","Norway","1926","7","Local transmission","0","20200322"
"30","Sweden","1746","20","Local transmission","0","20200322"
"31","Denmark","1326","13","Local transmission","0","20200322"
"32","Portugal","1280","12","Local transmission","0","20200322"
"33","Czechia","995","0","Local transmission","0","20200322"
"34","Turkey","947","21","Local transmission","0","20200322"
"35","Israel","883","1","Local transmission","0","20200322"
"36","Ireland","785","3","Local transmission","0","20200322"
"37","Luxembourg","670","8","Local transmission","0","20200322"
"38","Poland","536","5","Local transmission","0","20200322"
"39","Greece","530","13","Local transmission","0","20200322"
"40","Finland","521","1","Local transmission","0","20200322"
"41","Iceland","473","1","Local transmission","0","20200322"
"42","Slovenia","383","1","Local transmission","0","20200322"
"43","Romania","367","0","Local transmission","0","20200322"
"44","Estonia","306","0","Local transmission","0","20200322"
"45","Russian Federation","306","0","Local transmission","0","20200322"
"46","Croatia","206","0","Local transmission","0","20200322"
"47","Slovakia","178","0","Local transmission","0","20200322"
"48","Serbia","173","1","Local transmission","0","20200322"
"49","Bulgaria","163","3","Local transmission","0","20200322"
"50","Armenia","160","0","Local transmission","0","20200322"
"51","San Marino","151","20","Local transmission","1","20200322"
"52","Hungary","131","4","Local transmission","0","20200322"
"53","Latvia","124","0","Imported cases only","0","20200322"
"54","Lithuania","105","1","Imported cases only","0","20200322"
"55","Bosnia and Herzegovina","92","1","Local transmission","0","20200322"
"56","Andorra","88","0","Imported cases only","0","20200322"
"57","North Macedonia","85","0","Local transmission","0","20200322"
"58","Cyprus","84","0","Local transmission","0","20200322"
"59","Republic of Moldova","80","1","Local transmission","0","20200322"
"60","Albania","76","2","Local transmission","0","20200322"
"61","Belarus","76","0","Local transmission","0","20200322"
"62","Malta","73","0","Imported cases only","0","20200322"
"63","Kazakhstan","56","0","Imported cases only","0","20200322"
"64","Azerbaijan","53","1","Imported cases only","0","20200322"
"65","Georgia","49","0","Imported cases only","0","20200322"
"66","Ukraine","47","3","Local transmission","0","20200322"
"67","Liechtenstein","36","0","Imported cases only","0","20200322"
"68","Uzbekistan","33","0","Local transmission","1","20200322"
"69","Monaco","18","0","Under investigation","0","20200322"
"70","Kyrgyzstan","14","0","Imported cases only","0","20200322"
"71","Montenegro","14","0","Imported cases only","1","20200322"
"72","Holy See","1","0","Under investigation","15","20200322"
"73","Faroe Islands","92","0","Local transmission","0","20200322"
"74","Jersey","12","0","Imported cases only","1","20200322"
"75","Gibraltar","10","0","Under investigation","2","20200322"
"76","Greenland","2","0","Under investigation","3","20200322"
"77","Isle of Man","2","0","Imported cases only","0","20200322"
"78","Guernsey","1","0","Imported cases only","12","20200322"
"79","Indonesia","450","38","Local transmission","0","20200322"
"80","Thailand","411","1","Local transmission","0","20200322"
"81","India","283","4","Local transmission","0","20200322"
"82","Sri Lanka","72","0","Local transmission","0","20200322"
"83","Bangladesh","24","2","Local transmission","0","20200322"
"84","Maldives","13","0","Local transmission","6","20200322"
"85","Bhutan","2","0","Imported cases only","2","20200322"
"86","Nepal","1","0","Imported cases only","58","20200322"
"87","Timor-Leste","1","0","Imported cases only","1","20200322"
"88","Iran (Islamic Republic of)","20610","1556","Local transmission","0","20200322"
"89","Pakistan","495","3","Local transmission","0","20200322"
"90","Qatar","470","0","Local transmission","0","20200322"
"91","Saudi Arabia","392","0","Local transmission","0","20200322"
"92","Bahrain","306","1","Local transmission","0","20200322"
"93","Egypt","285","8","Local transmission","0","20200322"
"94","Iraq","214","17","Local transmission","0","20200322"
"95","Lebanon","206","4","Local transmission","0","20200322"
"96","Kuwait","176","0","Local transmission","0","20200322"
"97","United Arab Emirates","153","2","Local transmission","0","20200322"
"98","Morocco","86","3","Local transmission","0","20200322"
"99","Jordan","84","0","Imported cases only","0","20200322"
"100","Tunisia","60","1","Local transmission","0","20200322"
"101","Oman","52","0","Local transmission","0","20200322"
"102","Afghanistan","24","0","Imported cases only","1","20200322"
"103","Sudan","2","1","Imported cases only","0","20200322"
