"","region","contry","confirmed","death","date"
"1","","China","24363","491","20200205"
"2","","Japan","33","0","20200205"
"3","Western Pacific Region","",NA,NA,"20200205"
"4","","Republic of Korea","18","0","20200205"
"5","","",NA,NA,"20200205"
"6","","Viet Nam","10","0","20200205"
"7","","Singapore","24","0","20200205"
"8","","Australia","13","0","20200205"
"9","","",NA,NA,"20200205"
"10","","Malaysia","10","0","20200205"
"11","","",NA,NA,"20200205"
"12","","Cambodia","1","0","20200205"
"13","","Philippines","3","1","20200205"
"14","","Thailand","25","0","20200205"
"15","","Nepal","1","0","20200205"
"16","South-East Asia Region","",NA,NA,"20200205"
"17","","Sri Lanka","1","0","20200205"
"18","","India","3","0","20200205"
"19","","United States of America","11","0","20200205"
"20","","","11","0","20200205"
"21","Region of the Americas","America",NA,NA,"20200205"
"22","","Canada","5","0","20200205"
"23","","France","6","0","20200205"
"24","","Finland","1","0","20200205"
"25","","Germany","12","0","20200205"
"26","","Italy","2","0","20200205"
"27","European Region","Russian Federation","2","0","20200205"
"28","","Spain","1","0","20200205"
"29","","Sweden","1","0","20200205"
"30","","United Kingdom","2","0","20200205"
"31","","Belgium","1","0","20200205"
"32","Eastern Mediterranean","",NA,NA,"20200205"
"33","","United Arab Emirates","5","0","20200205"
"34","Region","",NA,NA,"20200205"
