"","region","contry","confirmed","death","date"
"1","","China","46550","1368","20200213"
"2","","Singapore","50","0","20200213"
"3","Western Pacific Region","",NA,NA,"20200213"
"4","0 (0)","Japan","29","0","20200213"
"5","","Republic of Korea","28","0","20200213"
"6","","Malaysia","18","0","20200213"
"7","","Viet Nam","16","0","20200213"
"8","","",NA,NA,"20200213"
"9","","Australia","15","0","20200213"
"10","","",NA,NA,"20200213"
"11","","Philippines","3","1","20200213"
"12","","Cambodia","1","0","20200213"
"13","","Thailand","33","0","20200213"
"14","","India","3","0","20200213"
"15","South-East Asia Region","",NA,NA,"20200213"
"16","","Nepal","1","0","20200213"
"17","","Sri Lanka","1","0","20200213"
"18","","United States of",NA,NA,"20200213"
"19","Region of the Americas America","United States of America","14","0","20200213"
"20","","Canada","7","0","20200213"
"21","","Germany","16","0","20200213"
"22","","France","11","0","20200213"
"23","","The United Kingdom","9","0","20200213"
"24","","Italy","3","0","20200213"
"25","European Region","Russian Federation","2","0","20200213"
"26","","Spain","2","0","20200213"
"27","","Belgium","1","0","20200213"
"28","","Finland","1","0","20200213"
"29","","Sweden","1","0","20200213"
"30","Eastern Mediterranean","",NA,NA,"20200213"
"31","Region","United Arab Emirates","8","0","20200213"
"32","International Other","",NA,NA,"20200213"
"33","","conveyance (Japan)","174**","0","20200213"
