"","region","contry","confirmed","death","date"
"1","","China","42708","1017","20200211"
"2","","Singapore","45","0","20200211"
"3","Western Pacific Region","",NA,NA,"20200211"
"4","0 (0)","Republic of Korea","28","0","20200211"
"5","","Japan","26","0","20200211"
"6","","Malaysia","18","0","20200211"
"7","","Australia","15","0","20200211"
"8","","",NA,NA,"20200211"
"9","","Viet Nam","15","0","20200211"
"10","","",NA,NA,"20200211"
"11","","Philippines","3","1","20200211"
"12","","Cambodia","1","0","20200211"
"13","","Thailand","33","0","20200211"
"14","","India","3","0","20200211"
"15","South-East Asia Region","",NA,NA,"20200211"
"16","","Nepal","1","0","20200211"
"17","","Sri Lanka","1","0","20200211"
"18","","United States of",NA,NA,"20200211"
"19","Region of the Americas America","United States of America","13","0","20200211"
"20","","Canada","7","0","20200211"
"21","","Germany","14","0","20200211"
"22","","France","11","0","20200211"
"23","","The United Kingdom","8","0","20200211"
"24","","Italy","3","0","20200211"
"25","European Region","Russian Federation","2","0","20200211"
"26","","Spain","2","0","20200211"
"27","","Belgium","1","0","20200211"
"28","","Finland","1","0","20200211"
"29","","Sweden","1","0","20200211"
"30","Eastern Mediterranean","",NA,NA,"20200211"
"31","Region","United Arab Emirates","8","0","20200211"
"32","International Other","",NA,NA,"20200211"
"33","","conveyance (Japan)","135**","0","20200211"
