country,confirmed,death,Transmission classification,Days since last reported case,date
South Africa,7439,148,Community transmission,0,20200506
Algeria,4838,470,Community transmission,0,20200506
Nigeria,2950,98,Community transmission,0,20200506
Ghana,2719,18,Clusters of cases,1,20200506
Cameroon,2265,108,Clusters of cases,0,20200506
Guinea,1811,10,Community transmission,0,20200506
Côte d’Ivoire,1464,18,Clusters of cases,0,20200506
Senegal,1329,11,Clusters of cases,0,20200506
Niger,763,38,Clusters of cases,0,20200506
Democratic Republic of the Congo,705,34,Clusters of cases,0,20200506
Burkina Faso,689,48,Community transmission,0,20200506
Mali,612,32,Clusters of cases,0,20200506
Kenya,535,23,Clusters of cases,0,20200506
United Republic of Tanzania,480,18,Clusters of cases,6,20200506
Equatorial Guinea,439,4,Clusters of cases,0,20200506
Gabon,397,6,Clusters of cases,0,20200506
Mauritius,332,10,Community transmission,9,20200506
Guinea-Bissau,292,2,Sporadic cases,2,20200506
Rwanda,261,0,Clusters of cases,1,20200506
Congo,236,10,Clusters of cases,1,20200506
Sierra Leone,199,11,Clusters of cases,0,20200506
Cabo Verde,186,2,Sporadic cases,0,20200506
São Tomé and Príncipe,171,3,Sporadic cases,0,20200506
Chad,170,17,Sporadic cases,0,20200506
Liberia,170,20,Clusters of cases,0,20200506
Madagascar,158,0,Clusters of cases,1,20200506
Ethiopia,145,4,Clusters of cases,0,20200506
Zambia,137,4,Sporadic cases,1,20200506
Togo,128,9,Clusters of cases,0,20200506
Eswatini,119,1,Sporadic cases,0,20200506
Benin,102,2,Sporadic cases,0,20200506
Uganda,97,0,Sporadic cases,0,20200506
Central African Republic,94,0,Sporadic cases,1,20200506
Mozambique,80,0,Sporadic cases,2,20200506
South Sudan,49,0,Sporadic cases,1,20200506
Malawi,41,3,Sporadic cases,1,20200506
Eritrea,39,0,Sporadic cases,17,20200506
Angola,36,2,Sporadic cases,0,20200506
Zimbabwe,34,4,Sporadic cases,4,20200506
Botswana,23,1,Sporadic cases,7,20200506
Burundi,19,1,Sporadic cases,3,20200506
Gambia,17,1,Sporadic cases,3,20200506
Namibia,16,0,Sporadic cases,30,20200506
Seychelles,11,0,Sporadic cases,29,20200506
Mauritania,8,1,Sporadic cases,5,20200506
Comoros,4,1,Pending,1,20200506
Mayotte,739,9,Clusters of cases,0,20200506
Réunion,425,0,Clusters of cases,0,20200506
United States of America,1171185,62698,Community transmission,0,20200506
Brazil,107780,7321,Community transmission,0,20200506
Canada,61159,3915,Community transmission,0,20200506
Peru,47372,1344,Community transmission,0,20200506
Ecuador,31881,1569,Community transmission,1,20200506
Mexico,24905,2271,Community transmission,0,20200506
Chile,22016,275,Community transmission,0,20200506
Dominican Republic,8480,354,Community transmission,0,20200506
Colombia,7973,358,Community transmission,0,20200506
Panama,7387,203,Community transmission,0,20200506
Argentina,4922,262,Community transmission,0,20200506
Cuba,1685,69,Clusters of cases,0,20200506
Bolivia (Plurinational State of),1681,82,Clusters of cases,0,20200506
Honduras,1178,89,Clusters of cases,0,20200506
Costa Rica,742,6,Clusters of cases,0,20200506
Guatemala,730,19,Clusters of cases,0,20200506
Uruguay,657,17,Clusters of cases,0,20200506
El Salvador,587,13,Clusters of cases,0,20200506
Jamaica,471,9,Clusters of cases,0,20200506
Paraguay,431,10,Community transmission,0,20200506
Venezuela (Bolivarian Republic of),361,10,Clusters of cases,0,20200506
Trinidad and Tobago,116,8,Sporadic cases,8,20200506
Haiti,100,11,Clusters of cases,0,20200506
Guyana,92,9,Clusters of cases,0,20200506
Bahamas,84,11,Clusters of cases,0,20200506
Barbados,82,7,Clusters of cases,1,20200506
Antigua and Barbuda,25,3,Clusters of cases,2,20200506
Grenada,21,0,Clusters of cases,2,20200506
Belize,18,2,Sporadic cases,21,20200506
Saint Lucia,18,0,Sporadic cases,1,20200506
Saint Vincent and the Grenadines,17,0,Sporadic cases,1,20200506
Dominica,16,0,Clusters of cases,25,20200506
Nicaragua,15,5,Pending,1,20200506
Saint Kitts and Nevis,15,0,Sporadic cases,15,20200506
Suriname,10,1,Sporadic cases,32,20200506
Puerto Rico,1924,56,Clusters of cases,0,20200506
Martinique,181,14,Clusters of cases,2,20200506
