"","region","contry","confirmed","death","date"
"1","","China","40235","909","20200210"
"2","","Singapore","43","0","20200210"
"3","Western Pacific Region","",NA,NA,"20200210"
"4","0 (0)","Republic of Korea","27","0","20200210"
"5","","Japan","26","0","20200210"
"6","","Malaysia","18","0","20200210"
"7","","Australia","15","0","20200210"
"8","","",NA,NA,"20200210"
"9","","Viet Nam","14","0","20200210"
"10","","",NA,NA,"20200210"
"11","","Philippines","3","1","20200210"
"12","","Cambodia","1","0","20200210"
"13","","Thailand","32","0","20200210"
"14","","India","3","0","20200210"
"15","South-East Asia Region","",NA,NA,"20200210"
"16","","Nepal","1","0","20200210"
"17","","Sri Lanka","1","0","20200210"
"18","","United States of",NA,NA,"20200210"
"19","Region of the Americas America","United States of America","12","0","20200210"
"20","","Canada","7","0","20200210"
"21","","Germany","14","0","20200210"
"22","","France","11","0","20200210"
"23","","The United Kingdom","4","0","20200210"
"24","","Italy","3","0","20200210"
"25","European Region","Russian Federation","2","0","20200210"
"26","","Spain","2","0","20200210"
"27","","Belgium","1","0","20200210"
"28","","Finland","1","0","20200210"
"29","","Sweden","1","0","20200210"
"30","Eastern Mediterranean","",NA,NA,"20200210"
"31","Region","United Arab Emirates","7","0","20200210"
"32","International Other","",NA,NA,"20200210"
"33","","conveyance (Japan)","70**","0","20200210"
