"","contry","confirmed","death","date"
"1","China","74675","2121","20200220"
"2","Republic of Korea","104","1","20200220"
"3","Japan","85","1","20200220"
"4","Singapore","84","0","20200220"
"5","Malaysia","22","0","20200220"
"6","Viet Nam","16","0","20200220"
"7","Australia","15","0","20200220"
"8","Philippines","3","1","20200220"
"9","Cambodia","1","0","20200220"
"10","Thailand","35","0","20200220"
"11","India","3","0","20200220"
"12","Nepal","1","0","20200220"
"13","Sri Lanka","1","0","20200220"
"14","United States of America","15","0","20200220"
"15","Canada","8","0","20200220"
"16","Germany","16","0","20200220"
"17","France","12","1","20200220"
"18","The United Kingdom","9","0","20200220"
"19","Italy","3","0","20200220"
"20","Russian Federation","2","0","20200220"
"21","Spain","2","0","20200220"
"22","Belgium","1","0","20200220"
"23","Finland","1","0","20200220"
"24","Sweden","1","0","20200220"
"25","United Arab Emirates","9","0","20200220"
"26","Iran (Islamic Republic of)","2","2","20200220"
"27","Egypt","1","0","20200220"
"28","conveyance‡","621","2","20200220"
