"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","82545","3314","Local transmission","0","20200331"
"2","Republic of Korea","9786","162","Local transmission","0","20200331"
"3","Australia","4359","18","Local transmission","0","20200331"
"4","Malaysia","2626","37","Local transmission","0","20200331"
"5","Japan","1953","56","Local transmission","0","20200331"
"6","Philippines","1546","78","Local transmission","0","20200331"
"7","Singapore","879","3","Local transmission","0","20200331"
"8","New Zealand","600","1","Local transmission","0","20200331"
"9","Viet Nam","203","0","Local transmission","0","20200331"
"10","Brunei Darussalam","127","1","Local transmission","0","20200331"
"11","Cambodia","107","0","Local transmission","0","20200331"
"12","Mongolia","12","0","Imported cases only","3","20200331"
"13","Lao People's","","","","","20200331"
"14","Lao People's Democratic Republic","8","0","Local transmission","1","20200331"
"15","Fiji","5","0","Local transmission","5","20200331"
"16","Papua New Guinea","1","0","Imported cases only","10","20200331"
"17","Territories**","","","","","20200331"
"18","Guam","58","1","Local transmission","0","20200331"
"19","French Polynesia","36","0","Local transmission","0","20200331"
"20","New Caledonia","15","0","Local transmission","3","20200331"
"21","Northern Mariana","","","","","20200331"
"22","Islands","","","","","20200331"
"23","(Commonwealth of","","","","","20200331"
"24","Northern Mariana Islands (Commonwealth of the)","2","0","Under investigation","2","20200331"
"25","European Region","","","","","20200331"
"26","Italy","101739","11591","Local transmission","0","20200331"
"27","Spain","85195","7340","Local transmission","0","20200331"
"28","Germany","61913","583","Local transmission","0","20200331"
"29","France","43977","3017","Local transmission","0","20200331"
"30","The United Kingdom","22145","1408","Local transmission","0","20200331"
"31","Switzerland","15412","295","Local transmission","0","20200331"
"32","Belgium","11899","513","Local transmission","0","20200331"
"33","Netherlands","11750","864","Local transmission","0","20200331"
"34","Turkey","10827","168","Local transmission","0","20200331"
"35","Austria","9618","108","Local transmission","0","20200331"
"36","Portugal","6408","140","Local transmission","0","20200331"
"37","Israel","4831","17","Local transmission","0","20200331"
"38","Norway","4226","26","Local transmission","0","20200331"
"39","Sweden","4028","146","Local transmission","0","20200331"
"40","Czechia","3002","24","Local transmission","0","20200331"
"41","Ireland","2910","54","Local transmission","0","20200331"
"42","Denmark","2577","77","Local transmission","0","20200331"
"43","Poland","2055","31","Local transmission","0","20200331"
"44","Luxembourg","1988","22","Local transmission","0","20200331"
"45","Romania","1952","44","Local transmission","0","20200331"
"46","Russian Federation","1837","9","Local transmission","0","20200331"
"47","Finland","1313","13","Local transmission","0","20200331"
"48","Greece","1212","43","Local transmission","0","20200331"
"49","Iceland","1086","2","Local transmission","0","20200331"
"50","Croatia","790","6","Local transmission","0","20200331"
"51","Serbia","785","13","Local transmission","0","20200331"
"52","Slovenia","763","11","Local transmission","0","20200331"
"53","Estonia","715","3","Local transmission","0","20200331"
"54","Ukraine","549","13","Local transmission","0","20200331"
"55","Lithuania","484","7","Local transmission","1","20200331"
"56","Armenia","482","3","Local transmission","1","20200331"
"57","Hungary","447","15","Local transmission","1","20200331"
"58","Latvia","376","0","Local transmission","1","20200331"
"59","Andorra","370","8","Local transmission","0","20200331"
"60","Bosnia and Herzegovina","359","9","Local transmission","0","20200331"
"61","Bulgaria","359","8","Local transmission","0","20200331"
"62","Slovakia","336","0","Local transmission","1","20200331"
"63","Kazakhstan","312","1","Local transmission","0","20200331"
"64","Republic of Moldova","298","2","Local transmission","0","20200331"
"65","North Macedonia","285","7","Local transmission","0","20200331"
"66","Azerbaijan","273","4","Local transmission","0","20200331"
"67","Cyprus","230","7","Local transmission","0","20200331"
"68","San Marino","230","25","Local transmission","0","20200331"
"69","Albania","223","11","Local transmission","1","20200331"
"70","Malta","156","0","Local transmission","0","20200331"
"71","Belarus","152","0","Local transmission","1","20200331"
"72","Uzbekistan","149","2","Local transmission","0","20200331"
"73","Kyrgyzstan","107","0","Local transmission","0","20200331"
"74","Georgia","103","0","Local transmission","0","20200331"
"75","Montenegro","91","1","Local transmission","0","20200331"
"76","Liechtenstein","64","0","Under investigation","0","20200331"
"77","Monaco","49","0","Local transmission","0","20200331"
"78","Holy See","6","0","Under investigation","1","20200331"
"79","Faroe Islands","168","0","Local transmission","0","20200331"
"80","Kosovo","106","1","Local transmission","0","20200331"
"81","Gibraltar","69","0","Local transmission","0","20200331"
"82","Jersey","63","2","Local transmission","1","20200331"
"83","Guernsey","45","0","Local transmission","0","20200331"
"84","Isle of Man","42","0","Local transmission","1","20200331"
"85","Greenland","10","0","Under investigation","2","20200331"
"86","Thailand","1524","9","Local transmission","1","20200331"
"87","Indonesia","1414","122","Local transmission","0","20200331"
"88","India","1071","29","Local transmission","1","20200331"
"89","Sri Lanka","120","1","Local transmission","1","20200331"
"90","Bangladesh","49","5","Local transmission","1","20200331"
"91","Maldives","17","0","Local transmission","1","20200331"
"92","Myanmar","10","0","Local transmission","0","20200331"
"93","Nepal","5","0","Imported cases only","2","20200331"
"94","Bhutan","4","0","Imported cases only","1","20200331"
"95","Timor-Leste","1","0","Under investigation","10","20200331"
"96","Iran (Islamic Republic of)","41495","2757","Local transmission","0","20200331"
"97","Pakistan","1865","25","Local transmission","0","20200331"
"98","Saudi Arabia","1453","8","Local transmission","0","20200331"
"99","Qatar","693","1","Local transmission","0","20200331"
"100","Egypt","656","41","Local transmission","0","20200331"
"101","Iraq","630","46","Local transmission","0","20200331"
"102","United Arab Emirates","611","5","Local transmission","0","20200331"
"103","Morocco","574","33","Local transmission","0","20200331"
"104","Bahrain","515","4","Local transmission","1","20200331"
"105","Lebanon","446","11","Local transmission","0","20200331"
"106","Tunisia","362","9","Local transmission","0","20200331"
"107","Jordan","268","5","Local transmission","0","20200331"
"108","Kuwait","266","0","Local transmission","0","20200331"
"109","Oman","179","0","Local transmission","0","20200331"
"110","Afghanistan","166","4","Local transmission","0","20200331"
"111","Djibouti","26","0","Local transmission","0","20200331"
"112","Syrian Arab Republic","10","2","Imported cases only","0","20200331"
"113","Libya","8","0","Local transmission","1","20200331"
"114","Sudan","6","2","Imported cases only","1","20200331"
"115","Somalia","3","0","Imported cases only","4","20200331"
"116","occupied Palestinian territory","117","1","Local transmission","0","20200331"
"117","United States of America","140640","2398","Local transmission","0","20200331"
"118","Canada","6317","66","Local transmission","0","20200331"
"119","Brazil","4256","136","Local transmission","0","20200331"
"120","Chile","2449","8","Local transmission","0","20200331"
"121","Ecuador","1962","60","Local transmission","0","20200331"
"122","Mexico","993","20","Local transmission","0","20200331"
"123","Panama","989","24","Local transmission","0","20200331"
"124","Dominican Republic","901","42","Local transmission","0","20200331"
"125","Peru","852","11","Local transmission","0","20200331"
"126","Argentina","820","20","Local transmission","0","20200331"
"127","Colombia","702","10","Local transmission","0","20200331"
"128","Costa Rica","314","2","Local transmission","0","20200331"
"129","Uruguay","309","0","Local transmission","0","20200331"
"130","Cuba","170","4","Local transmission","0","20200331"
"131","Honduras","139","2","Local transmission","0","20200331"
"132","Venezuela (Bolivarian Republic of)","129","3","Local transmission","0","20200331"
"133","Bolivia (Plurinational State of)","97","5","Local transmission","0","20200331"
"134","Trinidad and Tobago","82","3","Local transmission","0","20200331"
"135","Paraguay","64","3","Local transmission","0","20200331"
"136","Guatemala","36","1","Local transmission","0","20200331"
"137","Jamaica","36","1","Local transmission","0","20200331"
"138","Barbados","33","0","Local transmission","0","20200331"
"139","El Salvador","30","0","Local transmission","0","20200331"
"140","Haiti","15","0","Imported cases only","1","20200331"
"141","Bahamas","14","0","Local transmission","0","20200331"
"142","Dominica","11","0","Local transmission","4","20200331"
"143","Grenada","9","0","Local transmission","0","20200331"
"144","Saint Lucia","9","0","Local transmission","0","20200331"
"145","Guyana","8","1","Local transmission","0","20200331"
"146","Suriname","8","0","Imported cases only","3","20200331"
"147","Antigua and Barbuda","7","0","Imported cases only","3","20200331"
"148","Nicaragua","4","1","Imported cases only","2","20200331"
"149","Belize","3","0","Local transmission","0","20200331"
"150","Saint Kitts and Nevis","2","0","Imported cases only","0","20200331"
"151","Saint Vincent and the Grenadines","1","0","Imported cases only","18","20200331"
"152","Puerto Rico","174","6","Imported cases only","0","20200331"
"153","Martinique","111","2","Local transmission","0","20200331"
"154","Guadeloupe","106","4","Imported cases only","0","20200331"
"155","Aruba","50","0","Local transmission","0","20200331"
"156","French Guiana","43","0","Local transmission","0","20200331"
"157","United States Virgin Island","30","0","Imported cases only","0","20200331"
"158","Bermuda","22","0","Local transmission","1","20200331"
"159","Saint Martin","18","1","Under investigation","0","20200331"
"160","Curaçao","11","1","Imported cases only","0","20200331"
"161","Cayman Islands","12","1","Imported cases only","0","20200331"
"162","Saint Barthélemy","6","0","Under investigation","0","20200331"
"163","Sint Maarten","6","0","Imported cases only","0","20200331"
"164","Montserrat","5","0","Imported cases only","3","20200331"
"165","Turks and Caicos Island","5","0","Local transmission","0","20200331"
"166","Anguilla","2","0","Local transmission","4","20200331"
"167","British Virgin Islands","2","0","Imported cases only","4","20200331"
"168","South Africa","1326","3","Local transmission","0","20200331"
"169","Algeria","511","31","Local transmission","0","20200331"
"170","Burkina Faso","246","12","Local transmission","0","20200331"
"171","Cote d’Ivoire","169","0","Local transmission","0","20200331"
"172","Senegal","162","0","Local transmission","0","20200331"
"173","Ghana","152","5","Local transmission","1","20200331"
"174","Cameroon","139","6","Local transmission","0","20200331"
"175","Nigeria","111","1","Local transmission","0","20200331"
"176","Mauritius","107","2","Local transmission","0","20200331"
"177","Democratic Republic of the Congo","98","8","Local transmission","0","20200331"
"178","Rwanda","70","0","Local transmission","1","20200331"
"179","Madagascar","46","0","Imported cases only","0","20200331"
"180","Kenya","38","1","Local transmission","0","20200331"
"181","Zambia","35","0","Local transmission","0","20200331"
"182","Togo","34","1","Local transmission","0","20200331"
"183","Uganda","33","0","Local transmission","1","20200331"
"184","Ethiopia","23","0","Local transmission","0","20200331"
"185","Niger","20","3","Local transmission","1","20200331"
"186","Congo","19","0","Imported cases only","3","20200331"
"187","United Republic of Tanzania","19","0","Under investigation","0","20200331"
"188","Mali","18","0","Local transmission","2","20200331"
"189","Guinea","16","0","Local transmission","1","20200331"
"190","Equatorial Guinea","14","0","Local transmission","0","20200331"
"191","Namibia","11","0","Imported cases only","1","20200331"
"192","Eswatini","9","0","Imported cases only","3","20200331"
"193","Mozambique","8","0","Local transmission","2","20200331"
"194","Seychelles","8","0","Imported cases only","1","20200331"
"195","Gabon","7","1","Imported cases only","3","20200331"
"196","Benin","6","0","Imported cases only","4","20200331"
"197","Central African Republic","6","0","Imported cases only","3","20200331"
"198","Eritrea","6","0","Imported cases only","4","20200331"
"199","Cabo Verde","5","1","Imported cases only","3","20200331"
"200","Chad","5","0","Imported cases only","4","20200331"
"201","Mauritania","5","0","Imported cases only","2","20200331"
"202","Zimbabwe","5","1","Local transmission","3","20200331"
"203","Gambia","3","1","Imported cases only","2","20200331"
"204","Liberia","3","0","Local transmission","9","20200331"
"205","Angola","2","0","Imported cases only","9","20200331"
"206","Guinea-Bissau","2","0","Imported cases only","5","20200331"
"207","Réunion","207","0","Local transmission","1","20200331"
"208","Mayotte","82","0","Local transmission","1","20200331"
"209","conveyance (Diamond","712","7","Local transmission","15","20200331"
