country,confirmed,death,Transmission classification,Days since last reported case,date
China,84287,4642,Clusters of cases,0,20200422
Japan,11496,277,Clusters of cases,0,20200422
Republic of Korea,10694,238,Clusters of cases,0,20200422
Singapore,9125,11,Clusters of cases,0,20200422
Australia,6647,74,Clusters of cases,0,20200422
Philippines,6599,437,Clusters of cases,0,20200422
Malaysia,5482,92,Clusters of cases,0,20200422
New Zealand,1113,14,Clusters of cases,0,20200422
Viet Nam,268,0,Clusters of cases,5,20200422
Brunei Darussalam,138,1,Sporadic cases,2,20200422
Cambodia,122,0,Sporadic cases,10,20200422
Mongolia,34,0,Sporadic cases,0,20200422
Lao People's Democratic Republic,19,0,Sporadic cases,9,20200422
Fiji,18,0,Sporadic cases,1,20200422
Papua New Guinea,7,0,Sporadic cases,5,20200422
Guam,133,5,Clusters of cases,10,20200422
French Polynesia,57,0,Sporadic cases,0,20200422
New Caledonia,18,0,Sporadic cases,19,20200422
Northern Mariana Islands (Commonwealth of the),14,2,Pending,4,20200422
Spain,204178,21282,Pending,0,20200422
Italy,183957,24648,Community transmission,0,20200422
Germany,145694,4879,Community transmission,0,20200422
The United Kingdom,129048,17337,Pending,0,20200422
France,116151,20763,Community transmission,0,20200422
Turkey,95591,2259,Community transmission,0,20200422
Russian Federation,57999,513,Clusters of cases,0,20200422
Belgium,40956,5998,Community transmission,0,20200422
Netherlands,34134,3916,Pending,0,20200422
Switzerland,27981,1186,Community transmission,0,20200422
Portugal,21379,762,Pending,0,20200422
Ireland,16040,730,Pending,0,20200422
Sweden,15322,1765,Pending,0,20200422
Austria,14833,463,Pending,0,20200422
Israel,13942,184,Pending,0,20200422
Poland,9856,401,Pending,0,20200422
Romania,9242,483,Community transmission,0,20200422
Denmark,7695,370,Pending,0,20200422
Norway,7166,163,Pending,0,20200422
Czechia,7041,201,Community transmission,0,20200422
Serbia,6890,130,Pending,0,20200422
Belarus,6723,55,Clusters of cases,0,20200422
Ukraine,6592,174,Community transmission,0,20200422
Finland,4014,141,Pending,0,20200422
Luxembourg,3618,78,Pending,0,20200422
Republic of Moldova,2641,73,Pending,0,20200422
Greece,2401,121,Pending,0,20200422
Hungary,2168,225,Clusters of cases,0,20200422
Kazakhstan,1995,19,Pending,0,20200422
Croatia,1908,48,Pending,0,20200422
Iceland,1778,10,Pending,0,20200422
Uzbekistan,1657,6,Clusters of cases,1,20200422
Estonia,1552,43,Pending,0,20200422
Azerbaijan,1480,20,Clusters of cases,0,20200422
Armenia,1377,24,Clusters of cases,0,20200422
Lithuania,1370,38,Pending,0,20200422
Bosnia and Herzegovina,1340,50,Community transmission,0,20200422
Slovenia,1340,77,Pending,0,20200422
North Macedonia,1231,55,Clusters of cases,0,20200422
Slovakia,1199,14,Clusters of cases,0,20200422
Bulgaria,975,45,Pending,0,20200422
Cyprus,784,17,Clusters of cases,0,20200422
Latvia,748,9,Pending,0,20200422
Andorra,723,37,Community transmission,0,20200422
Albania,634,26,Clusters of cases,0,20200422
Kyrgyzstan,612,7,Pending,0,20200422
San Marino,476,40,Community transmission,0,20200422
Malta,443,3,Pending,0,20200422
Georgia,411,5,Clusters of cases,0,20200422
Montenegro,313,5,Clusters of cases,0,20200422
Liechtenstein,82,1,Pending,3,20200422
Monaco,68,1,Sporadic cases,8,20200422
Holy See,9,0,Sporadic cases,1,20200422
Kosovo,604,18,Community transmission,0,20200422
Isle of Man,307,10,Pending,0,20200422
Jersey,250,14,Pending,0,20200422
Guernsey,239,10,Community transmission,2,20200422
Faroe Islands,185,0,Pending,2,20200422
Gibraltar,133,0,Clusters of cases,4,20200422
Greenland,11,0,Pending,16,20200422
India,19984,640,Clusters of cases,0,20200422
Indonesia,7135,616,Community transmission,0,20200422
Bangladesh,3382,110,Pending,0,20200422
Thailand,2826,49,Pending,0,20200422
Sri Lanka,310,7,Clusters of cases,0,20200422
Myanmar,121,5,Clusters of cases,0,20200422
Maldives,83,0,Clusters of cases,0,20200422
Nepal,42,0,Sporadic cases,0,20200422
Timor-Leste,23,0,Clusters of cases,1,20200422
Bhutan,6,0,Sporadic cases,1,20200422
Iran (Islamic Republic of),84802,5297,Community transmission,0,20200422
Saudi Arabia,11631,109,Clusters of cases,0,20200422
Pakistan,9749,209,Clusters of cases,0,20200422
United Arab Emirates,7755,46,Pending,0,20200422
Qatar,6533,9,Pending,0,20200422
Egypt,3490,264,Clusters of cases,0,20200422
Morocco,3209,145,Clusters of cases,0,20200422
Kuwait,2080,11,Clusters of cases,0,20200422
Bahrain,1973,7,Clusters of cases,0,20200422
Oman,1614,8,Clusters of cases,0,20200422
Iraq,1602,83,Clusters of cases,0,20200422
Afghanistan,1092,36,Clusters of cases,0,20200422
Djibouti,945,2,Clusters of cases,0,20200422
Tunisia,901,38,Community transmission,0,20200422
Lebanon,682,22,Clusters of cases,0,20200422
Jordan,428,7,Clusters of cases,0,20200422
Somalia,286,14,Sporadic cases,0,20200422
Sudan,140,13,Sporadic cases,0,20200422
Libya,59,1,Clusters of cases,0,20200422
Syrian Arab Republic,42,3,Community transmission,0,20200422
Yemen,1,0,Pending,11,20200422
occupied Palestinian territory,335,2,Clusters of cases,0,20200422
United States of America,776907,37602,Community transmission,0,20200422
Brazil,40581,2575,Community transmission,0,20200422
Canada,37374,1728,Community transmission,0,20200422
Peru,16325,445,Community transmission,0,20200422
Chile,10832,147,Community transmission,0,20200422
Ecuador,10398,520,Community transmission,0,20200422
Mexico,8772,712,Community transmission,0,20200422
Dominican Republic,5044,245,Community transmission,0,20200422
Panama,4658,136,Community transmission,0,20200422
Colombia,3977,189,Community transmission,0,20200422
Argentina,3073,145,Community transmission,0,20200422
Cuba,1137,38,Clusters of cases,0,20200422
Costa Rica,662,6,Clusters of cases,0,20200422
Bolivia (Plurinational State of),598,34,Clusters of cases,0,20200422
Uruguay,535,10,Clusters of cases,0,20200422
Honduras,494,46,Clusters of cases,0,20200422
Guatemala,294,9,Clusters of cases,0,20200422
Venezuela (Bolivarian Republic of),285,10,Clusters of cases,0,20200422
El Salvador,225,7,Clusters of cases,0,20200422
Jamaica,223,6,Clusters of cases,0,20200422
Paraguay,208,8,Community transmission,1,20200422
Trinidad and Tobago,114,8,Sporadic cases,6,20200422
Barbados,75,5,Clusters of cases,5,20200422
Guyana,66,7,Clusters of cases,0,20200422
Bahamas,64,9,Clusters of cases,0,20200422
Haiti,57,3,Clusters of cases,0,20200422
Antigua and Barbuda,23,3,Clusters of cases,8,20200422
Belize,18,2,Sporadic cases,7,20200422
Dominica,16,0,Clusters of cases,11,20200422
Saint Kitts and Nevis,15,0,Sporadic cases,1,20200422
Saint Lucia,15,0,Sporadic cases,10,20200422
Grenada,14,0,Clusters of cases,0,20200422
Saint Vincent and the Grenadines,12,0,Sporadic cases,11,20200422
Nicaragua,10,2,Pending,0,20200422
Suriname,10,1,Sporadic cases,18,20200422
Puerto Rico,1298,64,Clusters of cases,0,20200422
Martinique,163,14,Clusters of cases,3,20200422
Guadeloupe,148,12,Clusters of cases,2,20200422
Aruba,97,2,Clusters of cases,2,20200422
French Guiana,97,1,Clusters of cases,1,20200422
Bermuda,86,5,Clusters of cases,2,20200422
Sint Maarten,68,10,Clusters of cases,0,20200422
Cayman Islands,66,1,Clusters of cases,0,20200422
United States Virgin Islands,54,3,Clusters of cases,0,20200422
Saint Martin,37,2,Sporadic cases,3,20200422
Curaçao,14,1,Sporadic cases,13,20200422
Falkland Islands (Malvinas),11,0,Clusters of cases,7,20200422
Montserrat,11,0,Sporadic cases,8,20200422
Turks and Caicos Islands,11,1,Sporadic cases,5,20200422
Saint Barthélemy,6,0,Sporadic cases,22,20200422
"Bonaire, Sint Eustatius and Saba",5,0,Sporadic cases,4,20200422
British Virgin Islands,4,1,Sporadic cases,2,20200422
Anguilla,3,0,Sporadic cases,18,20200422
Saint Pierre and Miquelon,1,0,Sporadic cases,14,20200422
South Africa,3465,58,Community transmission,0,20200422
Algeria,2811,392,Community transmission,0,20200422
Cameroon,1163,43,Clusters of cases,1,20200422
Ghana,1042,9,Clusters of cases,2,20200422
