country,confirmed,death,Transmission classification,Days since last reported case
"Bonaire, Sint Eustatius and Saba",3,0,Sporadic cases,0
British Virgin Islands,3,0,Sporadic cases,12
Saint Pierre and Miquelon,1,0,Sporadic cases,5
South Africa,2173,25,Community transmission,0
Algeria,1914,293,Community transmission,0
Cameroon,803,10,Clusters of cases,2
Ghana,566,8,Clusters of cases,0
Côte d’Ivoire,533,4,Clusters of cases,1
Niger,529,12,Clusters of cases,0
Burkina Faso,443,19,Clusters of cases,2
Mauritius,324,9,Clusters of cases,0
Nigeria,323,10,Clusters of cases,0
Senegal,280,2,Clusters of cases,0
Guinea,250,0,Clusters of cases,1
Democratic Republic of the Congo,235,20,Clusters of cases,0
Kenya,197,8,Clusters of cases,0
Rwanda,126,0,Sporadic cases,0
Madagascar,106,0,Clusters of cases,0
Mali,87,7,Sporadic cases,1
Togo,76,3,Sporadic cases,0
Ethiopia,71,3,Sporadic cases,0
Congo,70,5,Clusters of cases,0
Gabon,57,1,Sporadic cases,0
Uganda,54,0,Sporadic cases,0
Liberia,50,5,Sporadic cases,0
Zambia,43,2,Sporadic cases,0
Guinea-Bissau,39,0,Sporadic cases,0
Benin,35,1,Sporadic cases,1
Eritrea,34,0,Sporadic cases,0
United Republic of Tanzania,32,3,Sporadic cases,2
Mozambique,20,0,Sporadic cases,2
Angola,19,2,Sporadic cases,4
Chad,18,0,Sporadic cases,0
Equatorial Guinea,18,0,Sporadic cases,3
Namibia,16,0,Sporadic cases,7
Eswatini,14,0,Sporadic cases,0
Zimbabwe,14,3,Sporadic cases,0
Botswana,13,1,Sporadic cases,3
Malawi,13,2,Sporadic cases,0
Central African Republic,11,0,Sporadic cases,2
Seychelles,11,0,Sporadic cases,6
Sierra Leone,10,0,Sporadic cases,0
Gambia,9,1,Sporadic cases,1
Cabo Verde,7,1,Sporadic cases,6
Mauritania,7,1,Sporadic cases,2
Burundi,5,0,Sporadic cases,0
São Tomé and Príncipe,4,0,Pending,6
South Sudan,4,0,Pending,1
Réunion,389,0,Clusters of cases,0
Mayotte,207,3,Clusters of cases,0
