country,confirmed,death,Transmission classification,Days since last reported case,date
China,84324,4642,Clusters of cases,0,20200425
Japan,12829,334,Clusters of cases,0,20200425
Singapore,12075,12,Clusters of cases,0,20200425
Republic of Korea,10718,240,Clusters of cases,0,20200425
Philippines,7192,477,Clusters of cases,0,20200425
Australia,6687,79,Clusters of cases,0,20200425
Malaysia,5691,96,Clusters of cases,0,20200425
New Zealand,1117,18,Clusters of cases,0,20200425
Viet Nam,270,0,Clusters of cases,0,20200425
Brunei Darussalam,138,1,Sporadic cases,5,20200425
Cambodia,122,0,Sporadic cases,13,20200425
Mongolia,36,0,Sporadic cases,0,20200425
Lao People's Democratic Republic,19,0,Sporadic cases,12,20200425
Fiji,18,0,Sporadic cases,4,20200425
Papua New Guinea,8,0,Sporadic cases,2,20200425
Guam,136,5,Clusters of cases,0,20200425
French Polynesia,57,0,Sporadic cases,3,20200425
New Caledonia,18,0,Sporadic cases,22,20200425
Northern Mariana Islands (Commonwealth of the),14,2,Pending,7,20200425
Spain,219764,22524,Pending,0,20200425
Italy,192994,25969,Community transmission,0,20200425
Germany,152438,5500,Community transmission,0,20200425
The United Kingdom,143468,19506,Community transmission,0,20200425
France,121338,22212,Community transmission,0,20200425
Turkey,104912,2600,Community transmission,0,20200425
Russian Federation,68622,615,Clusters of cases,1,20200425
Belgium,44293,6679,Community transmission,0,20200425
Netherlands,36535,4289,Community transmission,0,20200425
Switzerland,28595,1308,Community transmission,0,20200425
Portugal,22797,854,Pending,0,20200425
Ireland,18184,829,Pending,0,20200425
Sweden,17567,2152,Community transmission,0,20200425
Austria,15068,513,Pending,0,20200425
Israel,15028,194,Pending,0,20200425
Poland,10892,494,Pending,0,20200425
Romania,10417,552,Community transmission,0,20200425
Belarus,8773,63,Clusters of cases,0,20200425
Denmark,8210,403,Pending,0,20200425
Ukraine,8125,201,Community transmission,0,20200425
Serbia,7483,144,Pending,0,20200425
Norway,7408,191,Pending,0,20200425
Czechia,7273,215,Community transmission,0,20200425
Finland,4395,177,Pending,0,20200425
Luxembourg,3695,85,Pending,0,20200425
Republic of Moldova,3110,87,Pending,0,20200425
Greece,2490,130,Pending,0,20200425
Hungary,2443,262,Clusters of cases,0,20200425
Kazakhstan,2416,25,Pending,0,20200425
Croatia,2009,51,Community transmission,0,20200425
Uzbekistan,1836,8,Clusters of cases,0,20200425
Iceland,1789,10,Community transmission,1,20200425
Estonia,1605,46,Pending,0,20200425
Armenia,1596,27,Clusters of cases,0,20200425
Azerbaijan,1592,21,Clusters of cases,0,20200425
Bosnia and Herzegovina,1428,54,Community transmission,0,20200425
Lithuania,1410,40,Pending,1,20200425
Slovenia,1373,80,Community transmission,0,20200425
Slovakia,1360,17,Clusters of cases,0,20200425
North Macedonia,1326,57,Clusters of cases,0,20200425
Bulgaria,1188,54,Pending,0,20200425
Cyprus,804,17,Clusters of cases,0,20200425
Latvia,784,12,Pending,0,20200425
Andorra,733,40,Community transmission,0,20200425
Albania,678,28,Clusters of cases,1,20200425
Kyrgyzstan,665,8,Pending,0,20200425
San Marino,513,40,Community transmission,0,20200425
Georgia,456,5,Community transmission,0,20200425
Malta,447,3,Pending,0,20200425
Montenegro,319,5,Clusters of cases,0,20200425
Liechtenstein,82,1,Pending,6,20200425
Monaco,68,1,Sporadic cases,11,20200425
Holy See,9,0,Sporadic cases,4,20200425
Kosovo,703,19,Community transmission,0,20200425
Isle of Man,308,17,Pending,0,20200425
Jersey,276,19,Pending,0,20200425
Guernsey,245,10,Community transmission,0,20200425
Faroe Islands,187,0,Pending,1,20200425
Gibraltar,133,0,Clusters of cases,7,20200425
Greenland,11,0,Pending,19,20200425
India,24506,775,Clusters of cases,0,20200425
Indonesia,8211,689,Community transmission,0,20200425
Bangladesh,4689,131,Pending,0,20200425
Thailand,2907,51,Pending,0,20200425
Sri Lanka,420,7,Clusters of cases,0,20200425
Myanmar,144,5,Clusters of cases,0,20200425
Maldives,116,0,Clusters of cases,0,20200425
Nepal,49,0,Sporadic cases,0,20200425
