"","contry","confirmed","death","date"
"1","China","77780","2666","20200225"
"2","Republic of Korea","977","10","20200225"
"3","Japan","157","1","20200225"
"4","Singapore","90","0","20200225"
"5","Australia","22","0","20200225"
"6","Malaysia","22","0","20200225"
"7","Viet Nam","16","0","20200225"
"8","Philippines","3","1","20200225"
"9","Cambodia","1","0","20200225"
"10","Thailand","37","0","20200225"
"11","India","3","0","20200225"
"12","Nepal","1","0","20200225"
"13","Sri Lanka","1","0","20200225"
"14","United States of America","53","0","20200225"
"15","Canada","10","0","20200225"
"16","Italy","229","6","20200225"
"17","Germany","16","0","20200225"
"18","France","12","1","20200225"
"19","The United Kingdom*","13","0","20200225"
"20","Israel","2","0","20200225"
"21","Russian Federation","2","0","20200225"
"22","Spain","2","0","20200225"
"23","Belgium","1","0","20200225"
"24","Finland","1","0","20200225"
"25","Sweden","1","0","20200225"
"26","Iran (Islamic Republic of)","61","12","20200225"
"27","United Arab Emirates","13","0","20200225"
"28","Bahrain","8","0","20200225"
"29","Kuwait","8","0","20200225"
"30","Oman","2","0","20200225"
"31","Afghanistan","1","0","20200225"
"32","Egypt","1","0","20200225"
"33","Iraq","1","0","20200225"
"34","Lebanon","1","0","20200225"
"35","Subtotal for all regions","1768","31","20200225"
"36","","691","3","20200225"
"37","Grand total","2459","34","20200225"
