country,confirmed,death,Transmission classification,Days since last reported case,date
South Africa,8895,178,Community transmission,0,20200509
Algeria,5369,488,Community transmission,0,20200509
Ghana,4012,18,Clusters of cases,0,20200509
Nigeria,3912,117,Community transmission,0,20200509
Cameroon,2265,108,Clusters of cases,3,20200509
Guinea,2009,11,Community transmission,0,20200509
Côte d’Ivoire,1602,20,Clusters of cases,0,20200509
Senegal,1551,13,Clusters of cases,0,20200509
Democratic Republic of the Congo,937,39,Clusters of cases,0,20200509
Niger,795,44,Clusters of cases,0,20200509
Burkina Faso,736,48,Community transmission,1,20200509
Mali,668,35,Clusters of cases,0,20200509
Kenya,621,29,Clusters of cases,0,20200509
Gabon,620,8,Clusters of cases,0,20200509
United Republic of Tanzania,509,21,Clusters of cases,1,20200509
Guinea-Bissau,508,2,Sporadic cases,2,20200509
Equatorial Guinea,439,4,Clusters of cases,3,20200509
Mauritius,332,10,Community transmission,12,20200509
Congo,287,10,Clusters of cases,0,20200509
Rwanda,273,0,Clusters of cases,0,20200509
Chad,260,28,Sporadic cases,0,20200509
Sierra Leone,257,17,Clusters of cases,0,20200509
Benin,242,2,Sporadic cases,0,20200509
Cabo Verde,230,2,Sporadic cases,0,20200509
São Tomé and Príncipe,208,5,Sporadic cases,0,20200509
Liberia,199,20,Clusters of cases,0,20200509
Ethiopia,194,4,Clusters of cases,0,20200509
Madagascar,169,0,Clusters of cases,2,20200509
Zambia,167,4,Sporadic cases,0,20200509
Eswatini,159,2,Sporadic cases,0,20200509
Togo,145,10,Clusters of cases,0,20200509
South Sudan,120,0,Sporadic cases,0,20200509
Uganda,101,0,Sporadic cases,1,20200509
Central African Republic,94,0,Sporadic cases,4,20200509
Mozambique,82,0,Sporadic cases,0,20200509
Malawi,43,3,Sporadic cases,2,20200509
Eritrea,39,0,Sporadic cases,20,20200509
Angola,36,2,Sporadic cases,3,20200509
Zimbabwe,34,4,Sporadic cases,7,20200509
Botswana,23,1,Sporadic cases,10,20200509
Gambia,20,1,Sporadic cases,0,20200509
Burundi,19,1,Sporadic cases,6,20200509
Namibia,16,0,Sporadic cases,33,20200509
Seychelles,11,0,Sporadic cases,32,20200509
Comoros,8,1,Pending,2,20200509
Mauritania,8,1,Sporadic cases,8,20200509
Mayotte,890,11,Clusters of cases,0,20200509
Réunion,430,0,Clusters of cases,0,20200509
United States of America,1245874,69889,Community transmission,0,20200509
Brazil,135106,9146,Community transmission,0,20200509
Canada,65399,4471,Community transmission,0,20200509
Peru,58526,1627,Community transmission,0,20200509
Ecuador,30298,1654,Community transmission,1,20200509
Mexico,29616,2961,Community transmission,0,20200509
Chile,25972,294,Community transmission,0,20200509
Colombia,9456,407,Community transmission,0,20200509
Dominican Republic,9376,380,Community transmission,0,20200509
Panama,7868,225,Community transmission,0,20200509
Argentina,5530,289,Community transmission,0,20200509
Bolivia (Plurinational State of),2081,102,Clusters of cases,0,20200509
Cuba,1741,74,Clusters of cases,0,20200509
Honduras,1685,105,Community transmission,0,20200509
Guatemala,832,23,Clusters of cases,0,20200509
Costa Rica,765,6,Clusters of cases,0,20200509
El Salvador,742,15,Clusters of cases,0,20200509
Uruguay,684,17,Clusters of cases,0,20200509
Paraguay,563,10,Community transmission,0,20200509
Jamaica,488,9,Clusters of cases,0,20200509
Venezuela (Bolivarian Republic of),381,10,Clusters of cases,0,20200509
Haiti,129,12,Clusters of cases,0,20200509
Trinidad and Tobago,116,8,Sporadic cases,11,20200509
Guyana,93,10,Clusters of cases,2,20200509
Bahamas,92,11,Clusters of cases,1,20200509
Barbados,82,7,Clusters of cases,4,20200509
Antigua and Barbuda,25,3,Clusters of cases,5,20200509
Grenada,21,0,Clusters of cases,5,20200509
Belize,18,2,Sporadic cases,24,20200509
Saint Lucia,18,0,Sporadic cases,4,20200509
Saint Vincent and the Grenadines,17,0,Sporadic cases,4,20200509
Dominica,16,0,Clusters of cases,28,20200509
Nicaragua,16,5,Pending,2,20200509
Saint Kitts and Nevis,15,0,Sporadic cases,18,20200509
Suriname,10,1,Sporadic cases,35,20200509
Puerto Rico,2156,56,Clusters of cases,0,20200509
Martinique,183,14,Clusters of cases,0,20200509
Guadeloupe,154,13,Clusters of cases,0,20200509
French Guiana,141,1,Clusters of cases,0,20200509
Bermuda,118,7,Clusters of cases,1,20200509
Aruba,101,3,Sporadic cases,3,20200509
Cayman Islands,80,1,Clusters of cases,0,20200509
Sint Maarten,76,14,Sporadic cases,8,20200509
United States Virgin Islands,68,4,Clusters of cases,0,20200509
Saint Martin,38,3,Sporadic cases,16,20200509
Curaçao,16,1,Sporadic cases,11,20200509
Falkland Islands (Malvinas),13,0,Clusters of cases,13,20200509
Turks and Caicos Islands,12,1,Sporadic cases,11,20200509
Montserrat,11,1,Sporadic cases,25,20200509
British Virgin Islands,7,1,Sporadic cases,3,20200509
"Bonaire, Sint Eustatius and Saba",6,0,Sporadic cases,11,20200509
Saint Barthélemy,6,0,Sporadic cases,39,20200509
Anguilla,3,0,Sporadic cases,35,20200509
Saint Pierre and Miquelon,1,0,Sporadic cases,31,20200509
Iran (Islamic Republic of),104691,6541,Community transmission,0,20200509
Saudi Arabia,35432,229,Clusters of cases,0,20200509
Pakistan,27474,618,Clusters of cases,0,20200509
Qatar,20201,12,Community transmission,0,20200509
United Arab Emirates,16793,174,Pending,0,20200509
Egypt,8476,503,Clusters of cases,0,20200509
Kuwait,7208,47,Clusters of cases,0,20200509
Morocco,5711,186,Clusters of cases,0,20200509
Bahrain,4444,8,Clusters of cases,0,20200509
Afghanistan,3563,105,Clusters of cases,1,20200509
Oman,3224,17,Clusters of cases,0,20200509
Iraq,2603,104,Clusters of cases,0,20200509
Djibouti,1135,3,Clusters of cases,0,20200509
Sudan,1111,59,Sporadic cases,0,20200509
Tunisia,1030,45,Community transmission,0,20200509
Somalia,928,44,Sporadic cases,1,20200509
Lebanon,796,26,Clusters of cases,0,20200509
Jordan,508,9,Clusters of cases,0,20200509
Libya,64,3,Clusters of cases,2,20200509
Syrian Arab Republic,47,3,Community transmission,0,20200509
Yemen,36,8,Pending,0,20200509
occupied Palestinian territory,547,4,Clusters of cases,1,20200509
Spain,222857,26251,Community transmission,0,20200509
Italy,217185,30201,Community transmission,0,20200509
The United Kingdom,211368,31241,Community transmission,0,20200509
Russian Federation,198676,1827,Clusters of cases,0,20200509
Germany,168551,7369,Community transmission,0,20200509
France,136578,26188,Community transmission,0,20200509
Turkey,135569,3689,Community transmission,0,20200509
Belgium,52011,8521,Community transmission,0,20200509
Netherlands,42093,5359,Community transmission,0,20200509
Switzerland,30168,1531,Community transmission,0,20200509
Portugal,27268,1114,Community transmission,0,20200509
Sweden,25265,3175,Community transmission,0,20200509
Ireland,22541,1429,Community transmission,0,20200509
Belarus,21101,121,Clusters of cases,0,20200509
Israel,16444,245,Pending,0,20200509
Austria,15735,614,Community transmission,0,20200509
Poland,15366,776,Community transmission,0,20200509
Romania,14811,898,Community transmission,0,20200509
Ukraine,14710,376,Community transmission,0,20200509
Denmark,10218,522,Pending,0,20200509
Serbia,9943,209,Pending,0,20200509
Czechia,8077,273,Community transmission,0,20200509
Norway,8034,213,Pending,0,20200509
Finland,5738,260,Pending,0,20200509
Kazakhstan,4922,31,Pending,0,20200509
Republic of Moldova,4728,159,Pending,0,20200509
Luxembourg,3871,100,Pending,0,20200509
Hungary,3213,405,Clusters of cases,0,20200509
Armenia,3175,44,Clusters of cases,0,20200509
Greece,2691,150,Community transmission,0,20200509
Uzbekistan,2336,10,Clusters of cases,0,20200509
Azerbaijan,2279,28,Clusters of cases,0,20200509
Croatia,2161,86,Community transmission,0,20200509
Bosnia and Herzegovina,2070,97,Community transmission,0,20200509
Bulgaria,1911,88,Clusters of cases,0,20200509
Iceland,1801,10,Community transmission,1,20200509
Estonia,1725,56,Pending,0,20200509
North Macedonia,1586,90,Clusters of cases,0,20200509
