"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","78961","2791","","","20200228"
"2","Republic of Korea","2337","13","Local transmission","0","20200228"
"3","Japan","210","4","Local transmission","0","20200228"
"4","Singapore","96","0","Local transmission","0","20200228"
"5","Malaysia","24","0","Local transmission","0","20200228"
"6","Australia","23","0","Local transmission","3","20200228"
"7","Viet Nam","16","0","Local transmission","15","20200228"
"8","Philippines","3","1","Imported cases only","24","20200228"
"9","Cambodia","1","0","Imported cases only","32","20200228"
"10","New Zealand","1","0","Imported cases only","0","20200228"
"11","Italy","650","17","Local transmission","0","20200228"
"12","France","38","2","Local transmission","0","20200228"
"13","Germany","26","0","Local transmission","0","20200228"
"14","Spain","25","0","Local transmission","0","20200228"
"15","The United Kingdom","16","0","Local transmission","0","20200228"
"16","Sweden","7","0","Imported cases only","0","20200228"
"17","Switzerland","6","0","Imported cases only","0","20200228"
"18","Austria","4","0","Imported cases only","0","20200228"
"19","Norway","4","0","Imported cases only","0","20200228"
"20","Greece","3","0","Imported cases only","0","20200228"
"21","Israel","3","0","Imported cases only","0","20200228"
"22","Croatia","3","0","Local transmission","0","20200228"
"23","Finland","2","0","Imported cases only","2","20200228"
"24","Russian Federation","2","0","Imported cases only","28","20200228"
"25","Belarus","1","0","Imported cases only","0","20200228"
"26","Lithuania","1","0","Imported cases only","0","20200228"
"27","Netherlands","1","0","Imported cases only","0","20200228"
"28","North Macedonia","1","0","Imported cases only","2","20200228"
"29","Romania","1","0","Imported cases only","1","20200228"
"30","Belgium","1","0","Imported cases only","24","20200228"
"31","Denmark","1","0","Imported cases only","1","20200228"
"32","Estonia","1","0","Imported cases only","1","20200228"
"33","Georgia","1","0","Imported cases only","1","20200228"
"34","Thailand","40","0","Local transmission","2","20200228"
"35","India","3","0","Imported cases only","25","20200228"
"36","Nepal","1","0","Imported cases only","46","20200228"
"37","Sri Lanka","1","0","Imported cases only","32","20200228"
"38","Iran (Islamic Republic of)","245","26","Local transmission","0","20200228"
"39","Kuwait","43","0","Imported cases only","1","20200228"
"40","Bahrain","33","0","Imported cases only","1","20200228"
"41","United Arab Emirates","19","0","Local transmission","0","20200228"
"42","Iraq","7","0","Imported cases only","0","20200228"
"43","Oman","6","0","Imported cases only","0","20200228"
"44","Lebanon","2","0","Imported cases only","2","20200228"
"45","Pakistan","2","0","Imported cases only","2","20200228"
"46","Afghanistan","1","0","Imported cases only","4","20200228"
"47","Egypt","1","0","Imported cases only","14","20200228"
"48","United States of America","59","0","Local transmission","2","20200228"
"49","Canada","11","0","Imported cases only","2","20200228"
"50","Brazil","1","0","Imported cases only","2","20200228"
"51","Algeria","1","0","Imported cases only","3","20200228"
"52","Nigeria","1","0","Imported cases only","0","20200228"
