country,confirmed,death,Transmission classification,Days since last reported case,date
China,82930,3338,Local transmission,0,20200405
Republic of Korea,10237,183,Local transmission,0,20200405
Australia,5635,34,Local transmission,0,20200405
Malaysia,3483,57,Local transmission,0,20200405
Japan,3271,70,Local transmission,0,20200405
Philippines,3094,144,Local transmission,0,20200405
Singapore,1189,5,Local transmission,0,20200405
New Zealand,872,1,Local transmission,0,20200405
Viet Nam,240,0,Local transmission,0,20200405
Brunei Darussalam,135,1,Local transmission,0,20200405
Cambodia,114,0,Local transmission,1,20200405
Mongolia,14,0,Imported cases only,3,20200405
Fiji,12,0,Local transmission,0,20200405
Lao People's Democratic Republic,10,0,Local transmission,3,20200405
Papua New Guinea,1,0,Imported cases only,15,20200405
Guam,93,4,Local transmission,0,20200405
French Polynesia,40,0,Local transmission,0,20200405
New Caledonia,18,0,Local transmission,2,20200405
Northern Mariana Islands (Commonwealth of the),8,1,Local transmission,2,20200405
Spain,124736,11744,Local transmission,0,20200405
Italy,124632,15362,Local transmission,0,20200405
Germany,91714,1342,Local transmission,0,20200405
France,67757,7546,Local transmission,0,20200405
The United Kingdom,41907,4313,Local transmission,0,20200405
Turkey,23934,501,Local transmission,0,20200405
Switzerland,20489,666,Local transmission,0,20200405
Belgium,18431,1283,Local transmission,0,20200405
Netherlands,16627,1651,Local transmission,0,20200405
Austria,11766,186,Local transmission,0,20200405
Portugal,10524,266,Local transmission,0,20200405
Israel,7589,42,Local transmission,0,20200405
Sweden,6443,373,Local transmission,0,20200405
Norway,5510,50,Local transmission,0,20200405
Russian Federation,4731,43,Local transmission,0,20200405
Ireland,4604,137,Local transmission,0,20200405
Czechia,4472,59,Local transmission,0,20200405
Denmark,4077,161,Local transmission,0,20200405
Poland,3627,79,Local transmission,0,20200405
Romania,3613,141,Local transmission,0,20200405
Luxembourg,2729,31,Local transmission,0,20200405
Finland,1882,25,Local transmission,0,20200405
Greece,1673,68,Local transmission,0,20200405
Serbia,1624,39,Local transmission,0,20200405
Iceland,1417,4,Local transmission,0,20200405
Ukraine,1251,32,Local transmission,0,20200405
Croatia,1126,12,Local transmission,0,20200405
Estonia,1018,13,Local transmission,0,20200405
Slovenia,977,22,Local transmission,0,20200405
Lithuania,771,9,Local transmission,1,20200405
Republic of Moldova,752,12,Local transmission,0,20200405
Armenia,746,7,Local transmission,0,20200405
Hungary,733,34,Local transmission,0,20200405
Bosnia and Herzegovina,632,21,Local transmission,0,20200405
Kazakhstan,531,5,Local transmission,0,20200405
Azerbaijan,512,5,Local transmission,0,20200405
Latvia,509,1,Local transmission,0,20200405
Bulgaria,503,17,Local transmission,0,20200405
North Macedonia,483,17,Local transmission,0,20200405
Slovakia,471,0,Local transmission,0,20200405
Andorra,466,17,Local transmission,0,20200405
Belarus,440,4,Local transmission,0,20200405
Cyprus,426,11,Local transmission,0,20200405
Albania,333,18,Local transmission,1,20200405
Uzbekistan,298,2,Local transmission,0,20200405
San Marino,259,32,Local transmission,0,20200405
Malta,213,0,Local transmission,0,20200405
Montenegro,197,2,Local transmission,0,20200405
Georgia,170,1,Local transmission,0,20200405
Kyrgyzstan,147,1,Local transmission,0,20200405
Liechtenstein,77,1,Under investigation,0,20200405
Monaco,37,0,Local transmission,4,20200405
Holy See,7,0,Under investigation,2,20200405
Faroe Islands,181,0,Local transmission,0,20200405
Kosovo,140,1,Local transmission,0,20200405
Guernsey,136,2,Local transmission,0,20200405
Isle of Man,126,1,Local transmission,0,20200405
Jersey,123,3,Local transmission,0,20200405
Gibraltar,98,1,Local transmission,0,20200405
Greenland,10,0,Under investigation,7,20200405
India,3374,77,Local transmission,0,20200405
Indonesia,2092,191,Local transmission,0,20200405
Thailand,2067,20,Local transmission,0,20200405
Sri Lanka,159,5,Local transmission,0,20200405
Bangladesh,70,8,Local transmission,0,20200405
Myanmar,20,1,Local transmission,1,20200405
Maldives,19,0,Local transmission,2,20200405
Nepal,9,0,Local transmission,0,20200405
Bhutan,5,0,Imported cases only,2,20200405
Timor-Leste,1,0,Imported cases only,15,20200405
Iran (Islamic Republic of),55743,3452,Local transmission,0,20200405
Pakistan,2880,45,Local transmission,0,20200405
Saudi Arabia,2370,29,Local transmission,0,20200405
United Arab Emirates,1505,10,Local transmission,0,20200405
Qatar,1325,3,Local transmission,0,20200405
Egypt,1070,71,Local transmission,0,20200405
Morocco,960,66,Local transmission,0,20200405
Iraq,878,56,Local transmission,0,20200405
Bahrain,688,4,Local transmission,0,20200405
Kuwait,556,1,Local transmission,0,20200405
Tunisia,553,19,Local transmission,0,20200405
Lebanon,527,18,Local transmission,0,20200405
Jordan,323,5,Local transmission,0,20200405
Afghanistan,299,7,Local transmission,0,20200405
Oman,298,2,Local transmission,0,20200405
Djibouti,51,0,Local transmission,0,20200405
Libya,17,1,Local transmission,1,20200405
Syrian Arab Republic,16,2,Local transmission,2,20200405
Sudan,10,2,Local transmission,1,20200405
Somalia,7,0,Local transmission,1,20200405
occupied Palestinian territory,217,1,Local transmission,0,20200405
United States of America,273808,7020,Local transmission,0,20200405
Canada,12938,214,Local transmission,0,20200405
Brazil,9056,359,Local transmission,0,20200405
Chile,4161,27,Local transmission,0,20200405
Ecuador,3465,172,Local transmission,0,20200405
Mexico,1688,60,Local transmission,0,20200405
Panama,1673,41,Local transmission,0,20200405
Peru,1595,61,Local transmission,0,20200405
Dominican Republic,1488,68,Local transmission,1,20200405
Argentina,1353,42,Local transmission,0,20200405
Colombia,1267,25,Local transmission,0,20200405
Costa Rica,416,2,Local transmission,0,20200405
Uruguay,386,4,Local transmission,0,20200405
Cuba,288,6,Local transmission,0,20200405
Honduras,264,15,Local transmission,0,20200405
Venezuela (Bolivarian Republic of),144,3,Local transmission,2,20200405
Bolivia (Plurinational State of),139,10,Local transmission,0,20200405
Trinidad and Tobago,100,6,Local transmission,0,20200405
Paraguay,96,3,Local transmission,0,20200405
El Salvador,56,3,Local transmission,0,20200405
Jamaica,53,3,Local transmission,0,20200405
Barbados,51,0,Local transmission,0,20200405
Guatemala,50,1,Local transmission,1,20200405
Bahamas,24,3,Local transmission,1,20200405
Guyana,23,4,Local transmission,0,20200405
Haiti,18,0,Imported cases only,1,20200405
Saint Lucia,13,0,Local transmission,3,20200405
Grenada,12,0,Local transmission,0,20200405
Dominica,11,0,Local transmission,9,20200405
Suriname,10,0,Local transmission,1,20200405
Saint Kitts and Nevis,9,0,Imported cases only,0,20200405
Antigua and Barbuda,7,0,Imported cases only,8,20200405
Nicaragua,5,1,Imported cases only,3,20200405
Belize,4,0,Local transmission,0,20200405
Saint Vincent and the Grenadines,3,0,Imported cases only,1,20200405
Puerto Rico,452,18,Local transmission,0,20200405
Martinique,145,3,Local transmission,0,20200405
Guadeloupe,130,7,Local transmission,1,20200405
Aruba,64,0,Local transmission,0,20200405
French Guiana,62,0,Local transmission,0,20200405
United States Virgin Islands,40,0,Local transmission,0,20200405
Bermuda,35,0,Local transmission,1,20200405
Cayman Islands,28,1,Local transmission,1,20200405
Saint Martin,24,2,Under investigation,0,20200405
Sint Maarten,23,2,Imported cases only,1,20200405
Curaçao,11,1,Imported cases only,5,20200405
Montserrat,6,0,Imported cases only,0,20200405
Saint Barthélemy,6,0,Under investigation,5,20200405
Turks and Caicos Islands,5,0,Local transmission,5,20200405
Anguilla,3,0,Local transmission,1,20200405
British Virgin Islands,3,0,Imported cases only,4,20200405
"Bonaire, Sint Eustatius and Saba",2,0,Imported cases only,1,20200405
Falkland Islands (Malvinas),1,0,Under investigation,0,20200405
South Africa,1585,9,Local transmission,0,20200405
Algeria,1251,130,Local transmission,0,20200405
Cameroon,555,9,Local transmission,0,20200405
Burkina Faso,302,15,Local transmission,0,20200405
Côte d’Ivoire,245,2,Local transmission,0,20200405
Senegal,219,2,Local transmission,0,20200405
Nigeria,210,4,Local transmission,0,20200405
Ghana,205,5,Local transmission,0,20200405
Mauritius,196,7,Local transmission,0,20200405
Democratic Republic of the Congo,148,16,Local transmission,0,20200405
Niger,144,8,Local transmission,0,20200405
Kenya,122,4,Local transmission,1,20200405
Guinea,111,0,Local transmission,0,20200405
Rwanda,102,0,Local transmission,0,20200405
Madagascar,70,0,Local transmission,0,20200405
Uganda,48,0,Local transmission,0,20200405
Congo,45,5,Local transmission,0,20200405
