"","contry","confirmed","death","date"
"1","Singapore","81","0","20200219"
"2","Japan","73","1","20200219"
"3","Republic of Korea","51","0","20200219"
"4","Malaysia","22","0","20200219"
"5","Viet Nam","16","0","20200219"
"6","Australia","15","0","20200219"
"7","Philippines","3","1","20200219"
"8","Cambodia","1","0","20200219"
"9","China","74280","2006","20200219"
"10","Thailand","35","0","20200219"
"11","India","3","0","20200219"
"12","Nepal","1","0","20200219"
"13","Sri Lanka","1","0","20200219"
"14","Region of","the",NA,"20200219"
"15","United States of America","15","0","20200219"
"16","America","",NA,"20200219"
"17","Canada","8","0","20200219"
"18","European","European",NA,"20200219"
"19","Germany","16","0","20200219"
"20","France","12","1","20200219"
"21","The United Kingdom","9","0","20200219"
"22","Kingdom","",NA,"20200219"
"23","Italy","3","0","20200219"
"24","Russian Federation","2","0","20200219"
"25","Spain","2","0","20200219"
"26","Belgium","1","0","20200219"
"27","Finland","1","0","20200219"
"28","Sweden","1","0","20200219"
"29","Eastern","Mediterranean",NA,"20200219"
"30","United Arab","9","0","20200219"
"31","Emirates","",NA,"20200219"
"32","Egypt","1","0","20200219"
"33","Other","",NA,"20200219"
"34","International","542","0","20200219"
"35","conveyance‡","",NA,"20200219"
"36","(Diamond","(Diamond",NA,"20200219"
