"","contry","confirmed","death","date"
"1","China","77262","2595","20200224"
"2","Republic of Korea","763","7","20200224"
"3","Japan","144","1","20200224"
"4","Singapore","89","0","20200224"
"5","Australia","22","0","20200224"
"6","Malaysia","22","0","20200224"
"7","Viet Nam","16","0","20200224"
"8","Philippines","3","1","20200224"
"9","Cambodia","1","0","20200224"
"10","Thailand","35","0","20200224"
"11","India","3","0","20200224"
"12","Nepal","1","0","20200224"
"13","Sri Lanka","1","0","20200224"
"14","United States of America","35","0","20200224"
"15","Canada","9","0","20200224"
"16","Italy","124","2","20200224"
"17","Germany","16","0","20200224"
"18","France","12","1","20200224"
"19","The United Kingdom","9","0","20200224"
"20","Russian Federation","2","0","20200224"
"21","Spain","2","0","20200224"
"22","Belgium","1","0","20200224"
"23","Finland","1","0","20200224"
"24","Israel","1","0","20200224"
"25","Sweden","1","0","20200224"
"26","Iran (Islamic Republic of)","43","8","20200224"
"27","United Arab Emirates","13","0","20200224"
"28","Kuwait","3","0","20200224"
"29","Egypt","1","0","20200224"
"30","Lebanon","1","0","20200224"
"31","Subtotal for all regions","1374","20","20200224"
"32","","695","3","20200224"
"33","Grand total","2069","23","20200224"
