"","contry","confirmed","death","date"
"1","Singapore","72","0","20200216"
"2","Japan","53","1","20200216"
"3","Republic of Korea","29","0","20200216"
"4","Malaysia","22","0","20200216"
"5","Viet Nam","16","0","20200216"
"6","Australia","15","0","20200216"
"7","Philippines","3","1","20200216"
"8","Cambodia","1","0","20200216"
"9","Thailand","34","0","20200216"
"10","India","3","0","20200216"
"11","China","51174","1666","20200216"
"12","Nepal","1","0","20200216"
"13","Sri Lanka","1","0","20200216"
"14","United States of",NA,NA,"20200216"
"15","United States of America","15","0","20200216"
"16","Canada","7","0","20200216"
"17","Germany","16","0","20200216"
"18","France","12","1","20200216"
"19","The United Kingdom","9","0","20200216"
"20","Italy","3","0","20200216"
"21","Russian Federation","2","0","20200216"
"22","Spain","2","0","20200216"
"23","Belgium","1","0","20200216"
"24","Finland","1","0","20200216"
"25","Sweden","1","0","20200216"
"26","United Arab Emirates","8","0","20200216"
"27","Egypt","1","0","20200216"
"28","International",NA,NA,"20200216"
"29","Other",NA,NA,"20200216"
"30","conveyance‡‡ (Japan)","355","0","20200216"
