"","contry","confirmed","death","date"
"1","China","28060","564","20200206"
"2","Singapore","28","0","20200206"
"3","Western Pacific Region",NA,NA,"20200206"
"4","Japan","25","0","20200206"
"5","",NA,NA,"20200206"
"6","Republic of Korea","23","0","20200206"
"7","Australia","14","0","20200206"
"8","Malaysia","12","0","20200206"
"9","",NA,NA,"20200206"
"10","Viet Nam","10","0","20200206"
"11","",NA,NA,"20200206"
"12","Philippines","3","1","20200206"
"13","Cambodia","1","0","20200206"
"14","Thailand","25","0","20200206"
"15","India","3","0","20200206"
"16","South-East Asia Region",NA,NA,"20200206"
"17","Nepal","1","0","20200206"
"18","Sri Lanka","1","0","20200206"
"19","United States of",NA,NA,"20200206"
"20","",NA,"0","20200206"
"21","United States of America","12","0","20200206"
"22","Canada","5","0","20200206"
"23","Germany","12","0","20200206"
"24","France","6","0","20200206"
"25","Italy","2","0","20200206"
"26","Russian Federation","2","0","20200206"
"27","European Region The United Kingdom","2","0","20200206"
"28","Belgium","1","0","20200206"
"29","Finland","1","0","20200206"
"30","Spain","1","0","20200206"
"31","Sweden","1","0","20200206"
"32","Eastern Mediterranean",NA,NA,"20200206"
"33","",NA,"0","20200206"
"34","United Arab Emirates","5","0","20200206"
"35","Cases on an",NA,NA,"20200206"
"36","Other international",NA,"0","20200206"
"37","conveyance (Japan)","20**(10)",NA,"20200206"
