"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81048","3204","","","20200315"
"2","Republic of Korea","8162","75","Local transmission","0","20200315"
"3","Japan","780","22","Local transmission","0","20200315"
"4","Australia","249","3","Local transmission","0","20200315"
"5","Malaysia","238","0","Local transmission","0","20200315"
"6","Singapore","212","0","Local transmission","0","20200315"
"7","Philippines","111","6","Local transmission","0","20200315"
"8","Viet Nam","53","0","Local transmission","0","20200315"
"9","Brunei Darussalam","40","0","Local transmission","0","20200315"
"10","Cambodia","7","0","Local transmission","1","20200315"
"11","New Zealand","6","0","Local transmission","1","20200315"
"12","Mongolia","1","0","Imported cases only","5","20200315"
"13","Territories**","","","","","20200315"
"14","French Polynesia","3","0","Imported cases only","0","20200315"
"15","European Region","","","","","20200315"
"16","Italy","21157","1441","Local transmission","0","20200315"
"17","Spain","5753","136","Local transmission","0","20200315"
"18","France","4469","91","Local transmission","0","20200315"
"19","Germany","3795","8","Local transmission","0","20200315"
"20","Switzerland","1359","11","Local transmission","0","20200315"
"21","The United Kingdom","1144","21","Local transmission","0","20200315"
"22","Netherlands","959","12","Local transmission","0","20200315"
"23","Sweden","924","0","Local transmission","0","20200315"
"24","Norway","907","1","Local transmission","0","20200315"
"25","Denmark","827","0","Local transmission","0","20200315"
"26","Austria","800","1","Local transmission","0","20200315"
"27","Belgium","689","0","Local transmission","0","20200315"
"28","Greece","228","2","Local transmission","0","20200315"
"29","Czechia","214","0","Local transmission","0","20200315"
"30","Finland","210","0","Local transmission","0","20200315"
"31","Israel","178","0","Local transmission","0","20200315"
"32","Slovenia","141","0","Local transmission","1","20200315"
"33","Iceland","138","0","Local transmission","0","20200315"
"34","Ireland","129","2","Local transmission","0","20200315"
"35","Romania","123","0","Local transmission","0","20200315"
"36","Portugal","112","0","Local transmission","1","20200315"
"37","Poland","111","3","Local transmission","0","20200315"
"38","San Marino","92","5","Local transmission","0","20200315"
"39","Estonia","79","0","Local transmission","1","20200315"
"40","Slovakia","44","0","Local transmission","0","20200315"
"41","Bulgaria","43","2","Local transmission","0","20200315"
"42","Serbia","41","0","Local transmission","0","20200315"
"43","Albania","38","1","Local transmission","0","20200315"
"44","Luxembourg","38","1","Local transmission","1","20200315"
"45","Croatia","37","0","Local transmission","0","20200315"
"46","Russian Federation","34","0","Imported cases only","2","20200315"
"47","Hungary","32","0","Local transmission","0","20200315"
"48","Georgia","30","0","Imported cases only","0","20200315"
"49","Latvia","30","0","Imported cases only","0","20200315"
"50","Belarus","21","0","Local transmission","1","20200315"
"51","Cyprus","21","0","Imported cases only","0","20200315"
"52","Azerbaijan","19","0","Imported cases only","0","20200315"
