"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81174","3242","Local transmission","0","20200319"
"2","Republic of Korea","8413","84","Local transmission","0","20200319"
"3","Japan","873","29","Local transmission","0","20200319"
"4","Malaysia","673","2","Local transmission","0","20200319"
"5","Australia","510","6","Local transmission","0","20200319"
"6","Singapore","313","0","Local transmission","0","20200319"
"7","Philippines","187","14","Local transmission","1","20200319"
"8","Viet Nam","66","0","Local transmission","0","20200319"
"9","Brunei Darussalam","56","0","Local transmission","0","20200319"
"10","Cambodia","35","0","Local transmission","0","20200319"
"11","New Zealand","20","0","Local transmission","0","20200319"
"12","Mongolia","5","0","Imported cases only","0","20200319"
"13","Territories**","","","","","20200319"
"14","Guam","5","0","Local transmission","0","20200319"
"15","French Polynesia","3","0","Imported cases only","3","20200319"
"16","European Region","","","","","20200319"
"17","Italy","35713","2978","Local transmission","0","20200319"
"18","Spain","13716","598","Local transmission","0","20200319"
"19","France","9043","244","Local transmission","1","20200319"
"20","Germany","8198","13","Local transmission","0","20200319"
"21","Switzerland","3010","21","Local transmission","0","20200319"
"22","The United Kingdom","2630","103","Local transmission","0","20200319"
"23","Netherlands","2051","58","Local transmission","1","20200319"
"24","Austria","1646","4","Local transmission","0","20200319"
"25","Belgium","1486","14","Local transmission","1","20200319"
"26","Norway","1423","3","Local transmission","0","20200319"
"27","Sweden","1279","3","Local transmission","0","20200319"
"28","Denmark","1044","4","Local transmission","0","20200319"
"29","Portugal","642","2","Local transmission","0","20200319"
"30","Czechia","522","0","Local transmission","0","20200319"
"31","Israel","427","0","Local transmission","2","20200319"
"32","Greece","418","5","Local transmission","1","20200319"
"33","Finland","359","0","Local transmission","0","20200319"
"34","Ireland","292","2","Local transmission","1","20200319"
"35","Poland","287","5","Local transmission","1","20200319"
"36","Slovenia","286","1","Local transmission","1","20200319"
"37","Estonia","258","0","Local transmission","0","20200319"
"38","Iceland","250","0","Local transmission","0","20200319"
"39","Romania","246","0","Local transmission","0","20200319"
"40","Luxembourg","210","2","Local transmission","0","20200319"
"41","Turkey","191","2","Local transmission","0","20200319"
"42","Russian Federation","147","0","Imported cases only","0","20200319"
"43","San Marino","109","14","Local transmission","0","20200319"
"44","Slovakia","105","0","Local transmission","0","20200319"
"45","Serbia","96","0","Local transmission","0","20200319"
"46","Bulgaria","92","2","Local transmission","0","20200319"
"47","Armenia","84","0","Local transmission","0","20200319"
"48","Croatia","81","0","Local transmission","0","20200319"
"49","Latvia","71","0","Imported cases only","0","20200319"
"50","Albania","59","2","Local transmission","0","20200319"
"51","Cyprus","58","0","Local transmission","0","20200319"
"52","Hungary","58","1","Local transmission","0","20200319"
"53","Malta","48","0","Imported cases only","0","20200319"
"54","Belarus","46","0","Local transmission","0","20200319"
"55","Georgia","38","0","Imported cases only","0","20200319"
"56","Bosnia and","",NA,"",NA,"20200319"
"57","Bosnia and Herzegovina","36","0","Local transmission","0","20200319"
"58","Kazakhstan","36","0","Imported cases only","0","20200319"
"59","North Macedonia","36","0","Local transmission","0","20200319"
"60","Republic of Moldova","36","0","Local transmission","1","20200319"
"61","Azerbaijan","34","1","Imported cases only","0","20200319"
"62","Lithuania","26","0","Imported cases only","0","20200319"
"63","Liechtenstein","25","0","Imported cases only","0","20200319"
"64","Ukraine","16","2","Local transmission","0","20200319"
"65","Uzbekistan","16","0","Imported cases only","1","20200319"
