"","region","contry","confirmed","death","date"
"1","China","China","31211","637","20200207"
"2","","Singapore","30","0","20200207"
"3","Western Pacific Region","",NA,NA,"20200207"
"4","0 (0)","Japan","25","0","20200207"
"5","","Republic of Korea","24","0","20200207"
"6","","Australia","15","0","20200207"
"7","","Malaysia","14","0","20200207"
"8","","",NA,NA,"20200207"
"9","","Viet Nam","12","0","20200207"
"10","","",NA,NA,"20200207"
"11","","Philippines","3","1","20200207"
"12","","Cambodia","1","0","20200207"
"13","","Thailand","25","0","20200207"
"14","","India","3","0","20200207"
"15","South-East Asia Region","",NA,NA,"20200207"
"16","","Nepal","1","0","20200207"
"17","","Sri Lanka","1","0","20200207"
"18","","United States of",NA,NA,"20200207"
"19","Region of the Americas America","United States of America","12","0","20200207"
"20","","Canada","7","0","20200207"
"21","","Germany","13","0","20200207"
"22","","France","6","0","20200207"
"23","","Italy","3","0","20200207"
"24","","The United Kingdom","3","0","20200207"
"25","European Region","Russian Federation","2","0","20200207"
"26","","Belgium","1","0","20200207"
"27","","Finland","1","0","20200207"
"28","","Spain","1","0","20200207"
"29","","Sweden","1","0","20200207"
"30","Eastern Mediterranean","",NA,NA,"20200207"
"31","Region","United Arab Emirates","5","0","20200207"
"32","International Other","",NA,NA,"20200207"
"33","","conveyance (Japan)","61**","0","20200207"
