"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","82631","3321","Local transmission","0","20200401"
"2","Republic of Korea","9887","165","Local transmission","0","20200401"
"3","Australia","4707","20","Local transmission","0","20200401"
"4","Malaysia","2766","43","Local transmission","0","20200401"
"5","Japan","2178","57","Local transmission","0","20200401"
"6","Philippines","2084","88","Local transmission","0","20200401"
"7","Singapore","926","3","Local transmission","0","20200401"
"8","New Zealand","647","1","Local transmission","0","20200401"
"9","Viet Nam","207","0","Local transmission","0","20200401"
"10","Brunei Darussalam","129","1","Local transmission","0","20200401"
"11","Cambodia","109","0","Local transmission","0","20200401"
"12","Mongolia","12","0","Imported cases only","4","20200401"
"13","Lao People's Democratic Republic","9","0","Local transmission","0","20200401"
"14","Democratic Republic","","","","","20200401"
"15","Fiji","5","0","Local transmission","6","20200401"
"16","Papua New Guinea","1","0","Imported cases only","11","20200401"
"17","Territories**","","","","","20200401"
"18","Guam","69","2","Local transmission","0","20200401"
"19","French Polynesia","37","0","Local transmission","0","20200401"
"20","New Caledonia","16","0","Local transmission","0","20200401"
"21","Northern Mariana Islands (Commonwealth of the)","2","0","Under investigation","3","20200401"
"22","Islands","","","","","20200401"
"23","(Commonwealth of","","","","","20200401"
"24","the)","","","","","20200401"
"25","European Region","","","","","20200401"
"26","Italy","105792","12430","Local transmission","0","20200401"
"27","Spain","94417","8189","Local transmission","0","20200401"
"28","Germany","67366","732","Local transmission","0","20200401"
"29","France","51477","3514","Local transmission","0","20200401"
"30","The United Kingdom","25154","1789","Local transmission","0","20200401"
"31","Switzerland","16108","373","Local transmission","0","20200401"
"32","Turkey","13531","214","Local transmission","0","20200401"
"33","Belgium","12775","705","Local transmission","0","20200401"
"34","Netherlands","12595","1039","Local transmission","0","20200401"
"35","Austria","10182","128","Local transmission","0","20200401"
"36","Portugal","7443","160","Local transmission","0","20200401"
"37","Israel","5129","21","Local transmission","0","20200401"
"38","Norway","4447","28","Local transmission","0","20200401"
"39","Sweden","4435","180","Local transmission","0","20200401"
"40","Czechia","3308","31","Local transmission","0","20200401"
"41","Ireland","3235","71","Local transmission","0","20200401"
"42","Denmark","2860","90","Local transmission","0","20200401"
"43","Russian Federation","2337","17","Local transmission","0","20200401"
"44","Poland","2311","33","Local transmission","0","20200401"
