country,confirmed,death,Transmission classification,Days since last reported case,date
China,83745,3352,Clusters of cases,0,20200415
Republic of Korea,10591,225,Clusters of cases,0,20200415
Japan,8100,119,Clusters of cases,0,20200415
Australia,6416,61,Clusters of cases,0,20200415
Philippines,5223,335,Clusters of cases,0,20200415
Malaysia,4987,82,Clusters of cases,0,20200415
Singapore,3252,10,Clusters of cases,0,20200415
New Zealand,1078,9,Clusters of cases,0,20200415
Viet Nam,266,0,Clusters of cases,0,20200415
Brunei Darussalam,136,1,Sporadic cases,4,20200415
Cambodia,122,0,Sporadic cases,3,20200415
Mongolia,30,0,Sporadic cases,0,20200415
Lao People's Democratic Republic,19,0,Sporadic cases,2,20200415
Fiji,16,0,Sporadic cases,4,20200415
Papua New Guinea,2,0,Sporadic cases,6,20200415
Guam,135,5,Clusters of cases,0,20200415
French Polynesia,55,0,Sporadic cases,1,20200415
New Caledonia,18,0,Sporadic cases,12,20200415
Northern Mariana Islands (Commonwealth of the),13,2,Pending,0,20200415
Spain,172541,18056,Pending,0,20200415
Italy,162488,21069,Pending,0,20200415
Germany,127584,3254,Pending,0,20200415
France,102533,15708,Pending,0,20200415
The United Kingdom,93877,12107,Pending,0,20200415
Turkey,65111,1403,Community transmission,0,20200415
Belgium,31119,4157,Pending,0,20200415
Netherlands,27419,2945,Pending,0,20200415
Switzerland,25753,900,Community transmission,0,20200415
Russian Federation,24490,198,Clusters of cases,0,20200415
Portugal,17448,567,Pending,0,20200415
Austria,14234,384,Pending,0,20200415
Israel,11868,117,Pending,0,20200415
Ireland,11479,406,Pending,0,20200415
Sweden,11445,1033,Pending,0,20200415
Poland,7202,263,Pending,0,20200415
Romania,6879,344,Pending,0,20200415
Norway,6566,127,Pending,0,20200415
Denmark,6511,299,Pending,0,20200415
Czechia,6141,161,Pending,0,20200415
Serbia,4465,94,Pending,0,20200415
Ukraine,3764,108,Clusters of cases,0,20200415
Luxembourg,3307,69,Pending,0,20200415
Belarus,3281,33,Clusters of cases,0,20200415
Finland,3161,64,Pending,0,20200415
Greece,2170,101,Pending,0,20200415
Republic of Moldova,1934,41,Pending,0,20200415
Iceland,1720,8,Pending,0,20200415
Croatia,1704,31,Pending,0,20200415
Hungary,1579,134,Pending,0,20200415
Estonia,1373,31,Pending,0,20200415
Kazakhstan,1275,12,Pending,0,20200415
Slovenia,1220,56,Pending,0,20200415
Uzbekistan,1214,4,Clusters of cases,0,20200415
Azerbaijan,1197,13,Clusters of cases,0,20200415
Bosnia and Herzegovina,1086,40,Community transmission,0,20200415
Lithuania,1070,24,Pending,1,20200415
Armenia,1067,16,Clusters of cases,0,20200415
North Macedonia,908,44,Clusters of cases,0,20200415
Slovakia,835,2,Pending,0,20200415
Bulgaria,713,35,Pending,0,20200415
Cyprus,695,17,Pending,0,20200415
Andorra,659,31,Community transmission,0,20200415
Latvia,657,5,Pending,0,20200415
Albania,475,24,Clusters of cases,1,20200415
Kyrgyzstan,449,5,Pending,0,20200415
Malta,393,3,Pending,0,20200415
San Marino,372,36,Community transmission,0,20200415
Georgia,306,3,Clusters of cases,0,20200415
Montenegro,288,4,Clusters of cases,0,20200415
Monaco,93,0,Sporadic cases,1,20200415
Liechtenstein,81,1,Pending,0,20200415
Holy See,8,0,Sporadic cases,6,20200415
Kosovo,387,8,Community transmission,0,20200415
Isle of Man,242,2,Pending,0,20200415
Guernsey,219,6,Pending,0,20200415
Jersey,217,4,Pending,0,20200415
Faroe Islands,184,0,Pending,7,20200415
Gibraltar,129,0,Pending,2,20200415
Greenland,11,0,Pending,9,20200415
India,11439,377,Clusters of cases,0,20200415
Indonesia,4839,459,Community transmission,0,20200415
Thailand,2643,43,Pending,0,20200415
Bangladesh,1012,46,Pending,0,20200415
