"","contry","confirmed","death","date"
"1","China","76392","2348","20200222"
"2","Republic of Korea","346","2","20200222"
"3","Japan","105","1","20200222"
"4","Singapore","86","0","20200222"
"5","Malaysia","22","0","20200222"
"6","Australia","21","0","20200222"
"7","Viet Nam","16","0","20200222"
"8","Philippines","3","1","20200222"
"9","Cambodia","1","0","20200222"
"10","Thailand","35","0","20200222"
"11","India","3","0","20200222"
"12","Nepal","1","0","20200222"
"13","Sri Lanka","1","0","20200222"
"14","United States of America","35","0","20200222"
"15","Canada","8","0","20200222"
"16","Germany","16","0","20200222"
"17","France","12","1","20200222"
"18","Italy","9","0","20200222"
"19","The United Kingdom","9","0","20200222"
"20","Russian Federation","2","0","20200222"
"21","Spain","2","0","20200222"
"22","Belgium","1","0","20200222"
"23","Finland","1","0","20200222"
"24","Israel","1","0","20200222"
"25","Sweden","1","0","20200222"
"26","Iran (Islamic Republic of)","18","4","20200222"
"27","United Arab Emirates","11","0","20200222"
"28","Egypt","1","0","20200222"
"29","Lebanon","1","0","20200222"
"30","Subtotal for all regions","768","9","20200222"
"31","Princess)","634","2","20200222"
"32","Grand total","1402","11","20200222"
