"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81961","3293","Local transmission","0","20200326"
"2","Republic of Korea","9241","131","Local transmission","0","20200326"
"3","Australia","2799","11","Local transmission","0","20200326"
"4","Malaysia","1796","19","Local transmission","0","20200326"
"5","Japan","1291","45","Local transmission","0","20200326"
"6","Philippines","636","38","Local transmission","0","20200326"
"7","Singapore","631","2","Local transmission","0","20200326"
"8","New Zealand","262","0","Local transmission","0","20200326"
"9","Viet Nam","141","0","Local transmission","0","20200326"
"10","Brunei Darussalam","109","0","Local transmission","0","20200326"
"11","Cambodia","96","0","Local transmission","0","20200326"
"12","Mongolia","10","0","Imported cases only","4","20200326"
"13","Fiji","5","0","Local transmission","0","20200326"
"14","Lao People's Democratic Republic","3","0","Under investigation","0","20200326"
"15","Papua New Guinea","1","0","Imported cases only","5","20200326"
"16","Guam","37","1","Local transmission","0","20200326"
"17","French Polynesia","25","0","Local transmission","1","20200326"
"18","New Caledonia","14","0","Local transmission","0","20200326"
"19","Italy","74386","7505","Local transmission","0","20200326"
"20","Spain","47610","3434","Local transmission","0","20200326"
"21","Germany","36508","198","Local transmission","0","20200326"
"22","France","24920","1331","Local transmission","0","20200326"
"23","Switzerland","9714","103","Local transmission","0","20200326"
"24","The United Kingdom","9533","463","Local transmission","0","20200326"
"25","Netherlands","6412","356","Local transmission","0","20200326"
"26","Austria","5888","34","Local transmission","0","20200326"
"27","Belgium","4937","178","Local transmission","0","20200326"
"28","Portugal","2995","43","Local transmission","0","20200326"
"29","Norway","2916","12","Local transmission","0","20200326"
"30","Sweden","2510","42","Local transmission","0","20200326"
"31","Turkey","2433","59","Local transmission","0","20200326"
"32","Israel","2369","5","Local transmission","0","20200326"
"33","Denmark","1724","34","Local transmission","0","20200326"
"34","Czechia","1654","6","Local transmission","0","20200326"
"35","Ireland","1564","9","Local transmission","0","20200326"
"36","Luxembourg","1333","8","Local transmission","0","20200326"
"37","Poland","1051","14","Local transmission","0","20200326"
"38","Romania","906","13","Local transmission","0","20200326"
"39","Finland","880","3","Local transmission","0","20200326"
"40","Russian Federation","840","2","Local transmission","0","20200326"
"41","Greece","821","22","Local transmission","0","20200326"
"42","Iceland","737","2","Local transmission","0","20200326"
"43","Slovenia","528","4","Local transmission","0","20200326"
"44","Croatia","418","1","Local transmission","0","20200326"
"45","Estonia","404","1","Local transmission","0","20200326"
"46","Serbia","384","4","Local transmission","0","20200326"
"47","Armenia","290","0","Local transmission","0","20200326"
"48","Lithuania","274","4","Local transmission","0","20200326"
"49","Hungary","261","10","Local transmission","0","20200326"
"50","Bulgaria","242","3","Local transmission","0","20200326"
"51","Latvia","221","0","Local transmission","0","20200326"
"52","Slovakia","216","0","Local transmission","0","20200326"
"53","Andorra","213","3","Local transmission","0","20200326"
"54","San Marino","208","21","Local transmission","0","20200326"
"55","North Macedonia","177","2","Local transmission","0","20200326"
"56","Albania","174","5","Local transmission","0","20200326"
"57","Bosnia and Herzegovina","173","3","Local transmission","0","20200326"
"58","Ukraine","156","5","Local transmission","0","20200326"
