"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81077","3218","Local Transmission","0","20200316"
"2","Republic of Korea","8236","75","Local transmission","0","20200316"
"3","Japan","814","24","Local transmission","0","20200316"
"4","Malaysia","553","0","Local transmission","0","20200316"
"5","Australia","298","5","Local transmission","1","20200316"
"6","Singapore","243","0","Local transmission","0","20200316"
"7","Philippines","140","12","Local transmission","1","20200316"
"8","Viet Nam","57","0","Local transmission","0","20200316"
"9","Brunei Darussalam","50","0","Local transmission","0","20200316"
"10","Cambodia","12","0","Local transmission","1","20200316"
"11","New Zealand","6","0","Local transmission","2","20200316"
"12","Mongolia","1","0","Imported cases only","6","20200316"
"13","Territories**","","","","","20200316"
"14","French Polynesia","3","0","Imported cases only","1","20200316"
"15","European Region","","","","","20200316"
"16","Italy","24747","1809","Local transmission","0","20200316"
"17","Spain","7753","288","Local transmission","0","20200316"
"18","France","5380","127","Local transmission","0","20200316"
"19","Germany","4838","12","Local transmission","0","20200316"
"20","Switzerland","2200","13","Local transmission","0","20200316"
"21","The United Kingdom","1395","35","Local transmission","0","20200316"
"22","Netherlands","1135","20","Local transmission","0","20200316"
"23","Belgium","1085","5","Local transmission","0","20200316"
"24","Norway","1077","1","Local transmission","0","20200316"
"25","Sweden","992","3","Local transmission","0","20200316"
"26","Austria","959","1","Local transmission","0","20200316"
"27","Denmark","898","1","Local transmission","0","20200316"
"28","Greece","331","4","Local transmission","0","20200316"
"29","Czechia","298","0","Local transmission","0","20200316"
"30","Finland","267","0","Local transmission","0","20200316"
"31","Portugal","245","0","Local transmission","0","20200316"
"32","Slovenia","219","0","Local transmission","0","20200316"
"33","Estonia","205","0","Local transmission","0","20200316"
"34","Israel","200","0","Local transmission","0","20200316"
"35","Ireland","169","2","Local transmission","0","20200316"
"36","Romania","158","0","Local transmission","0","20200316"
"37","Poland","150","3","Local transmission","0","20200316"
"38","Iceland","138","0","Local transmission","1","20200316"
"39","San Marino","92","5","Local transmission","1","20200316"
"40","Russian Federation","63","0","Imported cases only","0","20200316"
"41","Slovakia","61","0","Local transmission","0","20200316"
"42","Bulgaria","51","2","Local transmission","0","20200316"
"43","Croatia","49","0","Local transmission","0","20200316"
"44","Albania","42","1","Local transmission","0","20200316"
"45","Serbia††","46","0","Local transmission","1","20200316"
"46","Hungary","39","1","Local transmission","0","20200316"
"47","Luxembourg","38","1","Local transmission","2","20200316"
"48","Belarus","36","0","Local transmission","0","20200316"
"49","Cyprus","33","0","Imported cases only","0","20200316"
"50","Georgia","33","0","Imported cases only","0","20200316"
"51","Latvia","31","0","Imported cases only","0","20200316"
"52","Armenia","26","0","Local transmission","0","20200316"
"53","Republic of Moldova","23","0","Imported cases only","0","20200316"
"54","Malta","21","0","Imported cases only","0","20200316"
"55","Azerbaijan","19","0","Imported cases only","1","20200316"
"56","Bosnia and Herzegovina","18","0","Local transmission","1","20200316"
"57","Lithuania","14","0","Imported cases only","0","20200316"
"58","North Macedonia","13","0","Local transmission","1","20200316"
"59","Monaco","9","0","Under investigation","0","20200316"
"60","Liechtenstein","7","0","Imported cases only","0","20200316"
"61","Kazakhstan","6","0","Imported cases only","1","20200316"
"62","Turkey","5","0","Imported cases only","2","20200316"
"63","Uzbekistan","4","0","Under investigation","0","20200316"
"64","Ukraine","3","1","Local transmission","2","20200316"
"65","Andorra","2","0","Imported cases only","2","20200316"
"66","Holy See","1","0","Under investigation","10","20200316"
"67","Faroe Islands","11","0","Imported cases only","0","20200316"
"68","Jersey","2","0","Imported cases only","3","20200316"
"69","Gibraltar","1","0","Under investigation","12","20200316"
"70","Guernsey","1","0","Imported cases only","6","20200316"
"71","Indonesia","117","4","Local transmission","1","20200316"
"72","India","114","2","Local transmission","0","20200316"
"73","Thailand","114","1","Local transmission","0","20200316"
"74","Sri Lanka","19","0","Local transmission","0","20200316"
"75","Maldives","13","0","Local transmission","0","20200316"
"76","Bangladesh","5","0","Local transmission","0","20200316"
"77","Bhutan","1","0","Imported cases only","10","20200316"
"78","Nepal","1","0","Imported cases only","52","20200316"
"79","Iran (Islamic Republic of)","14991","853","Local transmission","0","20200316"
"80","Qatar","401","0","Local transmission","0","20200316"
"81","Bahrain","221","1","Local transmission","0","20200316"
"82","Egypt","126","2","Local transmission","0","20200316"
"83","Iraq","124","9","Local transmission","0","20200316"
"84","Kuwait","112","0","Local transmission","1","20200316"
"85","Saudi Arabia","103","0","Local transmission","1","20200316"
"86","Lebanon","99","3","Local transmission","0","20200316"
"87","United Arab Emirates","98","0","Local transmission","0","20200316"
"88","Pakistan","52","0","Imported cases only","0","20200316"
"89","Morocco","28","1","Local transmission","0","20200316"
"90","Oman","22","0","Imported cases only","0","20200316"
"91","Tunisia","18","0","Local transmission","0","20200316"
"92","Afghanistan","16","0","Imported cases only","0","20200316"
"93","Jordan","6","0","Imported cases only","0","20200316"
"94","Sudan","1","1","Imported cases only","1","20200316"
