"","contry","confirmed","death","date"
"1","China","77042","2445","20200223"
"2","Republic of Korea","602","5","20200223"
"3","Japan","132","1","20200223"
"4","Singapore","89","0","20200223"
"5","Australia","22","0","20200223"
"6","Malaysia","22","0","20200223"
"7","Viet Nam","16","0","20200223"
"8","Philippines","3","1","20200223"
"9","Cambodia","1","0","20200223"
"10","Thailand","35","0","20200223"
"11","India","3","0","20200223"
"12","Nepal","1","0","20200223"
"13","Sri Lanka","1","0","20200223"
"14","United States of America","35","0","20200223"
"15","Canada","9","0","20200223"
"16","Italy","76","2","20200223"
"17","Germany","16","0","20200223"
"18","France","12","1","20200223"
"19","The United Kingdom","9","0","20200223"
"20","Russian Federation","2","0","20200223"
"21","Spain","2","0","20200223"
"22","Belgium","1","0","20200223"
"23","Finland","1","0","20200223"
"24","Israel","1","0","20200223"
"25","Sweden","1","0","20200223"
"26","Iran (Islamic Republic of)","28","5","20200223"
"27","United Arab Emirates","13","0","20200223"
"28","Egypt","1","0","20200223"
"29","Lebanon","1","0","20200223"
"30","Subtotal for all regions","1135","15","20200223"
"31","Princess)","634","2","20200223"
"32","Grand total","1769","17","20200223"
