"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80304","2946","","","20200303"
"2","Republic of Korea","4812","28","Local transmission","0","20200303"
"3","Japan","268","6","Local transmission","0","20200303"
"4","Singapore","108","0","Local transmission","0","20200303"
"5","Australia","33","1","Local transmission","0","20200303"
"6","Malaysia","29","0","Local transmission","0","20200303"
"7","Viet Nam","16","0","Local transmission","19","20200303"
"8","Philippines","3","1","Imported cases only","28","20200303"
"9","New Zealand","2","0","Imported cases only","0","20200303"
"10","Cambodia","1","0","Imported cases only","36","20200303"
"11","European Region","","","","","20200303"
"12","Italy","2036","52","Local transmission","0","20200303"
"13","France","191","3","Local transmission","0","20200303"
"14","Germany","157","0","Local transmission","0","20200303"
"15","Spain","114","0","Local transmission","0","20200303"
"16","the United Kingdom","39","0","Local transmission","0","20200303"
"17","Switzerland","30","0","Local transmission","0","20200303"
"18","Norway","25","0","Local transmission","0","20200303"
"19","Austria","18","0","Imported cases only","0","20200303"
"20","Netherlands","18","0","Local transmission","0","20200303"
"21","Sweden","15","0","Local transmission","0","20200303"
"22","Israel","10","0","Local transmission","0","20200303"
"23","Croatia","8","0","Local transmission","0","20200303"
"24","Iceland","9","0","Imported cases only","0","20200303"
"25","San Marino","8","0","Local transmission","0","20200303"
"26","Belgium","8","0","Imported cases only","0","20200303"
"27","Finland","7","0","Local transmission","0","20200303"
"28","Greece","7","0","Local transmission","1","20200303"
"29","Denmark","5","0","Local transmission","0","20200303"
"30","Azerbaijan","3","0","Imported cases only","2","20200303"
"31","Czechia","3","0","Imported cases only","1","20200303"
"32","Georgia","3","0","Imported cases only","2","20200303"
"33","Romania","3","0","Imported cases only","3","20200303"
"34","Russian Federation","3","0","Imported cases only","0","20200303"
"35","Portugal","2","0","Imported cases only","0","20200303"
"36","Andorra","1","0","Imported cases only","0","20200303"
"37","Armenia","1","0","Imported cases only","1","20200303"
"38","Belarus","1","0","Imported cases only","4","20200303"
"39","Estonia","1","0","Imported cases only","5","20200303"
"40","Ireland","1","0","Imported cases only","2","20200303"
"41","Latvia","1","0","Imported cases only","0","20200303"
"42","Lithuania","1","0","Imported cases only","4","20200303"
"43","Luxembourg","1","0","Imported cases only","1","20200303"
"44","Monaco","1","0","Under investigation","2","20200303"
"45","North Macedonia","1","0","Imported cases only","6","20200303"
"46","South-East Asia Region","","","","","20200303"
"47","Thailand","43","1","Local transmission","0","20200303"
"48","India","5","0","Imported cases only","0","20200303"
"49","Indonesia","2","0","Local transmission","0","20200303"
"50","Nepal","1","0","Imported cases only","39","20200303"
"51","Sri","1","0","Imported cases only","36","20200303"
"52","Iran (Islamic Republic of)","1501","66","Local transmission","0","20200303"
"53","Kuwait","56","0","Imported cases only","1","20200303"
"54","Bahrain","49","0","Imported cases only","0","20200303"
"55","Iraq","26","0","Imported cases only","0","20200303"
"56","United Arab Emirates","21","0","Local transmission","1","20200303"
"57","Lebanon","13","0","Local transmission","0","20200303"
"58","Qatar","7","0","Imported cases only","0","20200303"
"59","Oman","6","0","Imported cases only","4","20200303"
"60","Pakistan","5","0","Imported cases only","0","20200303"
"61","Egypt","2","0","Imported cases only","0","20200303"
"62","Afghanistan","1","0","Imported cases only","8","20200303"
"63","Jordan","1","0","Imported cases only","0","20200303"
"64","Morocco","1","0","Imported cases only","0","20200303"
"65","Saudi Arabia","1","0","Imported cases only","0","20200303"
"66","Tunisia","1","0","Imported cases only","0","20200303"
"67","United States of America","64","2","Local transmission","0","20200303"
"68","Canada","27","0","Local transmission","0","20200303"
"69","Ecuador","6","0","Local transmission","0","20200303"
"70","Mexico","5","0","Imported cases only","1","20200303"
"71","Brazil","2","0","Imported cases only","2","20200303"
"72","Dominican Republic","1","0","Imported cases only","1","20200303"
"73","Algeria","5","0","Local transmission","0","20200303"
"74","Nigeria","1","0","Imported cases only","4","20200303"
"75","Senegal","1","0","Imported cases only","0","20200303"
"76","conveyance","706","6","Local transmission","1","20200303"
