country,confirmed,death,Transmission classification,Days since last reported case,date
China,84149,4642,Clusters of cases,0,20200417
Republic of Korea,10635,230,Clusters of cases,0,20200417
Japan,9167,148,Clusters of cases,0,20200417
Australia,6468,63,Clusters of cases,0,20200417
Philippines,5660,362,Clusters of cases,0,20200417
Malaysia,5182,84,Clusters of cases,0,20200417
Singapore,4427,10,Clusters of cases,0,20200417
New Zealand,1086,11,Clusters of cases,0,20200417
Viet Nam,268,0,Clusters of cases,0,20200417
Brunei Darussalam,136,1,Sporadic cases,6,20200417
Cambodia,122,0,Sporadic cases,5,20200417
Mongolia,31,0,Sporadic cases,0,20200417
Lao People's Democratic Republic,19,0,Sporadic cases,4,20200417
Fiji,17,0,Sporadic cases,0,20200417
Papua New Guinea,7,0,Sporadic cases,0,20200417
Guam,135,5,Clusters of cases,2,20200417
French Polynesia,55,0,Sporadic cases,3,20200417
New Caledonia,18,0,Sporadic cases,14,20200417
Northern Mariana Islands (Commonwealth of the),13,2,Pending,2,20200417
Spain,182816,19130,Pending,0,20200417
Italy,168941,22172,Pending,0,20200417
Germany,133830,3868,Pending,0,20200417
France,107778,17899,Pending,0,20200417
The United Kingdom,103097,13729,Pending,0,20200417
Turkey,74193,1643,Community transmission,0,20200417
Belgium,34809,4857,Pending,0,20200417
Russian Federation,32008,273,Clusters of cases,0,20200417
Netherlands,29214,3315,Pending,0,20200417
Switzerland,26651,1016,Community transmission,0,20200417
Portugal,18841,629,Pending,0,20200417
Austria,14448,410,Pending,0,20200417
Ireland,13271,486,Pending,0,20200417
Israel,12591,140,Pending,0,20200417
Sweden,12540,1333,Pending,0,20200417
Poland,7918,314,Pending,0,20200417
Romania,7707,387,Pending,0,20200417
Denmark,6879,321,Pending,0,20200417
Norway,6791,136,Pending,0,20200417
Czechia,6433,169,Pending,0,20200417
Serbia,5318,103,Pending,0,20200417
Ukraine,4662,125,Community transmission,0,20200417
Belarus,4204,40,Clusters of cases,0,20200417
Luxembourg,3444,69,Pending,0,20200417
Finland,3369,75,Pending,0,20200417
Greece,2207,105,Pending,0,20200417
Republic of Moldova,2154,54,Pending,0,20200417
Croatia,1791,35,Pending,0,20200417
Hungary,1763,156,Pending,0,20200417
Iceland,1739,8,Pending,0,20200417
Kazakhstan,1480,16,Pending,0,20200417
Estonia,1434,36,Pending,0,20200417
Uzbekistan,1380,4,Clusters of cases,0,20200417
Azerbaijan,1283,15,Clusters of cases,0,20200417
Slovenia,1268,61,Pending,0,20200417
Bosnia and Herzegovina,1169,42,Community transmission,0,20200417
Armenia,1159,18,Clusters of cases,0,20200417
Lithuania,1149,32,Pending,0,20200417
North Macedonia,1081,46,Clusters of cases,0,20200417
Slovakia,977,8,Pending,0,20200417
Bulgaria,800,38,Pending,0,20200417
