country,confirmed,death,Transmission classification,Days since last reported case,date
Antigua and Barbuda,23,2,Clusters of cases,4,20200418
Belize,18,2,Sporadic cases,3,20200418
Dominica,16,0,Clusters of cases,7,20200418
Saint Lucia,15,0,Sporadic cases,6,20200418
Grenada,14,0,Clusters of cases,6,20200418
Saint Kitts and Nevis,14,0,Sporadic cases,2,20200418
Saint Vincent and the Grenadines,12,0,Sporadic cases,7,20200418
Suriname,10,1,Sporadic cases,14,20200418
Nicaragua,9,1,Pending,5,20200418
Puerto Rico,1068,58,Clusters of cases,0,20200418
Martinique,159,8,Clusters of cases,1,20200418
Guadeloupe,145,8,Clusters of cases,3,20200418
Aruba,96,2,Clusters of cases,0,20200418
French Guiana,96,0,Clusters of cases,1,20200418
Bermuda,83,5,Clusters of cases,0,20200418
Cayman Islands,61,1,Clusters of cases,0,20200418
Sint Maarten,57,9,Clusters of cases,1,20200418
United States Virgin Islands,51,2,Clusters of cases,7,20200418
Saint Martin,35,2,Sporadic cases,3,20200418
Curaçao,14,1,Sporadic cases,9,20200418
Falkland Islands (Malvinas),11,0,Clusters of cases,3,20200418
Montserrat,11,0,Sporadic cases,4,20200418
Turks and Caicos Islands,11,1,Sporadic cases,1,20200418
Saint Barthélemy,6,0,Sporadic cases,18,20200418
"Bonaire, Sint Eustatius and Saba",5,0,Sporadic cases,0,20200418
Anguilla,3,0,Sporadic cases,14,20200418
British Virgin Islands,3,0,Sporadic cases,17,20200418
Saint Pierre and Miquelon,1,0,Sporadic cases,10,20200418
South Africa,2783,50,Community transmission,0,20200418
Algeria,2418,364,Community transmission,0,20200418
Cameroon,1016,21,Clusters of cases,0,20200418
Côte d’Ivoire,742,6,Clusters of cases,0,20200418
Ghana,641,8,Clusters of cases,1,20200418
Niger,627,18,Clusters of cases,0,20200418
Burkina Faso,547,32,Clusters of cases,0,20200418
Guinea,438,1,Clusters of cases,1,20200418
Nigeria,373,11,Clusters of cases,2,20200418
Senegal,342,3,Clusters of cases,0,20200418
Mauritius,324,9,Clusters of cases,5,20200418
Democratic Republic of the Congo,287,23,Clusters of cases,1,20200418
Kenya,246,11,Clusters of cases,0,20200418
Mali,190,13,Sporadic cases,0,20200418
United Republic of Tanzania,148,5,Sporadic cases,0,20200418
Congo,143,6,Clusters of cases,0,20200418
Rwanda,138,0,Sporadic cases,1,20200418
Madagascar,117,0,Clusters of cases,1,20200418
Ethiopia,96,3,Sporadic cases,0,20200418
Gabon,95,1,Sporadic cases,1,20200418
Togo,83,5,Sporadic cases,0,20200418
Liberia,76,7,Sporadic cases,0,20200418
Cabo Verde,55,1,Sporadic cases,1,20200418
Uganda,55,0,Sporadic cases,2,20200418
Zambia,52,2,Sporadic cases,0,20200418
Equatorial Guinea,51,0,Sporadic cases,2,20200418
Guinea-Bissau,50,0,Sporadic cases,0,20200418
Benin,37,1,Sporadic cases,1,20200418
Eritrea,35,0,Sporadic cases,2,20200418
Chad,33,0,Sporadic cases,0,20200418
Mozambique,31,0,Sporadic cases,0,20200418
Sierra Leone,26,0,Sporadic cases,0,20200418
Zimbabwe,24,3,Sporadic cases,0,20200418
Angola,19,2,Sporadic cases,9,20200418
Eswatini,19,1,Sporadic cases,0,20200418
Malawi,17,2,Sporadic cases,0,20200418
Namibia,16,0,Sporadic cases,12,20200418
Botswana,15,1,Sporadic cases,1,20200418
Central African Republic,12,0,Sporadic cases,1,20200418
Seychelles,11,0,Sporadic cases,11,20200418
Gambia,9,1,Sporadic cases,6,20200418
Mauritania,7,1,Sporadic cases,7,20200418
Burundi,5,0,Sporadic cases,5,20200418
São Tomé and Príncipe,4,0,Pending,11,20200418
South Sudan,4,0,Pending,6,20200418
Réunion,402,0,Clusters of cases,0,20200418
Mayotte,245,4,Clusters of cases,0,20200418
