"","region","contry","confirmed","death","date"
"1","","China","20471","425","20200204"
"2","","Japan","20","0","20200204"
"3","Western Pacific Region","",NA,NA,"20200204"
"4","","Republic of Korea","16","0","20200204"
"5","","",NA,NA,"20200204"
"6","","Viet Nam","9","0","20200204"
"7","","Singapore","18","0","20200204"
"8","","Australia","12","0","20200204"
"9","","",NA,NA,"20200204"
"10","","Malaysia","10","0","20200204"
"11","","",NA,NA,"20200204"
"12","","Cambodia","1","0","20200204"
"13","","Philippines","2","1","20200204"
"14","","Thailand","19","0","20200204"
"15","","Nepal","1","0","20200204"
"16","South-East Asia Region","",NA,NA,"20200204"
"17","","Sri Lanka","1","0","20200204"
"18","","India","3","0","20200204"
"19","","United States of",NA,NA,"20200204"
"20","","","11","0","20200204"
"21","Region of the Americas","United States of America","11","0","20200204"
"22","","Canada","4","0","20200204"
"23","","France","6","0","20200204"
"24","","Finland","1","0","20200204"
"25","","Germany","12","0","20200204"
"26","","Italy","2","0","20200204"
"27","European Region","",NA,NA,"20200204"
"28","","Russian Federation","2","0","20200204"
"29","","Spain","1","0","20200204"
"30","","Sweden","1","0","20200204"
"31","","United Kingdom","2","0","20200204"
"32","Eastern Mediterranean","United Arab Emirates","5","0","20200204"
"33","","","5","0","20200204"
"34","Region","Emirates",NA,NA,"20200204"
