country,confirmed,death,Transmission classification,Days since last reported case,date
South Africa,7220,138,Community transmission,0,20200505
Algeria,4648,465,Community transmission,0,20200505
Nigeria,2802,93,Community transmission,0,20200505
Ghana,2719,18,Clusters of cases,0,20200505
Cameroon,2077,64,Clusters of cases,2,20200505
Guinea,1710,9,Community transmission,0,20200505
Côte d’Ivoire,1432,17,Clusters of cases,0,20200505
Senegal,1271,10,Clusters of cases,1,20200505
Niger,755,37,Clusters of cases,0,20200505
Democratic Republic of the Congo,682,34,Clusters of cases,1,20200505
Burkina Faso,672,46,Community transmission,0,20200505
Mali,580,29,Clusters of cases,0,20200505
Kenya,490,24,Clusters of cases,0,20200505
United Republic of Tanzania,480,18,Clusters of cases,5,20200505
Gabon,367,6,Clusters of cases,0,20200505
Mauritius,332,10,Community transmission,8,20200505
Equatorial Guinea,315,2,Clusters of cases,6,20200505
Guinea-Bissau,292,2,Sporadic cases,1,20200505
Rwanda,261,0,Clusters of cases,0,20200505
Congo,236,10,Clusters of cases,0,20200505
Sierra Leone,178,9,Clusters of cases,0,20200505
Liberia,166,18,Clusters of cases,0,20200505
Cabo Verde,165,2,Sporadic cases,1,20200505
São Tomé and Príncipe,161,3,Sporadic cases,0,20200505
Madagascar,158,0,Clusters of cases,0,20200505
Ethiopia,140,3,Clusters of cases,0,20200505
Zambia,137,3,Sporadic cases,0,20200505
Togo,126,9,Clusters of cases,0,20200505
Chad,117,10,Sporadic cases,2,20200505
Eswatini,116,1,Sporadic cases,0,20200505
Benin,96,2,Sporadic cases,0,20200505
Central African Republic,94,0,Sporadic cases,0,20200505
Uganda,89,0,Sporadic cases,0,20200505
Mozambique,80,0,Sporadic cases,1,20200505
South Sudan,49,0,Sporadic cases,0,20200505
Malawi,41,3,Sporadic cases,0,20200505
Eritrea,39,0,Sporadic cases,16,20200505
Angola,35,2,Sporadic cases,2,20200505
Zimbabwe,34,4,Sporadic cases,3,20200505
Botswana,23,1,Sporadic cases,6,20200505
Burundi,19,1,Sporadic cases,2,20200505
Gambia,17,1,Sporadic cases,2,20200505
Namibia,16,0,Sporadic cases,29,20200505
Seychelles,11,0,Sporadic cases,28,20200505
Mauritania,8,1,Sporadic cases,4,20200505
Comoros,4,1,Pending,0,20200505
Mayotte,686,6,Clusters of cases,0,20200505
Réunion,424,0,Clusters of cases,0,20200505
United States of America,1154985,61906,Community transmission,0,20200505
Brazil,101147,7025,Community transmission,0,20200505
Canada,59844,3766,Community transmission,0,20200505
Peru,45928,1286,Community transmission,0,20200505
Ecuador,31881,1569,Community transmission,0,20200505
Mexico,23471,2154,Community transmission,0,20200505
Chile,20643,270,Community transmission,0,20200505
Dominican Republic,8235,346,Community transmission,0,20200505
Colombia,7668,340,Community transmission,0,20200505
Panama,7197,200,Community transmission,0,20200505
Argentina,4799,250,Community transmission,0,20200505
Cuba,1668,69,Clusters of cases,0,20200505
Bolivia (Plurinational State of),1594,76,Clusters of cases,0,20200505
Honduras,1055,82,Clusters of cases,0,20200505
Costa Rica,739,6,Clusters of cases,0,20200505
Guatemala,703,17,Clusters of cases,0,20200505
Uruguay,655,17,Clusters of cases,0,20200505
El Salvador,555,12,Clusters of cases,0,20200505
Jamaica,469,9,Clusters of cases,0,20200505
Paraguay,396,10,Community transmission,0,20200505
Venezuela (Bolivarian Republic of),357,10,Clusters of cases,0,20200505
Trinidad and Tobago,116,8,Sporadic cases,7,20200505
Haiti,88,9,Clusters of cases,0,20200505
Bahamas,83,11,Clusters of cases,0,20200505
Barbados,82,7,Clusters of cases,0,20200505
Guyana,82,9,Clusters of cases,3,20200505
Antigua and Barbuda,25,3,Clusters of cases,1,20200505
Grenada,21,0,Clusters of cases,1,20200505
Belize,18,2,Sporadic cases,20,20200505
Saint Lucia,18,0,Sporadic cases,0,20200505
Saint Vincent and the Grenadines,17,0,Sporadic cases,0,20200505
Dominica,16,0,Clusters of cases,24,20200505
Nicaragua,15,5,Pending,0,20200505
Saint Kitts and Nevis,15,0,Sporadic cases,14,20200505
Suriname,10,1,Sporadic cases,31,20200505
Puerto Rico,1843,54,Clusters of cases,0,20200505
Martinique,181,14,Clusters of cases,1,20200505
Guadeloupe,152,12,Clusters of cases,4,20200505
French Guiana,133,1,Clusters of cases,0,20200505
Bermuda,115,7,Clusters of cases,1,20200505
Aruba,100,2,Clusters of cases,12,20200505
Sint Maarten,76,13,Clusters of cases,4,20200505
Cayman Islands,74,1,Clusters of cases,2,20200505
United States Virgin Islands,66,4,Clusters of cases,4,20200505
Saint Martin,38,3,Sporadic cases,12,20200505
Curaçao,16,1,Sporadic cases,7,20200505
Falkland Islands (Malvinas),13,0,Clusters of cases,9,20200505
Turks and Caicos Islands,12,1,Sporadic cases,7,20200505
Montserrat,11,1,Sporadic cases,21,20200505
"Bonaire, Sint Eustatius and Saba",6,0,Sporadic cases,7,20200505
British Virgin Islands,6,1,Sporadic cases,9,20200505
Saint Barthélemy,6,0,Sporadic cases,35,20200505
Anguilla,3,0,Sporadic cases,31,20200505
Saint Pierre and Miquelon,1,0,Sporadic cases,27,20200505
Iran (Islamic Republic of),98647,6277,Community transmission,0,20200505
Saudi Arabia,28656,191,Clusters of cases,0,20200505
Pakistan,21501,486,Clusters of cases,0,20200505
Qatar,16191,12,Community transmission,0,20200505
United Arab Emirates,14730,137,Pending,0,20200505
Egypt,6813,436,Clusters of cases,0,20200505
Kuwait,5278,40,Clusters of cases,0,20200505
Morocco,5053,179,Clusters of cases,0,20200505
Bahrain,3533,8,Clusters of cases,0,20200505
Oman,2735,12,Clusters of cases,0,20200505
Afghanistan,2469,72,Clusters of cases,3,20200505
Iraq,2346,98,Clusters of cases,0,20200505
Djibouti,1116,2,Clusters of cases,0,20200505
Tunisia,1018,43,Community transmission,0,20200505
Somalia,756,35,Sporadic cases,0,20200505
Lebanon,740,25,Clusters of cases,0,20200505
Sudan,678,41,Sporadic cases,0,20200505
Jordan,465,9,Clusters of cases,0,20200505
Libya,63,3,Clusters of cases,3,20200505
Syrian Arab Republic,44,3,Community transmission,3,20200505
Yemen,12,2,Pending,0,20200505
occupied Palestinian territory,532,4,Clusters of cases,0,20200505
Spain,218011,25428,Community transmission,0,20200505
Italy,211938,29079,Community transmission,0,20200505
The United Kingdom,190588,28734,Community transmission,0,20200505
Germany,163860,6831,Community transmission,0,20200505
Russian Federation,155370,1451,Clusters of cases,0,20200505
France,130242,25165,Community transmission,0,20200505
Turkey,127659,3461,Community transmission,0,20200505
Belgium,50267,7924,Community transmission,0,20200505
Netherlands,40770,5082,Community transmission,0,20200505
Switzerland,29898,1476,Community transmission,0,20200505
Portugal,25524,1063,Community transmission,0,20200505
Sweden,22721,2769,Community transmission,0,20200505
Ireland,21722,1319,Community transmission,0,20200505
Belarus,17489,103,Clusters of cases,1,20200505
Israel,16237,234,Pending,0,20200505
Austria,15621,600,Community transmission,0,20200505
Poland,14006,698,Community transmission,0,20200505
Romania,13512,803,Community transmission,0,20200505
Ukraine,12697,316,Community transmission,0,20200505
Denmark,9670,493,Pending,0,20200505
Serbia,9557,197,Pending,0,20200505
Norway,7847,208,Pending,0,20200505
Czechia,7819,252,Community transmission,0,20200505
Finland,5327,240,Pending,0,20200505
Republic of Moldova,4248,133,Pending,0,20200505
Kazakhstan,4160,29,Pending,0,20200505
Luxembourg,3828,96,Pending,0,20200505
Hungary,3065,363,Clusters of cases,0,20200505
Greece,2632,146,Community transmission,0,20200505
Armenia,2619,40,Clusters of cases,0,20200505
