country,confirmed,death,Transmission classification,Days since last reported case,date
China,84369,4643,Clusters of cases,0,20200429
Singapore,14951,14,Clusters of cases,0,20200429
Japan,13852,389,Clusters of cases,0,20200429
Republic of Korea,10761,246,Clusters of cases,0,20200429
Philippines,7958,530,Clusters of cases,0,20200429
Australia,6738,88,Clusters of cases,0,20200429
Malaysia,5851,100,Clusters of cases,0,20200429
New Zealand,1126,19,Clusters of cases,0,20200429
Viet Nam,270,0,Clusters of cases,4,20200429
Brunei Darussalam,138,1,Sporadic cases,9,20200429
Cambodia,122,0,Sporadic cases,17,20200429
Mongolia,38,0,Sporadic cases,2,20200429
Lao People's Democratic Republic,19,0,Sporadic cases,16,20200429
Fiji,18,0,Sporadic cases,8,20200429
Papua New Guinea,8,0,Sporadic cases,6,20200429
Guam,140,5,Clusters of cases,0,20200429
French Polynesia,58,0,Sporadic cases,1,20200429
New Caledonia,18,0,Sporadic cases,26,20200429
Northern Mariana Islands (Commonwealth of the),14,2,Pending,11,20200429
Spain,210773,23822,Pending,0,20200429
Italy,201505,27359,Community transmission,0,20200429
The United Kingdom,161149,21678,Community transmission,0,20200429
Germany,157641,6115,Community transmission,0,20200429
France,125464,23627,Community transmission,0,20200429
Turkey,114653,2992,Community transmission,0,20200429
Russian Federation,99399,972,Clusters of cases,0,20200429
Belgium,47334,7331,Community transmission,0,20200429
Netherlands,38416,4566,Community transmission,0,20200429
Switzerland,29181,1379,Community transmission,0,20200429
Portugal,24322,948,Community transmission,0,20200429
Ireland,19877,1159,Community transmission,0,20200429
Sweden,19621,2355,Community transmission,0,20200429
Israel,15782,212,Pending,0,20200429
Austria,15314,569,Community transmission,0,20200429
Poland,12218,596,Community transmission,0,20200429
Belarus,12208,79,Clusters of cases,1,20200429
Romania,11616,650,Community transmission,0,20200429
Ukraine,9866,250,Community transmission,0,20200429
Denmark,8851,434,Pending,0,20200429
Serbia,8497,168,Pending,0,20200429
Norway,7605,195,Pending,0,20200429
Czechia,7504,227,Community transmission,0,20200429
Finland,4740,199,Pending,0,20200429
Luxembourg,3741,89,Pending,0,20200429
Republic of Moldova,3638,109,Pending,0,20200429
Kazakhstan,3078,25,Pending,0,20200429
Hungary,2727,300,Clusters of cases,0,20200429
Greece,2534,136,Community transmission,1,20200429
Croatia,2047,63,Community transmission,0,20200429
Uzbekistan,1955,8,Clusters of cases,0,20200429
Armenia,1932,30,Clusters of cases,0,20200429
Iceland,1795,10,Community transmission,0,20200429
Azerbaijan,1717,22,Clusters of cases,0,20200429
Estonia,1660,50,Pending,0,20200429
Bosnia and Herzegovina,1588,62,Community transmission,0,20200429
Lithuania,1449,44,Community transmission,2,20200429
North Macedonia,1421,71,Clusters of cases,0,20200429
Slovenia,1408,86,Community transmission,0,20200429
Bulgaria,1399,58,Pending,0,20200429
Slovakia,1384,20,Clusters of cases,0,20200429
Cyprus,837,20,Clusters of cases,0,20200429
Latvia,836,13,Community transmission,0,20200429
Albania,766,30,Clusters of cases,0,20200429
Andorra,753,41,Community transmission,0,20200429
Kyrgyzstan,729,8,Pending,0,20200429
San Marino,553,41,Community transmission,0,20200429
Georgia,517,6,Community transmission,0,20200429
Malta,450,4,Pending,1,20200429
Montenegro,321,7,Clusters of cases,2,20200429
Liechtenstein,83,1,Pending,3,20200429
Monaco,68,1,Sporadic cases,15,20200429
Holy See,10,0,Sporadic cases,0,20200429
Kosovo,790,22,Community transmission,0,20200429
Isle of Man,308,20,Pending,4,20200429
Jersey,283,19,Pending,0,20200429
Guernsey,247,13,Community transmission,1,20200429
Faroe Islands,187,0,Pending,5,20200429
Gibraltar,141,0,Clusters of cases,2,20200429
Greenland,11,0,Pending,23,20200429
India,31332,1007,Clusters of cases,0,20200429
Indonesia,9511,773,Community transmission,0,20200429
Bangladesh,6462,155,Pending,0,20200429
Thailand,2947,54,Pending,0,20200429
Sri Lanka,619,7,Clusters of cases,0,20200429
Maldives,245,0,Clusters of cases,0,20200429
Myanmar,150,5,Clusters of cases,0,20200429
Nepal,54,0,Sporadic cases,0,20200429
Timor-Leste,24,0,Clusters of cases,5,20200429
Bhutan,7,0,Sporadic cases,6,20200429
Iran (Islamic Republic of),92584,5877,Community transmission,0,20200429
Saudi Arabia,20077,152,Clusters of cases,0,20200429
Pakistan,14885,327,Clusters of cases,0,20200429
Qatar,11921,10,Pending,0,20200429
United Arab Emirates,11380,89,Pending,0,20200429
Egypt,5042,359,Clusters of cases,0,20200429
Morocco,4252,165,Clusters of cases,0,20200429
Kuwait,3440,23,Clusters of cases,0,20200429
Bahrain,2811,8,Clusters of cases,0,20200429
Oman,2274,10,Clusters of cases,0,20200429
Iraq,1928,90,Clusters of cases,0,20200429
Afghanistan,1827,60,Clusters of cases,0,20200429
Djibouti,1072,2,Clusters of cases,0,20200429
Tunisia,975,40,Community transmission,0,20200429
Lebanon,717,24,Clusters of cases,0,20200429
Somalia,528,28,Sporadic cases,0,20200429
Jordan,449,8,Clusters of cases,1,20200429
Sudan,318,25,Sporadic cases,0,20200429
Libya,61,2,Clusters of cases,4,20200429
Syrian Arab Republic,43,3,Community transmission,1,20200429
Yemen,1,0,Pending,18,20200429
occupied Palestinian territory,343,2,Clusters of cases,0,20200429
United States of America,983457,50492,Community transmission,0,20200429
Brazil,66501,4543,Community transmission,0,20200429
