"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","81116","3231","Local transmission","0","20200317"
"2","Republic of Korea","8320","81","Local transmission","0","20200317"
"3","Japan","829","28","Local transmission","0","20200317"
"4","Malaysia","553","0","Local transmission","1","20200317"
"5","Australia","375","5","Local transmission","0","20200317"
"6","Singapore","243","0","Local transmission","1","20200317"
"7","Philippines","187","12","Local transmission","0","20200317"
"8","Viet Nam","61","0","Local transmission","0","20200317"
"9","Brunei Darussalam","50","0","Local transmission","1","20200317"
"10","Cambodia","24","0","Local transmission","0","20200317"
"11","New Zealand","11","0","Local transmission","0","20200317"
"12","Mongolia","4","0","Imported cases only","0","20200317"
"13","Territories**","","","","","20200317"
"14","French Polynesia","3","0","Imported cases only","2","20200317"
"15","Guam","3","0","Local transmission","0","20200317"
"16","European Region","","","","","20200317"
"17","Italy","27980","2503","Local transmission","0","20200317"
"18","Spain","9191","309","Local transmission","0","20200317"
"19","France","6573","148","Local transmission","0","20200317"
"20","Germany","6012","13","Local transmission","0","20200317"
"21","Switzerland","2200","14","Local transmission","1","20200317"
"22","The United Kingdom","1547","55","Local transmission","0","20200317"
"23","Netherlands","1413","24","Local transmission","0","20200317"
"24","Norway","1169","3","Local transmission","0","20200317"
"25","Austria","1132","3","Local transmission","0","20200317"
"26","Belgium","1085","5","Local transmission","1","20200317"
"27","Sweden","1059","3","Local transmission","0","20200317"
"28","Denmark","960","4","Local transmission","0","20200317"
"29","Czechia","383","0","Local transmission","0","20200317"
"30","Greece","331","4","Local transmission","1","20200317"
"31","Portugal","331","0","Local transmission","0","20200317"
"32","Israel","250","0","Local transmission","0","20200317"
"33","Finland","272","0","Local transmission","0","20200317"
"34","Slovenia","253","0","Local transmission","0","20200317"
"35","Ireland","223","2","Local transmission","0","20200317"
"36","Estonia","205","0","Local transmission","1","20200317"
"37","Iceland","199","0","Local transmission","0","20200317"
"38","Romania","158","0","Local transmission","1","20200317"
"39","Poland","150","3","Local transmission","1","20200317"
"40","San Marino","102","9","Local transmission","0","20200317"
"41","Russian Federation","93","0","Imported cases only","0","20200317"
"42","Luxembourg","81","1","Local transmission","0","20200317"
"43","Slovakia","72","0","Local transmission","0","20200317"
"44","Bulgaria","67","2","Local transmission","0","20200317"
"45","Serbia","70","0","Local transmission","0","20200317"
"46","Croatia","56","0","Local transmission","0","20200317"
"47","Armenia","52","0","Local transmission","0","20200317"
"48","Albania","51","1","Local transmission","0","20200317"
"49","Hungary","50","1","Local transmission","0","20200317"
"50","Turkey","47","0","Imported cases only","0","20200317"
"51","Belarus","36","0","Local transmission","1","20200317"
"52","Latvia","36","0","Imported cases only","0","20200317"
"53","Cyprus","33","0","Imported cases only","1","20200317"
"54","Georgia","33","0","Imported cases only","1","20200317"
"55","Malta","30","0","Imported cases only","0","20200317"
"56","Republic of Moldova","29","0","Local transmission","0","20200317"
"57","Azerbaijan","19","0","Imported cases only","2","20200317"
"58","Bosnia and Herzegovina","19","0","Local transmission","1","20200317"
"59","North Macedonia","19","0","Local transmission","0","20200317"
"60","Lithuania","17","0","Imported cases only","0","20200317"
"61","Andorra","14","0","Imported cases only","0","20200317"
"62","Monaco","9","0","Under investigation","1","20200317"
"63","Liechtenstein","7","0","Imported cases only","1","20200317"
"64","Ukraine","7","1","Local transmission","0","20200317"
"65","Kazakhstan","6","0","Imported cases only","2","20200317"
"66","Uzbekistan","4","0","Under investigation","1","20200317"
