"","contry","confirmed","death","Transmission.classification","Days.since.last.reported.case","date"
"1","China","80565","3015","","","20200305"
"2","Republic of Korea","5766","35","Local transmission","0","20200305"
"3","Japan","317","6","Local transmission","0","20200305"
"4","Singapore","110","0","Local transmission","1","20200305"
"5","Australia","57","2","Local transmission","0","20200305"
"6","Malaysia","50","0","Local transmission","1","20200305"
"7","Viet Nam","16","0","Local transmission","21","20200305"
"8","Philippines","3","1","Imported cases only","29","20200305"
"9","New Zealand","2","0","Imported cases only","2","20200305"
"10","Cambodia","1","0","Imported cases only","37","20200305"
"11","European Region","","","","","20200305"
"12","Italy","3089","107","Local transmission","0","20200305"
"13","France","282","4","Local transmission","0","20200305"
"14","Germany","262","0","Local transmission","0","20200305"
"15","Spain","198","1","Local transmission","0","20200305"
"16","the United","","","","","20200305"
"17","the United Kingdom","89","0","Local transmission","0","20200305"
"18","Switzerland","56","0","Local transmission","0","20200305"
"19","Norway","56","0","Local transmission","0","20200305"
"20","Netherlands","38","0","Local transmission","0","20200305"
"21","Austria","37","0","Imported cases only","0","20200305"
"22","Sweden","35","0","Local transmission","0","20200305"
"23","Iceland","26","0","Imported cases only","0","20200305"
"24","Belgium","23","0","Local transmission","0","20200305"
"25","San Marino","16","0","Local transmission","0","20200305"
"26","Israel","15","0","Local transmission","0","20200305"
"27","Denmark","10","0","Local transmission","0","20200305"
"28","Croatia","9","0","Local transmission","1","20200305"
"29","Greece","9","0","Local transmission","0","20200305"
"30","Finland","7","0","Local transmission","2","20200305"
"31","Portugal","7","0","Local transmission","0","20200305"
"32","Belarus","6","0","Local transmission","0","20200305"
"33","Czechia","5","0","Imported cases only","1","20200305"
"34","Romania","4","0","Local transmission","1","20200305"
"35","Azerbaijan","3","0","Imported cases only","4","20200305"
"36","Georgia","3","0","Imported cases only","4","20200305"
"37","Russian Federation","3","0","Imported cases only","2","20200305"
"38","Bosnia and","","","","","20200305"
"39","Bosnia and Herzegovina","2","0","Local transmission","0","20200305"
"40","Herzegovina","","","","","20200305"
"41","Estonia","2","0","Imported cases only","1","20200305"
"42","Hungary","2","0","Imported cases only","0","20200305"
"43","Ireland","2","0","Imported cases only","1","20200305"
"44","Andorra","1","0","Imported cases only","2","20200305"
"45","Armenia","1","0","Imported cases only","3","20200305"
"46","Latvia","1","0","Imported cases only","2","20200305"
"47","Lithuania","1","0","Imported cases only","6","20200305"
"48","Luxembourg","1","0","Imported cases only","3","20200305"
"49","Monaco","1","0","Under investigation","4","20200305"
"50","North Macedonia","1","0","Imported cases only","7","20200305"
"51","Poland","1","0","Imported cases only","1","20200305"
"52","Slovenia","1","0","Imported cases only","0","20200305"
"53","Ukraine","1","0","Imported cases only","1","20200305"
"54","Liechtenstein","1","0","Imported cases only","1","20200305"
"55","Gibraltar","1","0","Imported cases only","1","20200305"
"56","Thailand","47","1","Local transmission","0","20200305"
"57","India","29","0","Local transmission","0","20200305"
"58","Indonesia","2","0","Local transmission","3","20200305"
"59","Nepal","1","0","Imported cases only","41","20200305"
"60","Sri Lanka","1","0","Imported cases only","38","20200305"
"61","Iran (Islamic Republic of)","2922","92","Local transmission","0","20200305"
"62","Kuwait","58","0","Imported cases only","0","20200305"
"63","Bahrain","49","0","Imported cases only","2","20200305"
"64","Iraq","36","2","Imported cases only","0","20200305"
"65","united Arab Emirates","27","0","Local transmission","1","20200305"
"66","Oman","15","0","Imported cases only","0","20200305"
"67","Lebanon","13","0","Local transmission","2","20200305"
"68","Qatar","8","0","Imported cases only","1","20200305"
"69","Pakistan","5","0","Imported cases only","2","20200305"
"70","Egypt","2","0","Imported cases only","3","20200305"
"71","Morocco","2","0","Imported cases only","0","20200305"
"72","Saudi Arabia","2","0","Imported cases only","0","20200305"
"73","Afghanistan","1","0","Imported cases only","9","20200305"
"74","Jordan","1","0","Imported cases only","2","20200305"
"75","Tunisia","1","0","Imported cases only","2","20200305"
"76","territory","4","0","Imported cases only","0","20200305"
"77","United States of America","129","9","Local transmission","0","20200305"
"78","Canada","30","0","Local transmission","1","20200305"
"79","Ecuador","7","0","Local transmission","1","20200305"
"80","Mexico","5","0","Imported cases only","3","20200305"
"81","Brazil","3","0","Imported cases only","0","20200305"
"82","Argentina","1","0","Imported cases only","1","20200305"
"83","Chile","1","0","Imported cases only","1","20200305"
"84","Dominican Republic","1","0","Imported cases only","3","20200305"
"85","Saint Martin","2","0","Under investigation","2","20200305"
"86","Saint Barthélemy","1","0","Under investigation","2","20200305"
"87","Algeria","12","0","Local transmission","0","20200305"
"88","Senegal","4","0","Imported cases only","0","20200305"
"89","Nigeria","1","0","Imported cases only","6","20200305"
"90","","ubtotal for all","14053","260","53","20200305"
"91","International","706","6","Local transmission","3","20200305"
